UF,Nome,Masculino18a24,Masculino18a24(%),Feminino18a24,Feminino18a24(%),Masculino25a29,Masculino25a29(%),Feminino25a29,Feminino25a29(%),Total,latitude,longitude
AC,Acre,2731,0.6159224176815516,68,0.015336039693279206,1571,0.35430762291384754,64,0.014433919711321606,4434,-8.77,-70.55
AL,Alagoas,2791,0.5514720410985972,127,0.025093854969373643,2058,0.4066390041493776,85,0.01679509978265165,5061,-9.62,-36.82
AP,Amapá,751,0.4873458792991564,18,0.011680726800778715,754,0.4892926670992862,18,0.011680726800778715,1541,1.41,-51.77
AM,Amazonas,2678,0.5260263209585543,94,0.0184639560007857,2189,0.42997446474170103,130,0.025535258298958946,5091,-3.47,-65.1
BA,Bahia,4688,0.5704550985641276,155,0.018861036748600634,3255,0.39608177172061326,120,0.014602092966658554,8218,-13.29,-41.71
CE,Ceará,7431,0.5094960575934179,444,0.030442235173123073,6407,0.4392869386355845,303,0.02077476859787453,14585,-5.2,-39.53
DF,Distrito Federal,3884,0.4896004033782932,110,0.013866128828942392,3785,0.47712088743224507,154,0.01941258036051935,7933,-15.83,-47.86
ES,Espírito Santo,4553,0.5486203157006868,178,0.02144836727316544,3409,0.4107723822147247,159,0.019158934811423063,8299,-19.19,-40.34
GO,Goiás,3134,0.5092622684432889,167,0.027136821579460513,2687,0.4366265843353916,166,0.026974325641858955,6154,-15.98,-49.86
MA,Maranhão,3028,0.5524539317642766,70,0.01277139208173691,2333,0.4256522532384601,50,0.009122422915526365,5481,-5.42,-45.44
MT,Mato Grosso,1139,0.44666666666666666,88,0.034509803921568626,1260,0.49411764705882355,63,0.024705882352941175,2550,-12.64,-55.42
MS,Mato Grosso do Sul,2552,0.433276740237691,210,0.035653650254668934,2921,0.4959252971137521,207,0.03514431239388795,5890,-20.51,-54.54
MG,Minas Gerais,16169,0.5104173243260307,734,0.023170654713050066,14215,0.4487341372561399,560,0.01767788370477934,31678,-18.1,-44.38
PA,Pará,6025,0.5145614484584508,407,0.034759586642753436,4957,0.4233495601673926,320,0.027329404731403193,11709,-3.79,-52.48
PB,Paraiba,3318,0.535593220338983,197,0.0317998385794996,2542,0.4103309120258273,138,0.022276029055690073,6195,-7.28,-36.72
PR,Paraná,4713,0.46788444356199743,192,0.019060855753003078,5029,0.49925543532214833,139,0.013799265362851186,10073,-24.89,-51.55
PE,Pernambuco,5178,0.5385335413416537,161,0.016744669786791472,4090,0.4253770150806032,186,0.019344773790951637,9615,-8.38,-37.86
PI,Piauí,1058,0.5553805774278215,29,0.015223097112860892,791,0.4152230971128609,27,0.014173228346456693,1905,-6.6,-42.28
RJ,Rio de Janeiro,21770,0.6105906770628822,563,0.015790654625007013,12985,0.36419476075615637,336,0.009423907555954451,35654,-22.25,-42.66
RN,Rio Grande do Norte,1451,0.47856200527704484,146,0.048153034300791556,1312,0.43271767810026385,123,0.04056728232189974,3032,-5.81,-36.59
RS,Rio Grande do Sul,8212,0.4949074911107093,307,0.018501777858132947,7719,0.4651961670583981,355,0.021394563972759597,16593,-30.17,-53.5
RO,Rondônia,2620,0.4929444967074318,140,0.02634054562558796,2409,0.45324553151458136,146,0.02746942615239887,5315,-10.83,-63.34
RR,Roraima,781,0.5138157894736842,49,0.03223684210526316,635,0.41776315789473684,55,0.03618421052631579,1520,1.99,-61.33
SC,Santa Catarina,3766,0.47281858129315757,232,0.029127432517263026,3755,0.4714375392341494,212,0.026616446955430008,7965,-27.45,-50.95
SP,São Paulo,54959,0.504437774779488,2232,0.02048627364595093,49606,0.4553055960936568,2154,0.01977035548090426,108951,-22.19,-48.79
SE,Sergipe,1589,0.5626770538243626,52,0.018413597733711047,1134,0.40155807365439095,49,0.017351274787535412,2824,-10.57,-37.45
TO,Tocantins,850,0.5376344086021505,58,0.036685641998734975,647,0.4092346616065781,26,0.01644528779253637,1581,-9.46,-48.26
