Estuda,EstudaOcupado,EstudaDesocupado,EstudaNaoAtivo,NaoEstudaOcupado,NaoEstudaDesocupado,NaoEstudaNaoAtivo,Total
Frequência,6711091.0,1336321.0,9365158.0,22377848.0,2476026.0,7271293.0,49537737
Percentual,0.1354743152679744,0.026975818455332347,0.18905098551433627,0.45173335229261685,0.04998262233900592,0.14678290613073422,1
