Estuda,EstudaOcupado,EstudaDesocupado,EstudaNaoAtivo,NaoEstudaOcupado,NaoEstudaDesocupado,NaoEstudaNaoAtivo,Total
Frequência,5625093.0,1823140.0,10222367.0,19778207.0,3944304.0,6952295.0,48345406
Percentual,0.11635217211745,0.03771071857375652,0.2114444338310035,0.4091020975188418,0.08158591118254338,0.14380466677640477,1
