Estuda,EstudaOcupado,EstudaDesocupado,NaoEstudaOcupado,NaoEstudaDesocupado,Total
Frequência,5188740.0,2084160.0,17250000.0,4722191.0,29245091
Percentual,0.17742259718049774,0.0712652937205769,0.5898425824696528,0.16146952662927258,1
