Estuda,EstudaOcupado,EstudaDesocupado,EstudaNaoAtivo,NaoEstudaOcupado,NaoEstudaDesocupado,NaoEstudaNaoAtivo,Total
Frequência,6531545.0,1365511.0,9499759.0,22689461.0,2769776.0,7155497.0,50011549
Percentual,0.13060073384249707,0.027303913342096243,0.1899513050475601,0.4536844279708273,0.055382727697556415,0.14307689209946287,1
