Estuda,EstudaOcupado,EstudaDesocupado,NaoEstudaOcupado,NaoEstudaDesocupado,Total
Frequência,5144328.0,2161710.0,17445631.0,4854253.0,29605922
Percentual,0.17376010110409668,0.07301613508270406,0.5892615335539964,0.16396223025920287,1
