Estuda,EstudaOcupado,EstudaDesocupado,NaoEstudaOcupado,NaoEstudaDesocupado,Total
Frequência,5326935.0,2128992.0,18022377.0,4272797.0,29751101
Percentual,0.17905001230038511,0.0715601079771804,0.60577176622808,0.14361811349435438,1
