UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
AC, Acre,22995,0.1048377169586804,23169,0.10563100953318835,8365,0.03813731256183351,7314,0.033345643045696385,0.0,0.0,0.0,0.0,74564,0.3399486639402933,75789,0.3455336260309384,3134.0,0.014288384646597277,4009.0,0.01827764328277233,219339,-8.77,-70.55
AL, Alagoas,104723,0.12410011625164867,119246,0.14131033739048823,38141,0.04519830919620458,29065,0.034442957887514385,0.0,0.0,0.0,0.0,283320,0.33574329360710736,269364,0.3192049856670368,0.0,0.0,0.0,0.0,843859,-9.62,-36.82
AP, Amapá,22509,0.10475538925499832,28399,0.13216705759708106,9466,0.04405413455452548,11000,0.05119326855057895,0.0,0.0,,0.0,72394,0.3369168621318739,71104,0.3309132879109423,,0.0,,0.0,214872,1.41,-51.77
AM, Amazonas,108331,0.1037628409281387,117135,0.1121955891860827,21430,0.020526328392519336,18493,0.017713177366442373,0.0,0.0,0.0,0.0,391063,0.37457244797777833,354982,0.34001293072483896,15560.0,0.014903857666243624,17031.0,0.016312827757955988,1044025,-3.47,-65.1
BA, Bahia,344986,0.093914706197016,332090,0.09040405923998958,342253,0.09317070820278886,337960,0.09200203517343755,0.0,0.0,5325.0,0.0014496118987411379,1121547,0.3053160330887187,1174590,0.31975580096570017,6902.0,0.0018789148028378092,7744.0,0.002108130430770211,3673397,-13.29,-41.71
CE, Ceará,335526,0.14335838528158873,363675,0.1553854567672305,50390,0.021529863659863188,33591,0.014352245489153887,0.0,0.0,0.0,0.0,788801,0.3370267510371848,764975,0.3268467444573099,0.0,0.0,3512.0,0.0015005533076689725,2340470,-5.2,-39.53
DF, Distrito Federal,145705,0.20820234801893048,153802,0.2197723999176936,29020,0.04146756898877432,28125,0.04018867600996822,0.0,0.0,0.0,0.0,169641,0.24240523331580513,173531,0.24796377374882828,0.0,0.0,0.0,0.0,699824,-15.83,-47.86
ES, Espírito Santo,162258,0.17170685661253096,184546,0.19529276559809772,52566,0.05562710390054298,42842,0.04533684102475102,,0.0,0.0,0.0,253669,0.2684410421060541,249090,0.26359539075802324,,0.0,0.0,0.0,944971,-19.19,-40.34
GO, Goiás,301919,0.18721371714587426,314624,0.195091824440673,56689,0.035151674493100686,40866,0.025340159992856687,4836.0,0.002998703414218542,5713.0,0.003542512945705238,461389,0.28609776045965235,426661,0.26456364710791924,,0.0,0.0,0.0,1612697,-15.98,-49.86
MA, Maranhão,150418,0.0843257049379574,183458,0.1028482307736294,120343,0.06746538518893089,86589,0.04854258443053885,0.0,0.0,0.0,0.0,622211,0.3488171707850882,620755,0.34800092388385523,0.0,0.0,0.0,0.0,1783774,-5.42,-45.44
