UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
MG,Minas Gerais,891940.0,0.18499531647668,947781.0,0.196577175645878,260448.0,0.0540189476710522,247291.0,0.0512900831971148,2026.83,0.000420380358874396,5923.51,0.00122858219959053,1255601.0,0.26042144579617,1209306.0,0.250819501521568,160.549,3.32991154842416e-05,941.469,0.000195268017588608,0.0,"0,0%",0.0,"0,0%",4821419.358,-18.1,-44.38
ES,Espírito Santo,149394.0,0.172292117198663,161625.0,0.186397803407325,46522.0,0.0536525822744969,41915.7,0.0483402592933049,1935.44,0.00223209135113177,928.209,0.00107047869267075,225748.0,0.26034914972063,237526.0,0.273932403106749,995.204,0.00114774224001351,507.575,0.000585372715016074,0.0,"0,0%",0.0,"0,0%",867097.128,-19.19,-40.34
RJ,Rio de Janeiro,681499.0,0.190023444890026,748812.0,0.20879243522733,252039.0,0.0702764333133831,228590.0,0.0637381115268123,3162.09,0.000881690559857464,2912.29,0.000812038430458113,833587.0,0.2324303826646,831378.0,0.231814443698054,612.408,0.00017075869199839,3212.96,0.000895874722477741,589.554,"0,0%",0.0,"0,0%",3586394.302,-22.25,-42.66
SP,São Paulo,2977991.0,0.29364264474305,3090653.0,0.30475159961969,369537.0,0.0364379281234941,333786.0,0.0329127266731846,50088.7,0.00493895996990629,49918.2,0.00492214794094828,1700352.0,0.167661976907967,1554423.0,0.153272753601145,5236.71,0.000516361995100851,7946.33,0.000783542111846893,0.0,"0,0%",1616.14,"0,0%",10141548.08,-22.19,-48.79
PR,Paraná,818702.0,0.326287177552227,822952.0,0.327980981286183,45308.4,0.0180573028469545,34641.3,0.0138060148915478,8913.53,0.00355241656393548,7921.92,0.00315721827672894,391334.0,0.155963056570307,375635.0,0.149706344848102,1878.33,0.000748593498259043,1859.01,0.000740893665755508,0.0,"0,0%",0.0,"0,0%",2509145.49,-24.89,-51.55
SC,Santa Catarina,654778.0,0.425214172421136,644950.0,0.418831849119872,17288.9,0.0112274470210847,15955.0,0.0103612096328515,1531.97,0.00099486445134688,2272.44,0.00147572718383435,108445.0,0.07042440480317,94404.1,0.0613062156252381,252.709,0.000164109741467143,0.0,0.0,0.0,"0,0%",0.0,"0,0%",1539878.119,-27.45,-50.95
RS,Rio Grande do Sul,965187.0,0.400495594828542,966807.0,0.40116779914089,60332.7,0.0250345068614807,68654.8,0.0284876868045618,3910.9,0.00162279249701347,639.904,0.000265522363141198,177520.0,0.0736603145234683,159331.0,0.0661129538831609,4617.73,0.00191608519707332,2980.53,0.00123674390066828,0.0,"0,0%",0.0,"0,0%",2409981.564,-30.17,-53.5
MS,Mato Grosso do Sul,121972.0,0.1997116386095,126487.0,0.207104302895745,15308.2,0.025064979717984,19130.2,0.0313229559975032,1576.68,0.00258158713772691,1057.67,0.00173178277644139,153965.0,0.252095582908468,165065.0,0.270270239293257,3844.21,0.00629434196585303,2334.61,0.00382258869752176,0.0,"0,0%",0.0,"0,0%",610740.57,-20.51,-54.54
MT,Mato Grosso,121547.0,0.1545012849924,118505.0,0.150634526380942,30934.4,0.0393214521993048,23784.9,0.0302335525633355,886.657,0.00112705081859286,1531.81,0.00194712015404912,247819.0,0.315008629958219,239143.0,0.303980359835599,636.006,0.000808442366022003,1208.66,0.00153635649681946,708.998,"0,1%",0.0,"0,0%",786705.431,-12.64,-55.42
GO,Goiás,245328.0,0.156842204740784,248557.0,0.158906557277421,63703.6,0.0407267538720611,57370.4,0.0366778354809099,2868.21,0.00183369358597292,5190.61,0.00331844190777066,495116.0,0.316535760461252,446037.0,0.285158752673829,0.0,0.0,0.0,0.0,0.0,"0,0%",0.0,"0,0%",1564170.82,-15.98,-49.86
DF,Distrito Federal,112573.0,0.167371663157466,109932.0,0.163445068304359,24795.6,0.0368656854750897,22170.1,0.0329621357640584,1476.15,0.00219471525649929,0.0,0.0,195967.0,0.291360474660702,204630.0,0.304240478906242,397.456,0.00059093096703396,651.64,0.000968847508549398,0.0,"0,0%",0.0,"0,0%",672592.946,-15.83,-47.86
