UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
RO,Rondônia,56976.6,0.129930075660759,57963.6,0.132180841495807,15201.5,0.0346656705587387,13869.6,0.0316283909075737,1131.39,0.00258003440538443,6967.08,0.0158878071266899,144332.0,0.32913630648843,139850.0,0.31891550357791,638.528,0.00145610639019375,1587.11,0.00361926338851296,0.0,"0,0%",0.0,"0,0%",438517.408,-10.83,-63.34
AC,Acre,17555.9,0.0765384257805522,19800.1,0.0863224605003168,5494.39,0.0239538822404097,5340.72,0.0232839274166924,577.738,0.00251876332364645,437.04,0.00190536250509131,90297.6,0.393670284961864,88604.2,0.386287572015402,796.22,0.00347127890766017,469.767,0.00204804234836452,0.0,"0,0%",0.0,"0,0%",229373.675,-8.77,-70.55
AM,Amazonas,72796.2,0.0720469392100524,76833.6,0.0760427839432481,9259.94,0.00916463131686451,9193.0,0.00909838030224121,3345.49,0.00331105627296257,2997.9,0.00296704387121602,435765.0,0.431279853410871,380794.0,0.376874646884764,9918.62,0.00981653179956659,9495.87,0.00939813298821312,0.0,"0,0%",0.0,"0,0%",1010399.62,-3.47,-65.1
RR,Roraima,14603.4,0.103977848185673,14027.1,0.0998745274583489,4844.86,0.034495947352044,2866.11,0.0204070251080871,82.6827,0.000588710110534638,238.04,0.00169487153554087,49487.5,0.352356558204835,44801.1,0.318988863850278,4633.24,0.0329891891838741,4863.19,0.034626459010784,0.0,"0,0%",0.0,"0,0%",140447.2227,1.99,-61.33
PA,Pará,189089.0,0.0859511378947184,179911.0,0.081779242419055,89138.2,0.0405181143265182,71917.8,0.0326905147569916,6417.23,0.0029169767708969,4478.53,0.00203573317112912,804136.0,0.365523135783188,843698.0,0.383506196232981,4830.56,0.00219574977216396,6342.92,0.00288319887235729,0.0,"0,0%",0.0,"0,0%",2199959.24,-3.79,-52.48
AP,Amapá,17233.4,0.0710772002229973,18230.2,0.0751883885655347,11645.5,0.0480305415760625,6258.1,0.0258108223981071,1426.95,0.00588529314344274,794.973,0.00327877581283304,92688.9,0.382284836639861,93326.8,0.384915782710993,488.675,0.0020154845137334,366.812,0.00151287441643542,0.0,"0,0%",0.0,"0,0%",242460.31,1.41,-51.77
TO,Tocantins,34080.1,0.093590891488743,37233.1,0.102249671271197,19417.6,0.0533246819866085,16626.7,0.0456603025083812,779.892,0.00214174217637092,1485.42,0.00407926567220192,126616.0,0.347713308257273,126008.0,0.346043616500935,537.696,0.00147662266219674,1354.56,0.00371989747609284,0.0,"0,0%",0.0,"0,0%",364139.068,-9.46,-48.26
MA,Maranhão,139205.0,0.0807411792588975,145702.0,0.0845095456368657,108638.0,0.0630118187732345,93197.0,0.0540557859515928,4530.84,0.00262796138524754,6322.55,0.00366718252162884,590406.0,0.342445146952542,631955.0,0.366544247250864,1168.64,0.000677830334608082,2964.23,0.00171930193451817,0.0,"0,0%",0.0,"0,0%",1724089.26,-5.42,-45.44
PI,Piauí,60875.4,0.0818099072486557,57685.1,0.0775224915257958,24654.0,0.0331322907661938,30494.4,0.0409811522487475,882.623,0.00118614917956236,1437.05,0.00193123868116974,282910.0,0.38020022635937,284380.0,0.382175746251732,398.918,0.000536102343143852,390.43,0.000524695395629312,0.0,"0,0%",0.0,"0,0%",744107.921,-6.6,-42.28
CE,Ceará,267625.0,0.121030239244165,264625.0,0.119673524745398,55849.0,0.0252570493472112,41125.1,0.0185983398110798,8698.08,0.00393360374914485,1068.39,0.000483166734445862,789104.0,0.356862945944989,775247.0,0.350596281675185,3638.51,0.0016454730903028,4244.17,0.00191937565807719,0.0,"0,0%",0.0,"0,0%",2211224.25,-5.2,-39.53
RN,Rio Grande do Norte,134923.0,0.162524597199114,144977.0,0.174635373717869,22610.9,0.0272364786938436,20237.8,0.0243779066074445,2949.69,0.0035531168081962,229.774,0.000276779546829149,266178.0,0.320630820788642,236474.0,0.284850185647098,182.18,0.000219449101470725,1407.38,0.00169529188949319,0.0,"0,0%",0.0,"0,0%",830169.724,-5.81,-36.59
PB,Paraíba,127343.0,0.138113306721722,150372.0,0.163090033675654,31207.9,0.0338473749231668,24573.3,0.026651639431024,2141.32,0.00232242672113393,1447.96,0.00157042431543771,287865.0,0.312211798366997,295961.0,0.320992534891337,805.705,0.000873849224474255,301.142,0.000326611729052974,0.0,"0,0%",0.0,"0,0%",922018.327,-7.28,-36.72
PE,Pernambuco,337720.0,0.154455810246198,339025.0,0.155052650327838,79548.5,0.0363814047772406,77853.6,0.0356062444290638,2975.62,0.00136089600285678,6999.51,0.00320121695006623,673344.0,0.307953017572001,664910.0,0.30409573845434,1601.19,0.000732302199479185,2537.93,0.00116071904091595,0.0,"0,0%",0.0,"0,0%",2186515.35,-8.38,-37.86
AL,Alagoas,84048.7,0.106894535986846,93569.8,0.119003629483645,23531.8,0.0299281350209494,20126.9,0.0255977265127677,2091.33,0.00265978831255417,2039.61,0.00259400995546786,275520.0,0.350410923132611,283745.0,0.36087161507064,508.017,0.000646104478575275,804.906,0.00102369285168038,0.0,"0,0%",290.796,"0,0%",786276.859,-9.62,-36.82
SE,Sergipe,51091.0,0.0919196732990112,53677.1,0.0965724197145946,25315.8,0.0455465750387173,26614.6,0.0478832932803011,0.0,0.0,1344.47,0.00241888479693726,192590.0,0.346495662262562,204446.0,0.367826222373601,560.902,0.00100913915548261,182.382,0.000328130078793139,0.0,"0,0%",0.0,"0,0%",555822.254,-10.57,-37.45
