UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
BA,Bahia,293939.0,0.0865544906365149,283851.0,0.0835839365367147,369392.0,0.108772692311002,361953.0,0.106582173680112,5697.77,0.00167778886134203,2299.31,0.000677064308803681,1028365.0,0.30281660059883,1040098.0,0.306271548185365,4991.07,0.00146969106372816,5413.27,0.00159401381758775,0.0,"0,0%",0.0,"0,0%",3395999.42,-13.29,-41.71
MG,Minas Gerais,856477.0,0.176023258189451,871464.0,0.179103388269401,318908.0,0.0655420113122493,275126.0,0.0565439292971449,2845.44,0.000584795178133903,1792.06,0.000368304391210724,1288208.0,0.264752666312949,1248462.0,0.256584063513343,727.734,0.000149563981023707,1693.36,0.000348019555093351,0.0,"0,0%",0.0,"0,0%",4865703.594,-18.1,-44.38
ES,Espírito Santo,157094.0,0.180456818554812,135903.0,0.156114320165345,49002.1,0.0562896295753165,48147.2,0.0553075899418327,1256.92,0.00144384753318341,1040.03,0.00119470193006456,241858.0,0.277826812112683,233349.0,0.268052364526633,1228.91,0.00141167192184421,1655.97,0.00190224373828544,0.0,"0,0%",0.0,"0,0%",870535.13,-19.19,-40.34
RJ,Rio de Janeiro,703903.0,0.19596539375028,715189.0,0.199107396886885,245394.0,0.0683172707517319,247399.0,0.0688754593295179,2663.25,0.000741444254258661,3942.96,0.00109771333399858,833443.0,0.232029108646241,831258.0,0.231420808375686,6914.86,0.00192508522144111,1164.35,0.000324153052640973,704.625,"0,0%",0.0,"0,0%",3591976.045,-22.25,-42.66
SP,São Paulo,2651910.0,0.26876035248934,2718490.0,0.275507966197475,364550.0,0.0369456680279455,340132.0,0.0344710024898674,39231.9,0.00397599438624484,49587.8,0.00502552296539887,1853056.0,0.187799730662989,1814387.0,0.183880783915019,16078.4,0.00162948080872451,19768.9,0.00200349805699534,0.0,"0,0%",0.0,"0,0%",9867192.0,-22.19,-48.79
PR,Paraná,807083.0,0.317710538720226,763397.0,0.300513419471609,62568.5,0.0246302695533377,50219.4,0.0197690109049584,8878.19,0.00349492496776729,15242.6,0.0060002932257239,435758.0,0.171537387024195,395590.0,0.155725138569806,1329.71,0.000523444156848394,242.786,9.55734055279679e-05,0.0,"0,0%",0.0,"0,0%",2540309.186,-24.89,-51.55
SC,Santa Catarina,630297.0,0.405651674407498,595386.0,0.383183368822607,27435.9,0.0176574198732926,20431.2,0.0131492780231454,1634.28,0.00105180322681321,1211.91,0.000779970903766306,140538.0,0.0904485901374764,133992.0,0.0862356621675329,1648.95,0.00106124466483934,1213.49,0.000780987773028834,0.0,"0,0%",0.0,"0,0%",1553788.73,-27.45,-50.95
RS,Rio Grande do Sul,844097.0,0.373740509543647,889156.0,0.393691265937198,73946.4,0.0327412195694551,75456.9,0.033410023083347,1595.45,0.000706416793273061,842.581,0.000373069270796834,201052.0,0.08901971802384,167982.0,0.0743773266273436,2201.08,0.000974571359389181,2181.45,0.000965879791711128,0.0,"0,0%",0.0,"0,0%",2258510.861,-30.17,-53.5
MS,Mato Grosso do Sul,131043.0,0.214260865261217,124711.0,0.2039077765893,17563.8,0.0287175582463387,18276.5,0.0298828529867802,1038.07,0.00169728849615555,544.623,0.000890481713797454,155111.0,0.253613066486059,158139.0,0.258563974966565,3658.92,0.00598248945095558,1519.01,0.00248364580283145,0.0,"0,0%",0.0,"0,0%",611604.923,-20.51,-54.54
MT,Mato Grosso,108443.0,0.140360674474336,115515.0,0.149514153167129,37649.7,0.0487310133964979,32053.8,0.0414880904020129,2798.32,0.00362194039813566,921.003,0.00119207880889396,239590.0,0.310107743213543,232506.0,0.300938732599892,1526.38,0.00197563444670599,1599.24,0.00206993909285374,0.0,"0,0%",0.0,"0,0%",772602.443,-12.64,-55.42
GO,Goiás,241477.0,0.154286817538337,252459.0,0.161303543065845,67363.1,0.0430402825880591,62735.2,0.0400833800139603,2129.73,0.00136074766506095,3292.27,0.00210352895214426,484796.0,0.309750543510627,447156.0,0.28570123110347,723.252,0.000462107154545722,2985.96,0.00190781840795096,0.0,"0,0%",0.0,"0,0%",1565117.512,-15.98,-49.86
DF,Distrito Federal,110922.0,0.156056346800102,132053.0,0.18578558594322,32209.4,0.0453154585801121,36534.8,0.0514008710541855,7835.16,0.01102329967179,3654.05,0.00514088903936922,189605.0,0.266755590730723,197372.0,0.277682995984833,0.0,0.0,596.319,0.00083896219566443,0.0,"0,0%",0.0,"0,0%",710781.729,-15.83,-47.86
