UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
AC, Acre,22707,0.105776800562727,25180,0.117296861680075,7148,0.0332977747136289,5195,0.0242000475150115,1897,0.00883686046890795,2857,0.0133088615496415,73198,0.340980765737018,72616,0.338269615081824,2001,0.00932132725265409,1870,0.00871108543851231,0,"0,0%",0,"0,0%",214669,-8.77,-70.55
AL, Alagoas,124523,0.142300778567176,134655,0.153879294089952,31327,0.0357994626709437,26522,0.030308467103737,4771,0.00545214148827121,7392,0.00844733386738646,265228,0.30309381317359,276735,0.316243633359198,1850,0.00211411900090164,2066,0.00236095667884475,0,"0,0%",0,"0,0%",875069,-9.62,-36.82
AP, Amapá,23244,0.113101233486607,25528,0.124214777510157,10031,0.0488090893608739,8267,0.0402257742743839,1206,0.0058681848040289,1337,0.006505607863173,66104,0.321650487798944,67580,0.328832445320293,1089,0.00529888329319028,1129,0.00549351628834878,0,"0,0%",0,"0,0%",205515,1.41,-51.77
AM, Amazonas,103814,0.10101320681465,112674,0.109634173277534,23633,0.0229954063676443,18485,0.0179862940255535,4552,0.00442919179898942,6230,0.00606192111329176,358649,0.348973024937556,354361,0.344800710694572,23414,0.0227823147586859,21915,0.0213237562115231,0,"0,0%",0,"0,0%",1027727,-3.47,-65.1
BA, Bahia,385678,0.0979069762128579,406872,0.103287216864011,357911,0.0908581349294494,347034,0.0880969347047354,20671,0.00524747355383503,29126,0.00739383265100861,1184595,0.300717475424759,1190953,0.302331496848749,7510,0.00190646443758411,7056,0.0017912134582681,895,"0,0%",928,"0,0%",3939229,-13.29,-41.71
CE, Ceará,354105,0.14678505474827,381296,0.158056379422195,58136,0.024098772801416,47303,0.0196082332775798,13185,0.00546550019586264,18394,0.00762475620801648,767985,0.318348287290069,766137,0.317582246762049,2816,0.00116729985222216,3048,0.00126346944232001,0,"0,0%",0,"0,0%",2412405,-5.2,-39.53
DF, Distrito Federal,133220,0.181704354657657,150870,0.205777931145479,32922,0.0449036988743387,30596,0.0417311697575866,5585,0.00761761612943264,8233,0.0112293345736113,183504,0.250288814720753,186395,0.254231971073518,881,0.00120163291137514,963,0.00131347615624774,0,"0,0%",0,"0,0%",733169,-15.83,-47.86
ES, Espírito Santo,182107,0.192201418499599,188705,0.199165153881876,45601,0.0481287203951535,38698,0.0408430784818677,2679,0.00282750031662937,4133,0.00436209735297843,243191,0.256671380926246,239593,0.252873939291594,1442,0.00152193186135855,1331,0.00140477899269642,0,"0,0%",0,"0,0%",947480,-19.19,-40.34
GO, Goiás,314570,0.191323450792158,326625,0.198655377547092,62897,0.0382543506516018,50580,0.0307630738502316,14528,0.0088360208955351,19239,0.0117012806999724,432019,0.262756670654473,421280,0.256225143369426,1088,0.000661728437110558,1173,0.00071342597125982,106,"0,0%",74,"0,0%",1644179,-15.98,-49.86
MA, Maranhão,198251,0.102535576950429,213985,0.110673214428868,97404,0.0503774272880317,86796,0.0448909611401175,10618,0.00549163815597225,13300,0.00687877071712478,652492,0.337469388177307,652012,0.337221131790523,4407,0.00227930395115556,4220,0.00218258740047117,0,"0,0%",0,"0,0%",1933485,-5.42,-45.44
