UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
AC, Acre,21552,0.09565742285978056,23302,0.10342470617476832,8758,0.038871924155807265,8234,0.036546177608919504,0.0,0.0,0.0,0.0,74277,0.32967457302134007,79367,0.352266271348933,4730.0,0.020993857188509747,5084.0,0.022565067641941553,225304,-8.77,-70.55
AL, Alagoas,100047,0.12287389849243145,108232,0.13292640240719703,52860,0.06492063004697719,33345,0.04095305351714821,0.0,0.0,0.0,0.0,259239,0.3183874236236912,260502,0.31993859191255486,0.0,0.0,,0.0,814225,-9.62,-36.82
AP, Amapá,23129,0.11016222601141203,27585,0.13138592263067148,7617,0.036279375482248494,6835,0.03255475008811454,,0.0,,0.0,70683,0.33665945873858083,74105,0.35295826704897265,,0.0,,0.0,209954,1.41,-51.77
AM, Amazonas,97319,0.09077502821591471,109698,0.10232163344495332,24087,0.02246733016817618,18879,0.01760952905073268,0.0,0.0,0.0,0.0,399667,0.3727923961607701,394128,0.3676258523071757,16270.0,0.015175964704455782,12042.0,0.011232265947821545,1072090,-3.47,-65.1
BA, Bahia,321005,0.08866831110214927,315636,0.08718528073717852,390455,0.10785185717166304,412633,0.11397788574948416,0.0,0.0,0.0,0.0,1053280,0.29093801877750125,1108473,0.30618348253869165,8508.0,0.0023500879763775832,10300.0,0.002845075946954526,3620290,-13.29,-41.71
CE, Ceará,284053,0.1241152973273874,329507,0.14397615683149073,50130,0.021904010360819744,46470,0.020304794762962167,0.0,0.0,0.0,0.0,807802,0.3529643602132637,762697,0.333255994218355,7963.0,0.0034793862857212766,0.0,0.0,2288622,-5.2,-39.53
DF, Distrito Federal,131748,0.18213463652010423,148635,0.2054800201837272,46738,0.06461281113699359,37640,0.05203530769815651,0.0,0.0,0.0,0.0,182382,0.25213346144009513,176212,0.24360376302092335,,0.0,0.0,0.0,723355,-15.83,-47.86
ES, Espírito Santo,167911,0.19444676051379683,163112,0.18888935210275937,59959,0.06943460114969682,51573,0.0597233223551646,,0.0,0.0,0.0,198497,0.22986640911975467,222480,0.2576395547588277,0.0,0.0,0.0,0.0,863532,-19.19,-40.34
GO, Goiás,285302,0.18280187888002758,290264,0.18598118685194048,62391,0.03997585725022538,60579,0.03881485240437568,0.0,0.0,0.0,0.0,439449,0.2815686636334454,422732,0.2708575609799855,0.0,0.0,0.0,0.0,1560717,-15.98,-49.86
MA, Maranhão,151075,0.08477434284803634,165353,0.09278631085852294,102231,0.05736598274828796,99962,0.05609275432583425,0.0,0.0,,0.0,638870,0.3584960080445142,624593,0.35048460117480434,0.0,0.0,0.0,0.0,1782084,-5.42,-45.44
