UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),IgnoradoMasculino,IgnoradoMasculino(%),IgnoradoFeminino,IgnoradoFeminino(%),Total,latitude,longitude
RO,Rondônia,55789.0,0.133195065511624,54871.2,0.131003837292323,16390.6,0.0391322131741888,13789.0,0.0329209478273455,1219.46,0.00291143513217309,413.115,0.000986303383979538,136201,0.325177026255152,138870.0,0.331549207686088,807.747,0.00192847899374102,500.731,0.00119548474338491,0.0,"0,0%",0.0,"0,0%",418851.853,-10.83,-63.34
AC,Acre,19420.0,0.083010563193762,17937.8,0.0766749166043802,6352.27,0.0271527039268197,4178.38,0.0178604365106875,83.4529,0.000356718446403332,383.269,0.0016382788643002,96938,0.414360348860808,88005.4,0.37617805448467,359.866,0.00153824301412391,287.692,0.00122973609404427,0.0,"0,0%",0.0,"0,0%",233946.1299,-8.77,-70.55
AM,Amazonas,72822.3,0.0705102332995124,91723.9,0.0888117182256142,12271.9,0.0118822741389421,11391.2,0.0110295358641708,88.3377,8.55330281540453e-05,278.435,0.000269594846753669,423654,0.410203225911179,404532.0,0.391688338560006,7343.43,0.00711028026468044,8685.01,0.00840926586098761,0.0,"0,0%",0.0,"0,0%",1032790.5127,-3.47,-65.1
RR,Roraima,13516.2,0.101612432985822,15826.8,0.118983120579749,6216.13,0.0467317806081706,5459.62,0.0410444704412521,133.924,0.00100681726189263,376.513,0.00283055903144306,41870,0.31477135356952,42631.3,0.320494674120571,3354.14,0.0252158392133191,3632.56,0.0273089521882612,0.0,"0,0%",0.0,"0,0%",133017.187,1.99,-61.33
PA,Pará,170769.0,0.0772214271799826,192696.0,0.0871367761822926,101566.0,0.0459279580776494,81978.6,0.0370705718849259,3621.13,0.00163746831453162,4199.96,0.00189921417411146,823172,0.372236861810988,823706.0,0.372478335627161,3481.97,0.0015745404189161,6229.23,0.00281684632944131,0.0,"0,0%",0.0,"0,0%",2211419.89,-3.79,-52.48
AP,Amapá,15071.8,0.0626889639085837,20091.3,0.083566845405096,8552.12,0.0355713015049215,9665.93,0.040204032491998,167.757,0.000697760885787515,0.0,0.0,90109,0.374795303071867,95378.7,0.396713855143223,405.857,0.00168810326736329,979.439,0.00407383432116,0.0,"0,0%",0.0,"0,0%",240421.903,1.41,-51.77
TO,Tocantins,29981.6,0.0798198363826469,32877.1,0.0875285089099955,24622.0,0.0655510049968491,21780.2,0.0579852976619435,374.886,0.000998056780897116,258.106,0.00068715407748017,134265,0.357452915518721,130241.0,0.346739844114801,828.093,0.00220462709693996,387.919,0.00103275445972597,0.0,"0,0%",0.0,"0,0%",375615.904,-9.46,-48.26
MA,Maranhão,150343.0,0.0850062132087987,157455.0,0.08902744591229,99537.3,0.0562798996030953,74645.9,0.0422059243899794,1564.67,0.000884688157223224,4826.02,0.00272870492852961,645702,0.365089707411371,633310.0,0.358083082599551,777.39,0.000439548100585914,450.617,0.000254785688575519,0.0,"0,0%",0.0,"0,0%",1768611.897,-5.42,-45.44
PI,Piauí,70347.6,0.092903992385432,83164.8,0.109830924522457,23823.8,0.0314627099402404,25545.4,0.0337363271395586,339.663,0.000448573210253271,0.0,0.0,295698,0.390511186456787,257586.0,0.340178880055523,0.0,0.0,702.239,0.000927406289749094,0.0,"0,0%",0.0,"0,0%",757207.502,-6.6,-42.28
CE,Ceará,261873.0,0.116410898282383,274820.0,0.122166252595588,52896.6,0.0235142253003704,42247.7,0.0187804497117482,1126.98,0.00050097854359281,1772.43,0.000787901648671853,819196,0.364158741944893,785622.0,0.349234028442804,5870.51,0.00260962887535451,4132.2,0.00183689465459388,0.0,"0,0%",0.0,"0,0%",2249557.42,-5.2,-39.53
RN,Rio Grande do Norte,137086.0,0.165534240278699,160308.0,0.19357529573113,28037.8,0.0338562356629131,22832.8,0.0275710882324634,639.31,0.000771980327331565,648.69,0.000783306875438696,242342,0.292633083302601,235252.0,0.284071758560644,996.265,0.00120301102877944,0.0,0.0,0.0,"0,0%",0.0,"0,0%",828142.865,-5.81,-36.59
PB,Paraíba,142094.0,0.152163633730883,162800.0,0.174336985174517,24921.3,0.0266873729031307,26080.4,0.0279286136863972,923.894,0.000989366674329391,0.0,0.0,287990,0.308398700002513,287923.0,0.308326951980358,815.1,0.000872862878475114,275.957,0.000295512969396831,0.0,"0,0%",0.0,"0,0%",933823.651,-7.28,-36.72
PE,Pernambuco,309243.0,0.140776747424956,297696.0,0.135520204503965,58578.3,0.026666610218124,67989.9,0.0309510546067269,1888.31,0.00085961570651565,2953.63,0.00134458152487453,727248,0.331065239993483,728051.0,0.331430789830285,1272.25,0.000579166600089252,1770.51,0.000805989590979778,0.0,"0,0%",0.0,"0,0%",2196690.9,-8.38,-37.86
AL,Alagoas,83480.4,0.105143226038426,86038.2,0.108364764789571,16653.2,0.0209746380211777,13115.7,0.0165191710838974,1923.21,0.00242227521369522,2505.1,0.00315516331436914,297504,0.374705084299261,289276.0,0.364341951589736,2002.57,0.00252222881260477,1470.03,0.00185149683726082,0.0,"0,0%",0.0,"0,0%",793968.41,-9.62,-36.82
SE,Sergipe,52351.6,0.0957465140248929,54890.3,0.100389575080429,20241.6,0.0370201223704008,16225.7,0.029675391250959,589.24,0.00107766860848623,2187.03,0.0039998872731275,194927,0.356504495360797,204322.0,0.373687131598541,300.368,0.000549346895312255,738.071,0.00134986753705458,0.0,"0,0%",0.0,"0,0%",546772.909,-10.57,-37.45
BA,Bahia,261877.0,0.0757385158923325,288949.0,0.0835681194934019,351382.0,0.101624622213022,384434.0,0.111183726018524,3876.95,0.00112126853136693,2604.75,0.000753330377507583,1062621,0.307324955975616,1087317.0,0.314467386920208,6411.01,0.00185415436548801,8173.6,0.00236392021253325,0.0,"0,0%",0.0,"0,0%",3457646.31,-13.29,-41.71
MG,Minas Gerais,890651.0,0.184299897379515,869800.0,0.179985258805865,295519.0,0.0611509125052316,274541.0,0.0568099941800655,2122.18,0.000439136717098909,2630.81,0.00054438608728335,1239897,0.256568386338947,1250952.0,0.258855966283875,1654.81,0.000342425162249406,3956.67,0.00081874255456358,0.0,"0,0%",893.522,"0,0%",4832617.992,-18.1,-44.38
ES,Espírito Santo,145238.0,0.16903711391061,150976.0,0.175715358995361,45112.6,0.0525048796114225,51454.0,0.0598853995452741,913.014,0.00106262308431665,747.171,0.000869604576197031,228240,0.265640058930566,235751.0,0.274381832864266,363.435,0.000422988498148574,412.54,0.000480139983838135,0.0,"0,0%",0.0,"0,0%",859207.76,-19.19,-40.34
RJ,Rio de Janeiro,736336.0,0.201230284160819,725277.0,0.198208014826528,269607.0,0.0736798054444519,231795.0,0.0633463170577794,3186.15,0.000870730033407295,4743.95,0.00129645488818246,887486,0.242537455684292,797451.0,0.217932155068242,1458.23,0.000398513772614447,1830.57,0.000500269063683251,0.0,"0,0%",0.0,"0,0%",3659170.9,-22.25,-42.66
SP,São Paulo,2876236.0,0.293562893417401,2749835.0,0.280661781237853,389862.0,0.0397912468773406,298675.0,0.0304842499681675,47942.5,0.00489324903021301,69719.7,0.00711593793422833,1782177,0.181897812523709,1568607.0,0.160099800417903,10264.1,0.00104760488858548,3019.27,0.000308161651967486,1344.85,"0,0%",0.0,"0,0%",9797682.42,-22.19,-48.79
PR,Paraná,844036.0,0.331043355965109,835800.0,0.327813075408677,46817.2,0.0183623956855984,52591.0,0.0206269651218207,15152.5,0.0059430337701962,12115.8,0.00475199528480073,396884,0.155663752836202,343192.0,0.134604959291284,2384.21,0.000935122293036758,651.032,0.00025534434327526,0.0,"0,0%",0.0,"0,0%",2549623.742,-24.89,-51.55
SC,Santa Catarina,638459.0,0.405990063053657,623555.0,0.396512749867138,26731.0,0.016997991062053,20959.8,0.01332813935365,1572.38,0.00099986162830238,1516.61,0.000964398010722391,136719,0.0869383240437255,121171.0,0.0770514973244557,1308.07,0.000831789389418267,605.743,0.000385186266877452,0.0,"0,0%",0.0,"0,0%",1572597.603,-27.45,-50.95
RS,Rio Grande do Sul,920515.0,0.384545440357134,927073.0,0.387285046988055,77023.7,0.0321766757026619,73130.0,0.0305500812624642,1808.54,0.000755518172657145,0.0,0.0,198909,0.0830942993824079,190577.0,0.0796136036750532,1572.53,0.00065692491846934,3165.55,0.00132240954109659,0.0,"0,0%",0.0,"0,0%",2393774.32,-30.17,-53.5
MS,Mato Grosso do Sul,124983.0,0.214245961968535,122803.0,0.210509004165542,16810.1,0.0288158873229741,14115.6,0.0241969731944588,2879.48,0.00493600699750491,2415.73,0.00414104636395549,149512,0.256293594055508,148587.0,0.254707958290477,884.314,0.00151589179018141,371.996,0.000637675850863294,0.0,"0,0%",0.0,"0,0%",583362.22,-20.51,-54.54
MT,Mato Grosso,113748.0,0.145712603968203,111243.0,0.142503667785234,36002.8,0.0461200349733308,35737.3,0.0457799261683095,233.915,0.000299648026841986,1932.54,0.00247560779682026,248765,0.318671061699108,232063.0,0.297275591787751,119.968,0.000153680501396573,787.016,0.00100817729300418,0.0,"0,0%",0.0,"0,0%",780632.539,-12.64,-55.42
GO,Goiás,253802.0,0.160175952136703,267985.0,0.169126927815203,68055.3,0.0429501047093756,48544.0,0.0306364072013778,1200.11,0.000757396560778789,1618.66,0.00102154595584588,486386,0.306961098241788,453412.0,0.286151010670549,2898.54,0.00182928583819796,618.392,0.000390270870181164,0.0,"0,0%",0.0,"0,0%",1584520.002,-15.98,-49.86
DF,Distrito Federal,111172.0,0.156690388688344,118479.0,0.166989174984765,28441.3,0.0400863378530728,31257.2,0.0440551831154366,1076.22,0.00151686872696515,1220.92,0.00172081485767435,202542,0.285471024230153,211932.0,0.298705676388822,1929.67,0.00271975625463459,1450.77,0.00204477490013123,0.0,"0,0%",0.0,"0,0%",709501.08,-15.83,-47.86
