UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
AC, Acre,23351,0.10800447725296479,25366,0.11732437882740375,8400,0.03885219514902592,6552,0.030304712216240218,0.0,0.0,0.0,0.0,73241,0.33875876487021517,73246,0.3387818911768515,3528.0,0.016317921962590888,2520,0.011655658544707776,216204,-8.77,-70.55
AL, Alagoas,111879,0.12383776532157373,135220,0.1496736887779047,35303,0.03907654366903098,27525,0.030467151927317165,0.0,0.0,,0.0,296166,0.3278232340674229,297339,0.3291216162367505,0.0,0.0,0,0.0,903432,-9.62,-36.82
AP, Amapá,32779,0.1522770244217431,26836,0.12466842269080503,7229,0.03358280025457704,9811,0.04557765296689105,,0.0,,0.0,66330,0.30814042618427107,72274,0.3357536734817127,0.0,0.0,0,0.0,215259,1.41,-51.77
AM, Amazonas,103131,0.09616213040924222,124463,0.11605266347776627,23523,0.02193348065680159,21953,0.02046957024438912,0.0,0.0,0.0,0.0,396581,0.3697828377483752,377120,0.35163687562356055,12532.0,0.011685175342900034,13167,0.01227726649696495,1072470,-3.47,-65.1
BA, Bahia,334873,0.0901559967186925,366430,0.09865191244928821,391653,0.10544256056136526,399787,0.1076324321763054,0.0,0.0,0.0,0.0,1073829,0.28910101381848297,1131293,0.3045717271797959,7390.0,0.0019895686297525853,9118,0.002454788466317195,3714373,-13.29,-41.71
CE, Ceará,331843,0.1445524551130874,349422,0.15220995461867579,51824,0.022574791192764777,40828,0.017784879106556812,0.0,0.0,0.0,0.0,758220,0.33028438905098234,763521,0.3325935309179329,0.0,0.0,0,0.0,2295658,-5.2,-39.53
DF, Distrito Federal,131434,0.18609702293470165,132964,0.18826334553836657,43912,0.06217487462230944,37510,0.05311030121795471,0.0,0.0,0.0,0.0,190892,0.27028343428679846,169554,0.24007102139986916,0.0,0.0,0,0.0,706266,-15.83,-47.86
ES, Espírito Santo,165152,0.18270784909609664,164565,0.18205845031546178,55834,0.06176921894031837,52308,0.05786840105187114,,0.0,,0.0,240378,0.26593046012171523,225676,0.24966562047453683,0.0,0.0,0,0.0,903913,-19.19,-40.34
GO, Goiás,289619,0.1812000966003436,286960,0.17953649353265705,64162,0.04014294848774164,58377,0.03652356385195121,4902.0,0.0030669357795409984,0.0,0.0,470977,0.2946667100450593,423341,0.2648632517027062,0.0,0.0,0,0.0,1598338,-15.98,-49.86
MA, Maranhão,159463,0.08908019972001659,180921,0.10106719937255113,119597,0.06681001013347813,89702,0.05010988176119179,,0.0,,0.0,591080,0.33019273718986475,649343,0.36273997182289763,0.0,0.0,0,0.0,1790106,-5.42,-45.44
