UF,Nome,BrancaMasculino,BrancaMasculino(%),BrancaFeminino,BrancaFeminino(%),PretaMasculino,PretaMasculino(%),PretaFeminino,PretaFeminino(%),AmarelaMasculino,AmarelaMasculino(%),AmarelaFeminino,AmarelaFeminino(%),PardaMasculino,PardaMasculino(%),PardaFeminino,PardaFeminino(%),IndigenaMasculino,IndigenaMasculino(%),IndigenaFeminino,IndigenaFeminino(%),Total,latitude,longitude
AC, Acre,25631,0.12715114173599432,25268,0.12535035891635538,8125,0.040306777987786424,6458,0.03203706735324612,0.0,0.0,0,0.0,68975,0.34217353990247,67122,0.33298111410414777,0.0,0.0,0.0,0.0,201579,-8.77,-70.55
AL, Alagoas,117272,0.1343752864607205,131997,0.15124782289852415,38888,0.04455953799614997,28876,0.03308735906132551,0.0,0.0,0,0.0,282854,0.32410624255202125,272833,0.3126237510312586,0.0,0.0,0.0,0.0,872720,-9.62,-36.82
AP, Amapá,22054,0.1070250019411445,26191,0.1271012889199472,9189,0.04459294199860238,8272,0.04014286823511142,0.0,0.0,0,0.0,69368,0.33663327898128736,70990,0.34450461992390713,0.0,0.0,0.0,0.0,206064,1.41,-51.77
AM, Amazonas,98178,0.09730931970301122,113515,0.11251061771565238,26752,0.0265152979353313,16960,0.016809937686274628,0.0,0.0,4893,0.004849706668569678,355892,0.3527430626794605,353920,0.3507885109626365,19568.0,0.019394862066333837,19249.0,0.01907868458272997,1008927,-3.47,-65.1
BA, Bahia,331364,0.08709394999254863,361482,0.09501000480198955,391258,0.10283617015181068,386943,0.10170203851947329,5029.0,0.0013217955918944939,9607,0.002525052744348857,1151396,0.30262679604791265,1146247,0.30127346029474805,9294.0,0.002442785490369343,12053.0,0.0031679463649044214,3804673,-13.29,-41.71
CE, Ceará,363316,0.15816138629119394,402549,0.1752405836520655,39213,0.01707049081415789,34255,0.014912137883838996,6378.0,0.0027765177469894937,7645,0.0033280774813005142,713251,0.3104976575036067,730515,0.318013148626847,0.0,0.0,0.0,0.0,2297122,-5.2,-39.53
DF, Distrito Federal,136771,0.19158339146488715,152408,0.21348708078745143,25141,0.03521651552462677,25154,0.03523472540895198,3373.0,0.004724764602226089,5519,0.007730796276218732,182771,0.2560183667694825,182761,0.2560043591661554,0.0,0.0,0.0,0.0,713898,-15.83,-47.86
ES, Espírito Santo,173172,0.17910392189309945,194749,0.20142003144133708,50529,0.05225984610292901,50002,0.051714793976501736,0.0,0.0,0,0.0,261055,0.26999731093827567,237373,0.24550409564785702,0.0,0.0,0.0,0.0,966880,-19.19,-40.34
GO, Goiás,320414,0.20125786953607816,329666,0.20706921925534072,54510,0.03423872386478625,53267,0.03345797292433625,0.0,0.0,0,0.0,426529,0.2679106338529337,407671,0.25606558056652495,0.0,0.0,0.0,0.0,1592057,-15.98,-49.86
MA, Maranhão,190187,0.10541289539466027,206213,0.11429545341174253,147921,0.08198657584205829,106382,0.05896320273138936,0.0,0.0,0,0.0,574196,0.31825341839364596,579311,0.32108845422650356,0.0,0.0,0.0,0.0,1804210,-5.42,-45.44
MT, Mato Grosso,149369,0.17938903794373173,152727,0.1834219255537114,47546,0.05710174934606691,35765,0.04295301529807099,4629.0,0.00555933196741984,0,0.0,227199,0.27286123647997845,215419,0.2587137034110207,0.0,0.0,0.0,0.0,832654,-12.64,-55.42
MS, Mato Grosso do Sul,156500,0.2487368459532184,165558,0.2631333849349708,27211,0.04324842373950815,27989,0.04448495579159508,0.0,0.0,0,0.0,117082,0.1860869482293592,130108,0.20679011855131846,4731.0,0.00751932280002988,0.0,0.0,629179,-20.51,-54.54
MG, Minas Gerais,1057024,0.21072529521305597,1094464,0.21818922701855598,268509,0.05352918977465265,244683,0.04877930624906925,0.0,0.0,7228,0.0014409535013395803,1177455,0.234734076496928,1147656,0.22879343269692548,10495.0,0.0020922533199445067,8609.0,0.0017162657295285621,5016123,-18.1,-44.38
PA, Pará,214000,0.096926128249573,244161,0.11058682429693455,80795,0.036594142672543226,66281,0.030020377133224058,0.0,0.0,4113,0.0018628839508901577,812666,0.3680774249535864,770401,0.34893451462429576,5799.0,0.0026265169052302516,9651.0,0.004371187213722566,2207867,-3.79,-52.48
PB, Paraiba,166965,0.16625442857228206,187589,0.18679065673312265,30639,0.03050860621702842,23762,0.023660873426973116,,0.0,0,0.0,296401,0.29513957346301906,298918,0.2976458615875747,0.0,0.0,0.0,0.0,1004274,-7.28,-36.72
PR, Paraná,895689,0.32943755854972134,951701,0.35003896878194146,50331,0.01851191848885721,38109,0.014016623983069269,11845.0,0.004356632582315345,7589,0.0027912608414682274,405775,0.14924546948830808,357804,0.1316015672843191,0.0,0.0,0.0,0.0,2718843,-24.89,-51.55
PE, Pernambuco,367525,0.15555310073483788,419679,0.17762701792611668,99553,0.042135304639018614,81936,0.0346789983315684,0.0,0.0,7743,0.0032771856580908775,709289,0.3002029882786543,659473,0.2791186177835678,8162.0,0.003454525292695046,9338.0,0.003952261355450421,2362698,-8.38,-37.86
PI, Piauí,96762,0.12103692325396964,105206,0.13159929050512734,30941,0.038703245513745835,33753,0.04222069893750891,0.0,0.0,0,0.0,253170,0.31668338666219686,279610,0.3497564551274514,0.0,0.0,,0.0,799442,-6.6,-42.28
RJ, Rio de Janeiro,827859,0.22463888846679012,904126,0.24533387892615177,243534,0.06608275933929723,259991,0.07054835334443332,0.0,0.0,0,0.0,760062,0.2062422258450357,689716,0.18715389407829183,0.0,0.0,0.0,0.0,3685288,-22.25,-42.66
RN, Rio Grande do Norte,191527,0.22066059810754046,185426,0.2136315614231351,24399,0.02811038617649668,26839,0.03092154000536884,0.0,0.0,0,0.0,212267,0.24455540565295383,227513,0.2621205086345051,,0.0,,0.0,867971,-5.81,-36.59
RS, Rio Grande do Sul,987219,0.3856176599489551,1068404,0.41732933661133287,75246,0.029391843593487437,81436,0.03180971978416451,0.0,0.0,0,0.0,186802,0.07296673799206124,160991,0.06288470206999888,0.0,0.0,0.0,0.0,2560098,-30.17,-53.5
RO, Rondônia,82245,0.18053525096474246,78040,0.17130489373564958,22543,0.04948393412971231,15114,0.03317660384316515,0.0,0.0,2724,0.005979427608097251,131781,0.2892712737234449,123115,0.27024861599518835,0.0,0.0,0.0,0.0,455562,-10.83,-63.34
RR, Roraima,15457,0.11378911799998527,16824,0.12385250185881816,5672,0.0417553132752744,6012,0.04425827634184586,0.0,0.0,1891,0.013920891643784185,42062,0.3096459779592017,41566,0.3059945965444386,2405.0,0.017704782867953975,3950.0,0.029078541508697795,135839,1.99,-61.33
SC, Santa Catarina,716965,0.4318907558216234,679720,0.4094548332862467,31924,0.019230618633893574,22615,0.01362299337193031,0.0,0.0,0,0.0,111731,0.06730535805611962,97106,0.05849544083018636,0.0,0.0,0.0,0.0,1660061,-27.45,-50.95
SP, São Paulo,3215112,0.3067752215550796,3218319,0.3070812227567569,385265,0.03676069627820671,319299,0.030466441438841124,45402.0,0.004332106815888132,37695,0.0035967306820162796,1673752,0.15970381144677312,1585507,0.15128376902643814,0.0,0.0,0.0,0.0,10480351,-22.19,-48.79
SE, Sergipe,68265,0.11607325035706999,66802,0.11358566278990682,26653,0.045318982520574036,20080,0.034142691967625656,0.0,0.0,0,0.0,189469,0.3221604434469156,216851,0.3687189689179079,0.0,0.0,,0.0,588120,-10.57,-37.45
TO, Tocantins,42632,0.11239800155551748,49252,0.12985143489895729,16418,0.04328556927984814,20582,0.05426383158227765,0.0,0.0,0,0.0,127899,0.3372019140774331,122512,0.32299924860596635,0.0,0.0,0.0,0.0,379295,-9.46,-48.26
