UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,89,0.7416666666666667,31,0.25833333333333336,120,-10.83,-63.34
AC,Acre,14,0.7,6,0.3,20,-8.77,-70.55
AM,Amazonas,488,0.7758346581875993,141,0.22416534181240064,629,-3.47,-65.1
RR,Roraima,34,0.6666666666666666,17,0.3333333333333333,51,1.99,-61.33
PA,Pará,358,0.6370106761565836,204,0.36298932384341637,562,-3.79,-52.48
AP,Amapá,36,0.6792452830188679,17,0.32075471698113206,53,1.41,-51.77
TO,Tocantins,43,0.6323529411764706,25,0.36764705882352944,68,-9.46,-48.26
MA,Maranhão,251,0.6519480519480519,134,0.34805194805194806,385,-5.42,-45.44
PI,Piauí,104,0.7074829931972789,43,0.2925170068027211,147,-6.6,-42.28
CE,Ceará,291,0.7461538461538462,99,0.25384615384615383,390,-5.2,-39.53
RN,Rio Grande do Norte,108,0.6923076923076923,48,0.3076923076923077,156,-5.81,-36.59
PB,Paraíba,88,0.6567164179104478,46,0.34328358208955223,134,-7.28,-36.72
PE,Pernambuco,375,0.6793478260869565,177,0.32065217391304346,552,-8.38,-37.86
AL,Alagoas,60,0.5825242718446602,43,0.4174757281553398,103,-9.62,-36.82
SE,Sergipe,54,0.7012987012987013,23,0.2987012987012987,77,-10.57,-37.45
BA,Bahia,292,0.6334056399132321,169,0.3665943600867679,461,-13.29,-41.71
MG,Minas Gerais,568,0.7717391304347826,168,0.22826086956521738,736,-18.1,-44.38
ES,Espírito Santo,182,0.7368421052631579,65,0.2631578947368421,247,-19.19,-40.34
RJ,Rio de Janeiro,870,0.6707787201233616,427,0.3292212798766384,1297,-22.25,-42.66
SP,São Paulo,1634,0.7974621766715471,415,0.2025378233284529,2049,-22.19,-48.79
PR,Paraná,395,0.7328385899814471,144,0.26716141001855287,539,-24.89,-51.55
SC,Santa Catarina,339,0.6712871287128713,166,0.3287128712871287,505,-27.45,-50.95
RS,Rio Grande do Sul,547,0.5733752620545073,407,0.42662473794549266,954,-30.17,-53.5
MS,Mato Grosso do Sul,102,0.7285714285714285,38,0.2714285714285714,140,-20.51,-54.54
MT,Mato Grosso,137,0.6492890995260664,74,0.35071090047393366,211,-12.64,-55.42
GO,Goiás,229,0.7710437710437711,68,0.22895622895622897,297,-15.98,-49.86
DF,Distrito Federal,169,0.8894736842105263,21,0.11052631578947368,190,-15.83,-47.86
