UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,101,0.8416666666666667,19,0.15833333333333333,120,-10.83,-63.34
AC,Acre,16,0.6666666666666666,8,0.3333333333333333,24,-8.77,-70.55
AM,Amazonas,336,0.7924528301886793,88,0.20754716981132076,424,-3.47,-65.1
RR,Roraima,62,0.7560975609756098,20,0.24390243902439024,82,1.99,-61.33
PA,Pará,461,0.719188767550702,180,0.28081123244929795,641,-3.79,-52.48
AP,Amapá,75,0.7142857142857143,30,0.2857142857142857,105,1.41,-51.77
TO,Tocantins,57,0.7125,23,0.2875,80,-9.46,-48.26
MA,Maranhão,290,0.6971153846153846,126,0.30288461538461536,416,-5.42,-45.44
PI,Piauí,88,0.7457627118644068,30,0.2542372881355932,118,-6.6,-42.28
CE,Ceará,312,0.8387096774193549,60,0.16129032258064516,372,-5.2,-39.53
RN,Rio Grande do Norte,170,0.7798165137614679,48,0.22018348623853212,218,-5.81,-36.59
PB,Paraíba,138,0.770949720670391,41,0.22905027932960895,179,-7.28,-36.72
PE,Pernambuco,375,0.7530120481927711,123,0.2469879518072289,498,-8.38,-37.86
AL,Alagoas,134,0.6836734693877551,62,0.3163265306122449,196,-9.62,-36.82
SE,Sergipe,79,0.6752136752136753,38,0.3247863247863248,117,-10.57,-37.45
BA,Bahia,333,0.7207792207792207,129,0.2792207792207792,462,-13.29,-41.71
MG,Minas Gerais,639,0.852,111,0.148,750,-18.1,-44.38
ES,Espírito Santo,146,0.8111111111111111,34,0.18888888888888888,180,-19.19,-40.34
RJ,Rio de Janeiro,874,0.7094155844155844,358,0.2905844155844156,1232,-22.25,-42.66
SP,São Paulo,1703,0.8422354104846687,319,0.15776458951533134,2022,-22.19,-48.79
PR,Paraná,413,0.8227091633466136,89,0.17729083665338646,502,-24.89,-51.55
SC,Santa Catarina,330,0.75,110,0.25,440,-27.45,-50.95
RS,Rio Grande do Sul,430,0.6107954545454546,274,0.38920454545454547,704,-30.17,-53.5
MS,Mato Grosso do Sul,128,0.6994535519125683,55,0.3005464480874317,183,-20.51,-54.54
MT,Mato Grosso,175,0.7918552036199095,46,0.2081447963800905,221,-12.64,-55.42
GO,Goiás,270,0.8307692307692308,55,0.16923076923076924,325,-15.98,-49.86
DF,Distrito Federal,131,0.903448275862069,14,0.09655172413793103,145,-15.83,-47.86
