UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,69,0.711340206185567,28,0.28865979381443296,97,-10.83,-63.34
AC,Acre,8,0.6666666666666666,4,0.3333333333333333,12,-8.77,-70.55
AM,Amazonas,381,0.7920997920997921,100,0.2079002079002079,481,-3.47,-65.1
RR,Roraima,32,0.7272727272727273,12,0.2727272727272727,44,1.99,-61.33
PA,Pará,419,0.6671974522292994,209,0.3328025477707006,628,-3.79,-52.48
AP,Amapá,29,0.7435897435897436,10,0.2564102564102564,39,1.41,-51.77
TO,Tocantins,39,0.6610169491525424,20,0.3389830508474576,59,-9.46,-48.26
MA,Maranhão,296,0.6757990867579908,142,0.3242009132420091,438,-5.42,-45.44
PI,Piauí,98,0.6805555555555556,46,0.3194444444444444,144,-6.6,-42.28
CE,Ceará,338,0.7971698113207547,86,0.2028301886792453,424,-5.2,-39.53
RN,Rio Grande do Norte,116,0.7435897435897436,40,0.2564102564102564,156,-5.81,-36.59
PB,Paraíba,121,0.7378048780487805,43,0.2621951219512195,164,-7.28,-36.72
PE,Pernambuco,356,0.7355371900826446,128,0.2644628099173554,484,-8.38,-37.86
AL,Alagoas,79,0.6638655462184874,40,0.33613445378151263,119,-9.62,-36.82
SE,Sergipe,84,0.7304347826086957,31,0.26956521739130435,115,-10.57,-37.45
BA,Bahia,322,0.6750524109014675,155,0.3249475890985325,477,-13.29,-41.71
MG,Minas Gerais,636,0.795,164,0.205,800,-18.1,-44.38
ES,Espírito Santo,173,0.7863636363636364,47,0.21363636363636362,220,-19.19,-40.34
RJ,Rio de Janeiro,908,0.6941896024464832,400,0.3058103975535168,1308,-22.25,-42.66
SP,São Paulo,1575,0.7990867579908676,396,0.2009132420091324,1971,-22.19,-48.79
PR,Paraná,410,0.775047258979206,119,0.22495274102079396,529,-24.89,-51.55
SC,Santa Catarina,417,0.7290209790209791,155,0.270979020979021,572,-27.45,-50.95
RS,Rio Grande do Sul,495,0.5864928909952607,349,0.41350710900473936,844,-30.17,-53.5
MS,Mato Grosso do Sul,104,0.7172413793103448,41,0.2827586206896552,145,-20.51,-54.54
MT,Mato Grosso,142,0.7553191489361702,46,0.24468085106382978,188,-12.64,-55.42
GO,Goiás,237,0.8061224489795918,57,0.19387755102040816,294,-15.98,-49.86
DF,Distrito Federal,177,0.917098445595855,16,0.08290155440414508,193,-15.83,-47.86
