UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,67,0.7204301075268817,26,0.27956989247311825,93,-10.83,-63.34
AC,Acre,24,0.9230769230769231,2,0.07692307692307693,26,-8.77,-70.55
AM,Amazonas,391,0.780439121756487,110,0.21956087824351297,501,-3.47,-65.1
RR,Roraima,52,0.8666666666666667,8,0.13333333333333333,60,1.99,-61.33
PA,Pará,475,0.7262996941896025,179,0.27370030581039756,654,-3.79,-52.48
AP,Amapá,54,0.6585365853658537,28,0.34146341463414637,82,1.41,-51.77
TO,Tocantins,35,0.7446808510638298,12,0.2553191489361702,47,-9.46,-48.26
MA,Maranhão,252,0.6942148760330579,111,0.30578512396694213,363,-5.42,-45.44
PI,Piauí,92,0.7131782945736435,37,0.2868217054263566,129,-6.6,-42.28
CE,Ceará,322,0.8407310704960835,61,0.15926892950391644,383,-5.2,-39.53
RN,Rio Grande do Norte,101,0.7266187050359713,38,0.2733812949640288,139,-5.81,-36.59
PB,Paraíba,109,0.7364864864864865,39,0.2635135135135135,148,-7.28,-36.72
PE,Pernambuco,380,0.707635009310987,157,0.29236499068901306,537,-8.38,-37.86
AL,Alagoas,99,0.7557251908396947,32,0.24427480916030533,131,-9.62,-36.82
SE,Sergipe,95,0.8260869565217391,20,0.17391304347826086,115,-10.57,-37.45
BA,Bahia,297,0.6400862068965517,167,0.3599137931034483,464,-13.29,-41.71
MG,Minas Gerais,570,0.8507462686567164,100,0.14925373134328357,670,-18.1,-44.38
ES,Espírito Santo,141,0.8103448275862069,33,0.1896551724137931,174,-19.19,-40.34
RJ,Rio de Janeiro,875,0.7011217948717948,373,0.2988782051282051,1248,-22.25,-42.66
SP,São Paulo,1686,0.8383888612630532,325,0.1616111387369468,2011,-22.19,-48.79
PR,Paraná,366,0.7754237288135594,106,0.2245762711864407,472,-24.89,-51.55
SC,Santa Catarina,392,0.7327102803738318,143,0.2672897196261682,535,-27.45,-50.95
RS,Rio Grande do Sul,448,0.6005361930294906,298,0.39946380697050937,746,-30.17,-53.5
MS,Mato Grosso do Sul,100,0.684931506849315,46,0.3150684931506849,146,-20.51,-54.54
MT,Mato Grosso,137,0.7740112994350282,40,0.22598870056497175,177,-12.64,-55.42
GO,Goiás,246,0.8512110726643599,43,0.14878892733564014,289,-15.98,-49.86
DF,Distrito Federal,130,0.9090909090909091,13,0.09090909090909091,143,-15.83,-47.86
