UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,57,0.5588235294117647,45,0.4411764705882353,102,-10.83,-63.34
AC,Acre,12,0.5714285714285714,9,0.42857142857142855,21,-8.77,-70.55
AM,Amazonas,278,0.6747572815533981,134,0.32524271844660196,412,-3.47,-65.1
RR,Roraima,26,0.5531914893617021,21,0.44680851063829785,47,1.99,-61.33
PA,Pará,236,0.5959595959595959,160,0.40404040404040403,396,-3.79,-52.48
AP,Amapá,27,0.6136363636363636,17,0.38636363636363635,44,1.41,-51.77
TO,Tocantins,36,0.6666666666666666,18,0.3333333333333333,54,-9.46,-48.26
MA,Maranhão,191,0.5584795321637427,151,0.4415204678362573,342,-5.42,-45.44
PI,Piauí,72,0.6990291262135923,31,0.30097087378640774,103,-6.6,-42.28
CE,Ceará,228,0.6589595375722543,118,0.34104046242774566,346,-5.2,-39.53
RN,Rio Grande do Norte,71,0.6228070175438597,43,0.37719298245614036,114,-5.81,-36.59
PB,Paraíba,77,0.6209677419354839,47,0.3790322580645161,124,-7.28,-36.72
PE,Pernambuco,257,0.5976744186046512,173,0.40232558139534885,430,-8.38,-37.86
AL,Alagoas,58,0.5576923076923077,46,0.4423076923076923,104,-9.62,-36.82
SE,Sergipe,40,0.5882352941176471,28,0.4117647058823529,68,-10.57,-37.45
BA,Bahia,261,0.5723684210526315,195,0.4276315789473684,456,-13.29,-41.71
MG,Minas Gerais,468,0.6792452830188679,221,0.32075471698113206,689,-18.1,-44.38
ES,Espírito Santo,143,0.6941747572815534,63,0.3058252427184466,206,-19.19,-40.34
RJ,Rio de Janeiro,806,0.6371541501976284,459,0.36284584980237156,1265,-22.25,-42.66
SP,São Paulo,1486,0.7295041728031418,551,0.2704958271968581,2037,-22.19,-48.79
PR,Paraná,333,0.6259398496240601,199,0.37406015037593987,532,-24.89,-51.55
SC,Santa Catarina,359,0.5866013071895425,253,0.4133986928104575,612,-27.45,-50.95
RS,Rio Grande do Sul,554,0.48983200707338637,577,0.5101679929266136,1131,-30.17,-53.5
MS,Mato Grosso do Sul,70,0.5737704918032787,52,0.4262295081967213,122,-20.51,-54.54
MT,Mato Grosso,104,0.574585635359116,77,0.425414364640884,181,-12.64,-55.42
GO,Goiás,192,0.735632183908046,69,0.26436781609195403,261,-15.98,-49.86
DF,Distrito Federal,118,0.7612903225806451,37,0.23870967741935484,155,-15.83,-47.86
