UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,73,0.8021978021978022,18,0.1978021978021978,91,-10.83,-63.34
AC,Acre,31,0.9393939393939394,2,0.06060606060606061,33,-8.77,-70.55
AM,Amazonas,376,0.8173913043478261,84,0.1826086956521739,460,-3.47,-65.1
RR,Roraima,49,0.7424242424242424,17,0.25757575757575757,66,1.99,-61.33
PA,Pará,506,0.7386861313868613,179,0.2613138686131387,685,-3.79,-52.48
AP,Amapá,59,0.7283950617283951,22,0.2716049382716049,81,1.41,-51.77
TO,Tocantins,59,0.8194444444444444,13,0.18055555555555555,72,-9.46,-48.26
MA,Maranhão,228,0.6846846846846847,105,0.3153153153153153,333,-5.42,-45.44
PI,Piauí,81,0.801980198019802,20,0.19801980198019803,101,-6.6,-42.28
CE,Ceará,310,0.8157894736842105,70,0.18421052631578946,380,-5.2,-39.53
RN,Rio Grande do Norte,173,0.7688888888888888,52,0.2311111111111111,225,-5.81,-36.59
PB,Paraíba,111,0.75,37,0.25,148,-7.28,-36.72
PE,Pernambuco,355,0.7734204793028322,104,0.22657952069716775,459,-8.38,-37.86
AL,Alagoas,109,0.7676056338028169,33,0.2323943661971831,142,-9.62,-36.82
SE,Sergipe,98,0.8376068376068376,19,0.1623931623931624,117,-10.57,-37.45
BA,Bahia,340,0.7083333333333334,140,0.2916666666666667,480,-13.29,-41.71
MG,Minas Gerais,569,0.8713629402756509,84,0.12863705972434916,653,-18.1,-44.38
ES,Espírito Santo,141,0.7833333333333333,39,0.21666666666666667,180,-19.19,-40.34
RJ,Rio de Janeiro,835,0.7204486626402071,324,0.27955133735979293,1159,-22.25,-42.66
SP,São Paulo,1630,0.8606124604012672,264,0.13938753959873285,1894,-22.19,-48.79
PR,Paraná,373,0.7869198312236287,101,0.21308016877637131,474,-24.89,-51.55
SC,Santa Catarina,307,0.7073732718894009,127,0.2926267281105991,434,-27.45,-50.95
RS,Rio Grande do Sul,402,0.6442307692307693,222,0.3557692307692308,624,-30.17,-53.5
MS,Mato Grosso do Sul,166,0.7867298578199052,45,0.2132701421800948,211,-20.51,-54.54
MT,Mato Grosso,187,0.7663934426229508,57,0.2336065573770492,244,-12.64,-55.42
GO,Goiás,252,0.8155339805825242,57,0.18446601941747573,309,-15.98,-49.86
DF,Distrito Federal,135,0.9060402684563759,14,0.09395973154362416,149,-15.83,-47.86
