UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,47,0.5465116279069767,39,0.45348837209302323,86,-10.83,-63.34
AC,Acre,13,0.65,7,0.35,20,-8.77,-70.55
AM,Amazonas,302,0.7072599531615925,125,0.2927400468384075,427,-3.47,-65.1
RR,Roraima,31,0.6078431372549019,20,0.39215686274509803,51,1.99,-61.33
PA,Pará,254,0.5594713656387665,200,0.44052863436123346,454,-3.79,-52.48
AP,Amapá,17,0.5,17,0.5,34,1.41,-51.77
TO,Tocantins,16,0.48484848484848486,17,0.5151515151515151,33,-9.46,-48.26
MA,Maranhão,183,0.5754716981132075,135,0.42452830188679247,318,-5.42,-45.44
PI,Piauí,73,0.6403508771929824,41,0.35964912280701755,114,-6.6,-42.28
CE,Ceará,205,0.6327160493827161,119,0.36728395061728397,324,-5.2,-39.53
RN,Rio Grande do Norte,60,0.6122448979591837,38,0.3877551020408163,98,-5.81,-36.59
PB,Paraíba,54,0.5142857142857142,51,0.4857142857142857,105,-7.28,-36.72
PE,Pernambuco,285,0.6155507559395248,178,0.38444924406047515,463,-8.38,-37.86
AL,Alagoas,66,0.5945945945945946,45,0.40540540540540543,111,-9.62,-36.82
SE,Sergipe,34,0.5573770491803278,27,0.4426229508196721,61,-10.57,-37.45
BA,Bahia,250,0.5387931034482759,214,0.46120689655172414,464,-13.29,-41.71
MG,Minas Gerais,480,0.7153502235469449,191,0.2846497764530551,671,-18.1,-44.38
ES,Espírito Santo,125,0.6578947368421053,65,0.34210526315789475,190,-19.19,-40.34
RJ,Rio de Janeiro,813,0.6187214611872146,501,0.3812785388127854,1314,-22.25,-42.66
SP,São Paulo,1392,0.7080366225839267,574,0.29196337741607326,1966,-22.19,-48.79
PR,Paraná,262,0.5835189309576837,187,0.41648106904231624,449,-24.89,-51.55
SC,Santa Catarina,251,0.5565410199556541,200,0.4434589800443459,451,-27.45,-50.95
RS,Rio Grande do Sul,510,0.5074626865671642,495,0.4925373134328358,1005,-30.17,-53.5
MS,Mato Grosso do Sul,68,0.6296296296296297,40,0.37037037037037035,108,-20.51,-54.54
MT,Mato Grosso,70,0.5343511450381679,61,0.46564885496183206,131,-12.64,-55.42
GO,Goiás,165,0.7300884955752213,61,0.26991150442477874,226,-15.98,-49.86
DF,Distrito Federal,126,0.7682926829268293,38,0.23170731707317074,164,-15.83,-47.86
