UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,71,0.6826923076923077,33,0.3173076923076923,104,-10.83,-63.34
AC,Acre,18,0.72,7,0.28,25,-8.77,-70.55
AM,Amazonas,278,0.7202072538860104,108,0.27979274611398963,386,-3.47,-65.1
RR,Roraima,27,0.5192307692307693,25,0.4807692307692308,52,1.99,-61.33
PA,Pará,264,0.6027397260273972,174,0.3972602739726027,438,-3.79,-52.48
AP,Amapá,30,0.6122448979591837,19,0.3877551020408163,49,1.41,-51.77
TO,Tocantins,31,0.5344827586206896,27,0.46551724137931033,58,-9.46,-48.26
MA,Maranhão,196,0.5632183908045977,152,0.4367816091954023,348,-5.42,-45.44
PI,Piauí,87,0.6744186046511628,42,0.32558139534883723,129,-6.6,-42.28
CE,Ceará,280,0.7052896725440806,117,0.2947103274559194,397,-5.2,-39.53
RN,Rio Grande do Norte,81,0.6639344262295082,41,0.3360655737704918,122,-5.81,-36.59
PB,Paraíba,79,0.6638655462184874,40,0.33613445378151263,119,-7.28,-36.72
PE,Pernambuco,288,0.5962732919254659,195,0.40372670807453415,483,-8.38,-37.86
AL,Alagoas,71,0.5916666666666667,49,0.4083333333333333,120,-9.62,-36.82
SE,Sergipe,62,0.7045454545454546,26,0.29545454545454547,88,-10.57,-37.45
BA,Bahia,290,0.6157112526539278,181,0.3842887473460722,471,-13.29,-41.71
MG,Minas Gerais,575,0.7575757575757576,184,0.24242424242424243,759,-18.1,-44.38
ES,Espírito Santo,163,0.7375565610859729,58,0.26244343891402716,221,-19.19,-40.34
RJ,Rio de Janeiro,816,0.6306027820710973,478,0.3693972179289026,1294,-22.25,-42.66
SP,São Paulo,1586,0.7520151730678046,523,0.24798482693219534,2109,-22.19,-48.79
PR,Paraná,321,0.6294117647058823,189,0.37058823529411766,510,-24.89,-51.55
SC,Santa Catarina,350,0.6329113924050633,203,0.3670886075949367,553,-27.45,-50.95
RS,Rio Grande do Sul,505,0.4888673765730881,528,0.5111326234269119,1033,-30.17,-53.5
MS,Mato Grosso do Sul,87,0.5370370370370371,75,0.46296296296296297,162,-20.51,-54.54
MT,Mato Grosso,108,0.574468085106383,80,0.425531914893617,188,-12.64,-55.42
GO,Goiás,215,0.7190635451505016,84,0.2809364548494983,299,-15.98,-49.86
DF,Distrito Federal,156,0.8297872340425532,32,0.1702127659574468,188,-15.83,-47.86
