UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Total,latitude,longitude
AC, Acre,48717,0.225328856080369,14952,0.0691569073652661,0.0,0.0,146487,0.677540656047067,6048,0.0279735805072987,216204,-8.77,-70.55
AL, Alagoas,247099,0.273511454099478,62828,0.0695436955963482,0.0,0.0,593505,0.656944850304173,0,0.0,903432,-9.62,-36.82
AP, Amapá,59615,0.276945447112548,17040,0.0791604532214681,,0.0,138604,0.643894099665984,0,0.0,215259,1.41,-51.77
AM, Amazonas,227594,0.212214793887008,45476,0.0424030509011907,0.0,0.0,773701,0.721419713371936,25699,0.023962441839865,1072470,-3.47,-65.1
BA, Bahia,701303,0.188807909167981,791440,0.213074992737671,0.0,0.0,2205122,0.593672740998279,16508,0.00444435709606978,3714373,-13.29,-41.71
CE, Ceará,681265,0.296762409731763,92652,0.0403596702993216,0.0,0.0,1521741,0.662877919968915,0,0.0,2295658,-5.2,-39.53
DF, Distrito Federal,264398,0.374360368473068,81422,0.115285175840264,0.0,0.0,360446,0.510354455686668,0,0.0,706266,-15.83,-47.86
ES, Espírito Santo,329717,0.364766299411558,108142,0.11963761999219,,0.0,466054,0.515596080596252,0,0.0,903913,-19.19,-40.34
GO, Goiás,576579,0.359733690043761,122539,0.0764533683055964,9358.0,0.0058385544243365,894318,0.557974387226306,0,0.0,1602794,-15.98,-49.86
MA, Maranhão,340384,0.189255940102461,209299,0.116371741937062,,0.0,1240423,0.689684065613293,8432,0.00468825234718421,1798538,-5.42,-45.44
MT, Mato Grosso,246334,0.314565045831024,68959,0.0880596709973515,0.0,0.0,467801,0.597375283171624,0,0.0,783094,-12.64,-55.42
MS, Mato Grosso do Sul,272241,0.438278382381351,42133,0.0678295447227768,5056.0,0.00813960976238006,295408,0.475574731148174,6322,0.0101777319853178,621160,-20.51,-54.54
MG, Minas Gerais,2000732,0.403285656205031,507644,0.102325320761875,11569.0,0.00233195238374555,2418339,0.487462304067321,22795,0.00459476658202782,4961079,-18.1,-44.38
PA, Pará,418135,0.194754232440982,171074,0.0796809297490251,4754.0,0.00221426482122862,1529546,0.712414787600117,23479,0.0109357853886468,2146988,-3.79,-52.48
PB, Paraiba,335692,0.342440125105326,70376,0.0717907076856535,0.0,0.0,567378,0.578783507804801,6848,0.00698565940421955,980294,-7.28,-36.72
PR, Paraná,1685113,0.647887145243097,86801,0.0333729857251389,25082.0,0.00964345143440669,796389,0.306193231974951,7551,0.0029031856224067,2600936,-24.89,-51.55
PE, Pernambuco,735986,0.323532230313612,161224,0.0708724898300808,6623.0,0.00291140587099083,1357619,0.596796002894262,13394,0.00588787109105408,2274846,-8.38,-37.86
PI, Piauí,187783,0.228827015243111,66702,0.0812811573504843,,0.0,566148,0.689891827406405,0,0.0,820633,-6.6,-42.28
RJ, Rio de Janeiro,1604354,0.440049612600416,539364,0.147939244861552,11016.0,0.00302151927343104,1491114,0.408989623264601,0,0.0,3645848,-22.25,-42.66
RN, Rio Grande do Norte,378506,0.415237037898418,49252,0.0540315202151958,,0.0,483784,0.530731441886386,0,0.0,911542,-5.81,-36.59
RS, Rio Grande do Sul,1895409,0.770277288753859,192567,0.0782575088877727,4115.0,0.00167229924687607,359237,0.14599070827461,9356,0.00380219483688275,2460684,-30.17,-53.5
RO, Rondônia,131982,0.293554923387285,29469,0.0655450746109311,0.0,0.0,288148,0.640900002001784,0,0.0,449599,-10.83,-63.34
RR, Roraima,32123,0.226507026562026,9506,0.0670291004731383,,0.0,92969,0.655546859024531,7221,0.0509170139403042,141819,1.99,-61.33
SC, Santa Catarina,1244274,0.816145362573414,38256,0.0250929112001123,0.0,0.0,242044,0.158761726226474,0,0.0,1524574,-27.45,-50.95
SP, São Paulo,5914797,0.578821680204285,719384,0.0703988751587044,83527.0,0.00817394721787126,3474221,0.339987059001519,26757,0.00261843841762043,10218686,-22.19,-48.79
SE, Sergipe,132287,0.23252343479476,52394,0.0920939536208142,0.0,0.0,384238,0.675382611584426,0,0.0,568919,-10.57,-37.45
TO, Tocantins,70156,0.190184963796109,35206,0.0954394753892155,0.0,0.0,263521,0.714375560814676,0,0.0,368883,-9.46,-48.26
