UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Ignorado,Ignorado(%),Total,latitude,longitude
AC, Acre,47887,0.223004060800238,12343,0.0574798822740481,4754,0.0221388123090679,145814,0.679038447209597,3871,0.0180267863795544,67,"0,0%",214736,-8.77,-70.55
AL, Alagoas,259178,0.296180411122336,57849,0.0661080053207294,12163,0.013899491239538,541962,0.619337011523676,3916,0.00447508079372117,0,"0,0%",875068,-9.62,-36.82
AP, Amapá,48772,0.237316010996764,18298,0.0890348636352578,2543,0.0123737926672019,133684,0.650482933119237,2218,0.0107923995815391,0,"0,0%",205515,1.41,-51.77
AM, Amazonas,216488,0.210647380092184,42118,0.0409817003931978,10783,0.0104920859333267,713009,0.693772762611083,45329,0.044106070970209,0,"0,0%",1027727,-3.47,-65.1
BA, Bahia,792550,0.201194193076869,704945,0.178955069634185,49796,0.012641052348061,2375548,0.603048972273508,14566,0.00369767789585221,1824,"0,0%",3939229,-13.29,-41.71
CE, Ceará,735402,0.304831613530607,105440,0.0437059531122668,31579,0.0130898168942742,1534122,0.635909182478157,5864,0.00243068768067462,79,"0,0%",2412486,-5.2,-39.53
DF, Distrito Federal,284090,0.387393517577867,63518,0.0866150214703472,13817,0.0188412694300165,369898,0.504403841617156,1844,0.00251453288188104,170,"0,0%",733337,-15.83,-47.86
ES, Espírito Santo,370812,0.391366572381475,84299,0.0889717988770212,6812,0.0071895976696078,482783,0.509544264786592,2774,0.00292776628530418,0,"0,0%",947480,-19.19,-40.34
GO, Goiás,641195,0.38997882833925,113477,0.0690174245018334,33767,0.0205373015955075,853299,0.518981814023899,2261,0.00137515440837038,180,"0,0%",1644179,-15.98,-49.86
MA, Maranhão,412237,0.213209198308134,184200,0.0952683391552874,23918,0.0123704024751149,1304504,0.67469017101753,8627,0.00446188904393412,0,"0,0%",1933486,-5.42,-45.44
MT, Mato Grosso,302746,0.354324276244335,66807,0.0781887850642298,10817,0.0126598722894274,462308,0.541070559155088,11448,0.0133983745927119,306,"0,0%",854432,-12.64,-55.42
MS, Mato Grosso do Sul,299584,0.451741317538632,34478,0.0519892155325283,7348,0.0110800149583218,301813,0.455102416251493,19844,0.0299226751269648,109,"0,0%",663176,-20.51,-54.54
MG, Minas Gerais,2178662,0.422532812949702,493681,0.0957451966527262,57891,0.0112274630367038,2416946,0.468745951472752,8049,0.00156103453010708,967,"0,0%",5156196,-18.1,-44.38
PA, Pará,462759,0.206240807922345,157936,0.0703883624954318,22629,0.0100852133453369,1589980,0.708616709303051,10118,0.00450935474957438,358,"0,0%",2243780,-3.79,-52.48
PB, Paraiba,392119,0.382057515333687,57393,0.0559203379013675,14846,0.0144650625770338,556305,0.542030623529355,5558,0.00541538581457321,114,"0,0%",1026335,-7.28,-36.72
PR, Paraná,1865140,0.688473711137377,85953,0.0317275812504107,28041,0.0103506928884712,723585,0.267094829489121,6375,0.00235318523462087,0,"0,0%",2709094,-24.89,-51.55
PE, Pernambuco,841806,0.349147440122138,155938,0.0646768418350143,25802,0.0107016370161669,1372422,0.569225721920853,14936,0.00619485506834622,129,"0,0%",2411033,-8.38,-37.86
PI, Piauí,208664,0.237255952035784,81030,0.0921330454388855,18994,0.0215966316804417,569955,0.648052448637789,846,0.000961922207099805,0,"0,0%",879489,-6.6,-42.28
RJ, Rio de Janeiro,1750433,0.444580833502232,503885,0.127978399224233,36444,0.00925616912852726,1642222,0.417097041449574,3289,0.000835351231031889,993,"0,0%",3937266,-22.25,-42.66
RN, Rio Grande do Norte,356467,0.398365043444249,46344,0.0517911323443131,10592,0.0118369513592043,480549,0.537031263096136,632,0.000706283351493309,241,"0,0%",894825,-5.81,-36.59
RS, Rio Grande do Sul,2157644,0.817189721556689,162617,0.0615898363911674,8503,0.00322044053717691,302450,0.114550422259103,9108,0.00344957925586349,0,"0,0%",2640322,-30.17,-53.5
RO, Rondônia,152177,0.335789987003272,31682,0.0699087139859353,7626,0.0168273421140314,257028,0.567151598332712,3665,0.008087097934425,1013,"0,2%",453191,-10.83,-63.34
RR, Roraima,26843,0.201436311516007,8012,0.0601239700430743,1361,0.0102132704978313,84376,0.633177745426166,12666,0.0950487025169221,0,"0,0%",133258,1.99,-61.33
SC, Santa Catarina,1382610,0.824100073850181,53857,0.0321012850169963,8079,0.00481546097354685,228336,0.136098910367099,4692,0.00279665093302164,147,"0,0%",1677721,-27.45,-50.95
SP, São Paulo,6512641,0.607037474256809,617138,0.0575228840017281,117090,0.0109138547419902,3464517,0.32292454769114,11186,0.00104263710943635,5993,"0,1%",10728565,-22.19,-48.79
SE, Sergipe,154518,0.260919342255904,54070,0.0913026885914699,8660,0.0146232898687281,373279,0.63031951719503,1526,0.00257680604384285,153,"0,0%",592206,-10.57,-37.45
TO, Tocantins,89385,0.225527770558893,37339,0.0942102301828999,9073,0.0228921347237326,256991,0.648415363693019,3549,0.00895450084145563,0,"0,0%",396337,-9.46,-48.26
