UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Total,latitude,longitude
AC, Acre,53313,0.240773357901582,13417,0.0605941542018932,3731.0,0.0168500252908447,142393,0.643078437748392,8570.0,0.0387040248572874,221424,-8.77,-70.55
AL, Alagoas,241691,0.27334024720288,47019,0.0531761012335263,0.0,0.0,595503,0.673483651563594,0.0,0.0,884213,-9.62,-36.82
AP, Amapá,35330,0.171676530899832,13977,0.0679174319951019,0.0,0.0,156487,0.760406037105066,0.0,0.0,205794,1.41,-51.77
AM, Amazonas,208448,0.204266261102705,41883,0.0410427723641609,4768.0,0.00467234769792802,736084,0.721317194396319,29289.0,0.0287014244388871,1020472,-3.47,-65.1
BA, Bahia,716587,0.188557712573996,706451,0.185890596125261,10237.0,0.00269369288533004,2356844,0.620163516130976,10240.0,0.00269448228443681,3800359,-13.29,-41.71
CE, Ceará,726590,0.310427623568215,84391,0.0360551309274078,5697.0,0.00243398088532477,1523932,0.651083264619052,0.0,0.0,2340610,-5.2,-39.53
DF, Distrito Federal,278903,0.380415301560109,68975,0.0940798249753803,4386.0,0.005982372052802,380890,0.519522501411709,0.0,0.0,733154,-15.83,-47.86
ES, Espírito Santo,340883,0.375654728647829,85778,0.0945277743799294,0.0,0.0,480776,0.529817496972242,0.0,0.0,907437,-19.19,-40.34
GO, Goiás,603763,0.375151144598002,103879,0.0645457335903258,0.0,0.0,901744,0.560303121811672,0.0,0.0,1609386,-15.98,-49.86
MA, Maranhão,363579,0.20504891624035,184408,0.104001222694519,,0.0,1225146,0.690949861065132,0.0,0.0,1773133,-5.42,-45.44
MT, Mato Grosso,297742,0.371839126394981,78964,0.0986152601132969,0.0,0.0,424022,0.529545613491723,0.0,0.0,800728,-12.64,-55.42
MS, Mato Grosso do Sul,325553,0.478413190592004,41954,0.0616530856668406,5036.0,0.00740060398098415,303327,0.445751192164412,4615.0,0.00678192759575891,680485,-20.51,-54.54
MG, Minas Gerais,2058382,0.412866860305003,510649,0.102425132627418,10737.0,0.00215360971826164,2391094,0.479601683494187,14721.0,0.00295271385512988,4985583,-18.1,-44.38
PA, Pará,413945,0.19105794625112,152646,0.0704543629309414,4060.0,0.00187390900187114,1584970,0.73154915041766,10973.0,0.0050646313984069,2166594,-3.79,-52.48
PB, Paraiba,342404,0.344279635453953,56043,0.0563499947715152,0.0,0.0,596105,0.599370369774532,0.0,0.0,994552,-7.28,-36.72
PR, Paraná,1779248,0.679945214525488,85027,0.0324933352491944,19072.0,0.00728842473417427,733405,0.280273025491143,0.0,0.0,2616752,-24.89,-51.55
PE, Pernambuco,764604,0.337442704329183,140725,0.06210616811673,5093.0,0.00224769382994142,1341810,0.592181044169192,13646.0,0.00602238955495397,2265878,-8.38,-37.86
PI, Piauí,205835,0.238289837589908,62418,0.0722596987037524,0.0,0.0,595548,0.68945046370634,,0.0,863801,-6.6,-42.28
RJ, Rio de Janeiro,1600511,0.441890244660012,569730,0.157298593443062,16443.0,0.00453980090917499,1435281,0.396271360987751,0.0,0.0,3621965,-22.25,-42.66
RN, Rio Grande do Norte,408897,0.44347183840978,43785,0.0474872998451254,0.0,0.0,469354,0.509040861745095,,0.0,922036,-5.81,-36.59
RS, Rio Grande do Sul,2003190,0.782244919795284,165209,0.0645140505665759,0.0,0.0,387126,0.151172553188,5297.0,0.00206847645013984,2560822,-30.17,-53.5
RO, Rondônia,150443,0.322087058541431,33236,0.0711557565169732,0.0,0.0,283409,0.606757184941596,0.0,0.0,467088,-10.83,-63.34
RR, Roraima,29943,0.216299581747127,10900,0.0787384510918639,,0.0,92746,0.669970310547341,4844.0,0.0349916566136687,138433,1.99,-61.33
SC, Santa Catarina,1322379,0.82942459323115,49259,0.0308963058532941,0.0,0.0,222695,0.139679100915555,0.0,0.0,1594333,-27.45,-50.95
SP, São Paulo,6223905,0.602385751114102,655470,0.0634402016551924,96997.0,0.00938793421506506,3342408,0.323497700175337,13312.0,0.00128841284030378,10332092,-22.19,-48.79
SE, Sergipe,130408,0.218566632755162,62276,0.104375924954454,0.0,0.0,403967,0.677057442290384,0.0,0.0,596651,-10.57,-37.45
TO, Tocantins,75888,0.205521522237208,28131,0.0761849823694773,0.0,0.0,265227,0.718293495393315,0.0,0.0,369246,-9.46,-48.26
