UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Ignorado,Ignorado(%),Total,latitude,longitude
RO,Rondônia,114940,0.262110704944164,29071,0.0662938951055489,8098,0.0184667869204615,284182,0.648052413019336,2226.0,0.0050762000104899,0.0,"0,0%",438517,-10.83,-63.34
AC,Acre,37356,0.162860655523294,10835,0.0472372631597304,1015,0.00442508741182523,178902,0.779957623793455,1266.0,0.00551937011169531,0.0,"0,0%",229374,-8.77,-70.55
AM,Amazonas,149630,0.148089865399842,18453,0.0182630641330166,6343,0.006277711797308,816559,0.808154196357878,19415.0,0.0192151623119557,0.0,"0,0%",1010400,-3.47,-65.1
RR,Roraima,28631,0.203856258944655,7711,0.0549032731208214,321,0.002285559677316,94289,0.671349334624449,9496.0,0.0676126937563636,0.0,"0,0%",140447,1.99,-61.33
PA,Pará,368999,0.167729944058048,161056,0.0732086370700545,10896,0.0049528195752739,1647835,0.749029868283909,11174.0,0.00507918556664011,0.0,"0,0%",2199959,-3.79,-52.48
AP,Amapá,35464,0.14626682229307,17904,0.0738428035849064,2222,0.00916436045384619,186016,0.767199673349528,855.0,0.00352634031864918,0.0,"0,0%",242461,1.41,-51.77
TO,Tocantins,71313,0.195839512275498,36044,0.0989839072884056,2265,0.00622013511286868,252625,0.693757895314989,1892.0,0.00519580381172077,0.0,"0,0%",364140,-9.46,-48.26
MA,Maranhão,284906,0.165250265647693,201835,0.117067690280311,10853,0.00629492230094984,1222361,0.708989912347862,4133.0,0.0023972094231849,0.0,"0,0%",1724088,-5.42,-45.44
PI,Piauí,118560,0.159331924037806,55148,0.0741129971899203,2320,0.00311783117212981,567290,0.76237691622307,789.0,0.00106033137707346,0.0,"0,0%",744107,-6.6,-42.28
CE,Ceará,532250,0.240703791203424,96974,0.04385534889274,9766,0.00441655843098664,1564351,0.7074593076052,7883.0,0.00356499386764977,0.0,"0,0%",2211224,-5.2,-39.53
RN,Rio Grande do Norte,279900,0.337160264958099,42849,0.0516147916869939,3179,0.00382934077278241,502651,0.605480329908729,1590.0,0.00191527267339542,0.0,"0,0%",830169,-5.81,-36.59
PB,Paraíba,277715,0.301203773900047,55781,0.0604988845108062,3589,0.00389255295726651,583825,0.633204160010065,1107.0,0.001200628621815,0.0,"0,0%",922017,-7.28,-36.72
PE,Pernambuco,676745,0.309508651671107,157402,0.0719876479181016,9975,0.00456205631429755,1338253,0.612048676569187,4139.0,0.00189296752730602,0.0,"0,0%",2186514,-8.38,-37.86
AL,Alagoas,177619,0.225898760869261,43659,0.0555262331214063,4131,0.00525387363486405,559265,0.711282410651717,1313.0,0.0016698949606818,290.796,"0,0%",786277,-9.62,-36.82
SE,Sergipe,104768,0.188491660114821,51930,0.0934290232681987,1344,0.00241803595749006,397037,0.714322725040166,743.0,0.00133675648542792,0.0,"0,0%",555823,-10.57,-37.45
BA,Bahia,577790,0.170138348015799,731346,0.215355060260583,7997,0.00235482851742388,2068464,0.609088159868033,10404.0,0.00306360333816156,0.0,"0,0%",3396001,-13.29,-41.71
MG,Minas Gerais,1727942,0.355126749361089,594034,0.122085905331293,4638,0.000953202053967513,2536670,0.521336579180201,2421.0,0.00049756407344876,0.0,"0,0%",4865705,-18.1,-44.38
ES,Espírito Santo,292997,0.336571575607616,97149,0.111597019760285,2297,0.00263861032423777,475206,0.545878736499666,2885.0,0.00331405780819589,0.0,"0,0%",870534,-19.19,-40.34
RJ,Rio de Janeiro,1419092,0.395072795586607,492793,0.13719273179999,6606,0.00183909914765578,1664701,0.463449922827992,8079.0,0.00224917983861808,704.625,"0,0%",3591976,-22.25,-42.66
SP,São Paulo,5370400,0.544268318686816,704682,0.071416670517813,88820,0.00900154775543032,3667443,0.371680514578008,35847.3,0.00363297886571985,0.0,"0,0%",9867192,-22.19,-48.79
PR,Paraná,1570480,0.618224003457847,112788,0.0443993230744764,24121,0.00949530155583435,831348,0.327262549555979,1572.0,0.000618822355863007,0.0,"0,0%",2540309,-24.89,-51.55
SC,Santa Catarina,1225683,0.788835413840241,47867,0.030806648011183,2846,0.00183165270937863,274529,0.176683691726284,2862.0,0.00184195012447001,0.0,"0,0%",1553788,-27.45,-50.95
RS,Rio Grande do Sul,1733253,0.767431728249276,149403,0.0661511057506472,2438,0.00107947227177552,369034,0.163397034594917,4383.0,0.00194065913338478,0.0,"0,0%",2258511,-30.17,-53.5
MS,Mato Grosso do Sul,255754,0.418168589203816,35840,0.0585999133427621,1583,0.00258827184212032,313250,0.51217697697043,5178.0,0.00846624864087115,0.0,"0,0%",611605,-20.51,-54.54
MT,Mato Grosso,223958,0.289874993851944,69704,0.0902198026927189,3719,0.00481360389954983,472096,0.611046826179585,3126.0,0.00404606770368184,0.0,"0,0%",772602,-12.64,-55.42
GO,Goiás,493936,0.315590463843917,130098,0.0831234981154764,5422,0.00346427775048127,931952,0.595451969405482,3709.0,0.00236979088464313,0.0,"0,0%",1565117,-15.98,-49.86
DF,Distrito Federal,242974,0.341840876444362,68744,0.0967161474490736,11489,0.016163909840021,386977,0.544439145109394,596.0,0.000838514254038867,0.0,"0,0%",710781,-15.83,-47.86
