UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Ignorado,Ignorado(%),Total,latitude,longitude
RO,Rondônia,115901,0.264763462500543,27643,0.0631474827128541,1345,0.00307250892626664,290792,0.664283283038608,2072.0,0.00473326282172823,0.0,"0,0%",437753,-10.83,-63.34
AC,Acre,36621,0.171020678833617,10354,0.0483533521379336,1117,0.00521640857041451,165277,0.771846337772963,763.0,0.00356322268507276,0.0,"0,0%",214132,-8.77,-70.55
AM,Amazonas,170489,0.164440389165332,23551,0.0227154573329231,3068,0.00295915345834181,815886,0.786939986477402,23788.0,0.022944049044014,0.0,"0,0%",1036783,-3.47,-65.1
RR,Roraima,23686,0.188079659509592,10851,0.0861628128573244,162,0.00128636767882099,85509,0.678987739804345,5729.0,0.0454913606911447,0.0,"0,0%",125936,1.99,-61.33
PA,Pará,331003,0.154599383382912,154980,0.0723854842303052,2785,0.00130077154201445,1645462,0.768535060346925,6806.0,0.00317883343445256,0.0,"0,0%",2141037,-3.79,-52.48
AP,Amapá,37265,0.174198192807692,14065,0.0657479560402575,285,0.00133225506373789,162149,0.757978338000121,159.0,0.000743258088190611,0.0,"0,0%",213923,1.41,-51.77
TO,Tocantins,74557,0.199128776548011,39443,0.105345391222597,1416,0.00378188966283492,257364,0.687374471176445,1636.0,0.00436947139011153,0.0,"0,0%",374416,-9.46,-48.26
MA,Maranhão,312359,0.174048541622787,176144,0.0981486248694743,5142,0.00286515708215345,1297967,0.723235967026734,3054.0,0.00170170939885193,0.0,"0,0%",1794666,-5.42,-45.44
PI,Piauí,122239,0.161687093761822,52101,0.0689146612135626,0,0.0,580133,0.767349362849229,1549.0,0.00204888217538643,0.0,"0,0%",756022,-6.6,-42.28
CE,Ceará,566831,0.261353717931398,75748,0.0349257916837074,5386,0.00248337004288493,1515625,0.698822451029981,5236.0,0.00241420823329846,0.0,"0,0%",2168827,-5.2,-39.53
RN,Rio Grande do Norte,309380,0.382107706007531,36409,0.0449678695068466,914,0.00112885914826713,462466,0.571180497661384,498.0,0.000615067675970492,0.0,"0,0%",809667,-5.81,-36.59
PB,Paraíba,302547,0.321573199948131,36796,0.0391099811443889,1698,0.00180478171494653,596940,0.63447962127219,2852.0,0.0030313530335851,0.0,"0,0%",940834,-7.28,-36.72
PE,Pernambuco,620458,0.274540760226285,114542,0.0506826372741412,3596,0.001591161003281,1516977,0.671233216149665,4412.0,0.00195222534662841,0.0,"0,0%",2259985,-8.38,-37.86
AL,Alagoas,179888,0.218855694034172,33151,0.0403322351292296,2097,0.00255125628385251,603026,0.733654683751283,3787.0,0.00460734742343798,0.0,"0,0%",821948,-9.62,-36.82
SE,Sergipe,112172,0.202030171606415,36593,0.065906733138337,3505,0.0063127674596199,401899,0.723850193795657,1055.0,0.00190013399997118,0.0,"0,0%",555224,-10.57,-37.45
BA,Bahia,563395,0.162002231935541,694300,0.199643499911867,7630,0.00219397940994893,2195833,0.631403982920891,16541.0,0.00475630582175168,0.0,"0,0%",3477699,-13.29,-41.71
MG,Minas Gerais,1839721,0.381572599596218,507738,0.105308853121634,7950,0.00164889250423838,2464907,0.5112410913138,1102.0,0.000228563464109521,0.0,"0,0%",4821418,-18.1,-44.38
ES,Espírito Santo,311019,0.358689973555438,88438,0.101993202605937,2864,0.00330297533032636,463274,0.534281631697492,1502.78,0.0017331163641438,0.0,"0,0%",867097,-19.19,-40.34
RJ,Rio de Janeiro,1430311,0.398815913700502,480629,0.134014556125178,6074,0.00169362317692925,1664965,0.464244865455385,3825.0,0.00106653089426315,589.554,"0,0%",3586394,-22.25,-42.66
SP,São Paulo,6068644,0.598394249083079,703323,0.0693506553437404,100007,0.00986111784906998,3254775,0.320934733040755,13183.0,0.00129990017303078,1616.14,"0,0%",10141548,-22.19,-48.79
PR,Paraná,1641654,0.654268025854215,79950,0.031863430824671,16836,0.00670985267497388,766969,0.305669339289145,3737.0,0.00148935135699557,0.0,"0,0%",2509146,-24.89,-51.55
SC,Santa Catarina,1299727,0.844045437365817,33244,0.0215887232624922,3804,0.00247032557124655,202850,0.131731215070285,253.0,0.000164298730159142,0.0,"0,0%",1539878,-27.45,-50.95
RS,Rio Grande do Sul,1931994,0.801663914223355,128987,0.0535220209296343,4551,0.00188839741408642,336850,0.139772944173811,7598.0,0.00315272325911418,0.0,"0,0%",2409980,-30.17,-53.5
MS,Mato Grosso do Sul,248459,0.406815655081287,34438,0.0563872410727297,2634,0.00431279380293774,319030,0.522365454423397,6179.0,0.0101172182643707,0.0,"0,0%",610741,-20.51,-54.54
MT,Mato Grosso,240052,0.305135978543418,54719,0.0695546615313237,2418,0.00307357904169924,486962,0.61898932890982,1845.0,0.00234522470303354,708.998,"0,1%",786705,-12.64,-55.42
GO,Goiás,493885,0.315748725682806,121074,0.0774045804454884,8059,0.00515224997778376,941153,0.601694443893922,0.0,0.0,0.0,"0,0%",1564171,-15.98,-49.86
DF,Distrito Federal,222505,0.330816704901776,46966,0.0698282616679032,1476,0.00219449206280767,400597,0.59560090574835,1049.0,0.00155963561916345,0.0,"0,0%",672593,-15.83,-47.86
