UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Total,latitude,longitude
AC, Acre,50899,0.248632251509408,14583,0.071235272279646,0,0.0,136097,0.664808808300279,3137.0,0.0153236679106665,204716,-8.77,-70.55
AL, Alagoas,249269,0.283137641543832,67764,0.0769712204147977,7661,0.00870191428483804,555687,0.631189223756533,0.0,0.0,880381,-9.62,-36.82
AP, Amapá,48245,0.234126290861092,17461,0.0847358102337138,0,0.0,140358,0.681137898905195,0.0,0.0,206064,1.41,-51.77
AM, Amazonas,211693,0.209346228775427,43712,0.0432274206149069,7176,0.00709644880885276,709812,0.701943216542558,38817.0,0.038386685258255,1011210,-3.47,-65.1
BA, Bahia,692846,0.182103954794538,778201,0.204538208671284,14636,0.00384684833624335,2297643,0.603900256342661,21347.0,0.00561073185527377,3804673,-13.29,-41.71
CE, Ceará,765865,0.333401969943259,73468,0.0319826286979969,14023,0.00610459522829001,1443766,0.628510806130454,0.0,0.0,2297122,-5.2,-39.53
DF, Distrito Federal,289179,0.405070472252339,50295,0.0704512409335787,8892,0.0124555608784448,365532,0.512022725935638,0.0,0.0,713898,-15.83,-47.86
ES, Espírito Santo,367921,0.380523953334437,100531,0.103974640079431,0,0.0,498428,0.515501406586133,0.0,0.0,966880,-19.19,-40.34
GO, Goiás,650080,0.406934308853926,107777,0.0674657872959476,5449,0.00341094180553938,834200,0.522188962044587,0.0,0.0,1597506,-15.98,-49.86
MA, Maranhão,396400,0.218473102290495,254303,0.140157329293087,10201,0.00562221018280864,1153507,0.635747358233609,0.0,0.0,1814411,-5.42,-45.44
MT, Mato Grosso,302096,0.361350206932848,83311,0.0996519222028181,7995,0.0095631683452549,442618,0.529434702519079,0.0,0.0,836020,-12.64,-55.42
MS, Mato Grosso do Sul,322058,0.50459774977399,55200,0.0864868930053725,5125,0.00802980664225605,247190,0.387295200760834,8674.0,0.0135903498175471,638247,-20.51,-54.54
MG, Minas Gerais,2151488,0.428464542992171,513192,0.10220116298452,12496,0.00248855347054233,2325111,0.463041217065152,19104.0,0.00380452348761528,5021391,-18.1,-44.38
PA, Pará,458161,0.207372441739995,147076,0.0665694138989383,5609,0.00253874080447622,1583067,0.716526437710779,15450.0,0.00699296584581167,2209363,-3.79,-52.48
PB, Paraiba,354554,0.349562251054936,54401,0.0536350909019206,0,0.0,595319,0.586937532042434,10006.0,0.00986512600070986,1014280,-7.28,-36.72
PR, Paraná,1847390,0.679476527331663,88440,0.0325285424719265,19434,0.00714789342378357,763579,0.280847036772627,0.0,0.0,2718843,-24.89,-51.55
PE, Pernambuco,787204,0.332744242628159,181489,0.0767138122397014,10838,0.00458112776561601,1368762,0.578563720494566,17500.0,0.00739709687195794,2365793,-8.38,-37.86
PI, Piauí,201968,0.252636213759097,64694,0.0809239444512548,0,0.0,532780,0.666439841789648,0.0,0.0,799442,-6.6,-42.28
RJ, Rio de Janeiro,1731985,0.469972767392942,503525,0.136631112683731,0,0.0,1449778,0.393396119923328,0.0,0.0,3685288,-22.25,-42.66
RN, Rio Grande do Norte,376953,0.434292159530676,51238,0.0590319261818655,0,0.0,439780,0.506675914287459,,0.0,867971,-5.81,-36.59
RS, Rio Grande do Sul,2055623,0.800071848419296,156682,0.0609824162086298,0,0.0,347793,0.135364990748446,9200.0,0.00358074462362871,2569298,-30.17,-53.5
RO, Rondônia,160285,0.350696206962945,37657,0.0823917837951375,4210,0.00921128634191595,254896,0.557700722900002,0.0,0.0,457048,-10.83,-63.34
RR, Roraima,32281,0.23644407333348,11684,0.0855801416569616,2579,0.0188900364030558,83628,0.612538179261245,6355.0,0.0465475693452577,136527,1.99,-61.33
SC, Santa Catarina,1396685,0.84134558910787,54539,0.0328536120058239,0,0.0,208837,0.125800798886306,0.0,0.0,1660061,-27.45,-50.95
SP, São Paulo,6433431,0.612685832648834,704564,0.0670989369427282,83097,0.00791371736723688,3259259,0.310394533528564,20024.0,0.00190697951263645,10500375,-22.19,-48.79
SE, Sergipe,135067,0.229658913146977,46733,0.0794616744881997,0,0.0,406320,0.690879412364824,0.0,0.0,588120,-10.57,-37.45
TO, Tocantins,91884,0.240540328280845,37000,0.0968611743762926,2695,0.00705515851200293,250411,0.655543338830859,0.0,0.0,381990,-9.46,-48.26
