UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Ignorado,Ignorado(%),Total,latitude,longitude
RO,Rondônia,97690,0.232038346064683,28697,0.068162600235625,2769,0.00657707216964998,288451,0.685143750237525,3401.0,0.00807823129251701,0.0,"0,0%",421008,-10.83,-63.34
AC,Acre,35959,0.156336681013869,12086,0.0525455414981957,520,0.00226077127081431,180595,0.785161514716751,849.0,0.00369114386331029,0.0,"0,0%",230010,-8.77,-70.55
AM,Amazonas,147387,0.138398306771786,30781,0.028903758681175,6010,0.00564346803787603,851582,0.79964655551257,29188.0,0.0274079109965933,0.0,"0,0%",1064948,-3.47,-65.1
RR,Roraima,27051,0.180071093833209,10777,0.0717395356267973,1012,0.00673660666737672,101896,0.678293748002982,9489.0,0.0631656725955906,0.0,"0,0%",150224,1.99,-61.33
PA,Pará,336964,0.158666718148609,155261,0.0731079679920442,12029,0.00566411234615453,1607821,0.757076962050588,11647.0,0.00548423946260386,0.0,"0,0%",2123722,-3.79,-52.48
AP,Amapá,35045,0.148331717888268,18066,0.0764662809350676,482,0.0020401166506533,182166,0.771037115732178,502.0,0.00212476879383394,0.0,"0,0%",236261,1.41,-51.77
TO,Tocantins,66662,0.184984668322395,43871,0.121740457591609,3570,0.00990662245223593,244596,0.67874516115605,1667.0,0.00462586544198244,0.0,"0,0%",360365,-9.46,-48.26
MA,Maranhão,289649,0.166167464567742,170620,0.0978822395539021,10439,0.00598870413024958,1266043,0.726310656497133,6364.0,0.00365093525097311,0.0,"0,0%",1743115,-5.42,-45.44
PI,Piauí,146793,0.19701933646414,64996,0.0872348735486244,298,0.000399962956451013,532347,0.714493556972576,635.0,0.000852270058209374,0.0,"0,0%",745069,-6.6,-42.28
CE,Ceará,501352,0.233132868231978,102751,0.0477800733690181,9701,0.00451104604094213,1530523,0.711705980797945,6172.0,0.00287003156011698,0.0,"0,0%",2150499,-5.2,-39.53
RN,Rio Grande do Norte,283409,0.361093592130092,64083,0.0816486444131014,1308,0.00166653288535706,434235,0.553262161676624,1829.0,0.00233034300253675,0.0,"0,0%",784863,-5.81,-36.59
PB,Paraíba,264638,0.29147722266279,56461,0.0621871971098775,3476,0.00382853114811878,582823,0.64193210855582,522.0,0.000574940523394132,0.0,"0,0%",907920,-7.28,-36.72
PE,Pernambuco,628143,0.288487822890431,128821,0.0591637411108111,11771,0.00540607817526146,1399255,0.642637152079303,9374.0,0.00430520574419344,0.0,"0,0%",2177364,-8.38,-37.86
AL,Alagoas,177212,0.230633679086898,37136,0.0483308822572459,4053,0.00527480250400198,543883,0.707839972929708,6086.0,0.00792066322214558,0.0,"0,0%",768370,-9.62,-36.82
SE,Sergipe,100478,0.183183867539092,53417,0.0973858222927974,1581,0.00288235926848967,392617,0.715789531256552,416.0,0.000758419643068755,0.0,"0,0%",548509,-10.57,-37.45
BA,Bahia,498779,0.149029920181377,769308,0.229861140575074,16021,0.00478690632770394,2042828,0.610375524599637,19127.0,0.0057149464658881,775.604,"0,0%",3346838,-13.29,-41.71
MG,Minas Gerais,1598036,0.354415242439626,578088,0.128209376178909,11892,0.00263742873320253,2316864,0.513838184033177,4057.0,0.000899768615085995,0.0,"0,0%",4508937,-18.1,-44.38
ES,Espírito Santo,267797,0.317092895760759,105497,0.124916818426169,2962,0.00350724301333984,465908,0.551672038439952,2374.0,0.00281100435978014,0.0,"0,0%",844538,-19.19,-40.34
RJ,Rio de Janeiro,1479627,0.424145039132944,473485,0.13572766234589,11702,0.00335445706785136,1518621,0.435322931707187,5058.0,0.0014499097461282,0.0,"0,0%",3488493,-22.25,-42.66
SP,São Paulo,5316539,0.545149288701522,756921,0.0776134520509009,77260,0.00792211512886101,3595441,0.36867069040936,5799.43,0.00059466414887096,484.913,"0,0%",9752446,-22.19,-48.79
PR,Paraná,1461871,0.604110878591925,93579,0.0386710536755663,16598,0.00685904047817405,841386,0.347698555956679,6438.0,0.00266047129765541,0.0,"0,0%",2419872,-24.89,-51.55
SC,Santa Catarina,1163306,0.784735479466655,56099,0.0378429026091156,6926,0.00467209653417592,253368,0.170915355857794,2158.0,0.00145572976043194,561.91,"0,0%",1482418,-27.45,-50.95
RS,Rio Grande do Sul,1800980,0.765441931808184,170443,0.0724406818416542,1135,0.000482391027441887,359300,0.152707573709136,21005.0,0.00892742161358311,0.0,"0,0%",2352863,-30.17,-53.5
MS,Mato Grosso do Sul,234396,0.396745413399188,35732,0.0604810112441329,3181,0.00538425212044069,313467,0.530583262948187,4021.0,0.00680606028805156,0.0,"0,0%",590797,-20.51,-54.54
MT,Mato Grosso,201112,0.268206193046259,82223,0.109653913296285,3289,0.00438626322113621,460026,0.613498061589057,3192.0,0.00425690246332222,0.0,"0,0%",749841,-12.64,-55.42
GO,Goiás,473784,0.309486155938474,134682,0.087977252195316,1423,0.000929534977754523,915078,0.597749127458646,5557.0,0.00362995493421074,348.59,"0,0%",1530873,-15.98,-49.86
DF,Distrito Federal,248220,0.345181956865466,81827,0.11379100791407,2517,0.00350021346156788,383484,0.533284012354349,3051.0,0.00424280940454652,0.0,"0,0%",719099,-15.83,-47.86
