UF,Nome,Branca,Branca(%),Preta,Preta(%),Amarela,Amarela(%),Parda,Parda(%),Indigena,Indigena(%),Total,latitude,longitude
AC, Acre,44854,0.199082129034549,16992,0.0754181017647268,0.0,0.0,153644,0.681940844370273,9814.0,0.0435589248304513,225304,-8.77,-70.55
AL, Alagoas,208279,0.255800300899628,86205,0.105873683564125,0.0,0.0,519741,0.638326015536246,0.0,0.0,814225,-9.62,-36.82
AP, Amapá,50714,0.241548148642083,14452,0.068834125570363,,0.0,144788,0.689617725787553,,0.0,209954,1.41,-51.77
AM, Amazonas,207017,0.193096661660868,42966,0.0400768592189089,0.0,0.0,793795,0.740418248467946,28312.0,0.0264082306522773,1072090,-3.47,-65.1
BA, Bahia,636641,0.175853591839328,803088,0.221829742921147,0.0,0.0,2161753,0.597121501316193,18808.0,0.00519516392333211,3620290,-13.29,-41.71
CE, Ceará,613560,0.267964182348063,96600,0.0421887672188911,0.0,0.0,1570499,0.68589458311078,9050.0,0.00395246732226672,2289709,-5.2,-39.53
DF, Distrito Federal,280383,0.385538673083534,84378,0.116023375730492,3895.0,0.00535579236851152,358594,0.493082158817463,0.0,0.0,727250,-15.83,-47.86
ES, Espírito Santo,331023,0.383336112616556,111532,0.129157923504861,0.0,0.0,420977,0.487505963878582,0.0,0.0,863532,-19.19,-40.34
GO, Goiás,575566,0.366658363916545,122970,0.0783367659153209,9044.0,0.00576138660598652,862181,0.549243483562147,0.0,0.0,1569761,-15.98,-49.86
MA, Maranhão,316428,0.17659231545392,202193,0.112839982677179,0.0,0.0,1263463,0.70511413863614,9772.0,0.00545356323275978,1791856,-5.42,-45.44
MT, Mato Grosso,246528,0.315581288475103,63926,0.0818318789227163,0.0,0.0,470733,0.602586832602181,0.0,0.0,781187,-12.64,-55.42
MS, Mato Grosso do Sul,282779,0.450076477301123,31371,0.0499306849851422,0.0,0.0,314141,0.499992837713735,0.0,0.0,628291,-20.51,-54.54
MG, Minas Gerais,1884242,0.386762991945936,559081,0.114757998335737,7585.0,0.00155691110478905,2406153,0.493891407451744,14765.0,0.00303069116179437,4871826,-18.1,-44.38
PA, Pará,389891,0.182502907990479,147836,0.0692001095323577,0.0,0.0,1573627,0.736594339423925,25001.0,0.0117026430532379,2136355,-3.79,-52.48
PB, Paraiba,337444,0.349870345044962,60109,0.0623225085356611,,0.0,557234,0.577754092088715,9696.0,0.0100530543306621,964483,-7.28,-36.72
PR, Paraná,1750110,0.670513512105265,89088,0.0341319732853557,24379.0,0.00934024084864051,746527,0.286014273760739,0.0,0.0,2610104,-24.89,-51.55
PE, Pernambuco,722407,0.319222402266705,171860,0.0759427331871865,5116.0,0.00226069488528829,1353578,0.598128784487638,10060.0,0.00444538517318222,2263021,-8.38,-37.86
PI, Piauí,158723,0.200420987236536,77112,0.0973700293453611,,0.0,556113,0.702208983418103,,0.0,791948,-6.6,-42.28
RJ, Rio de Janeiro,1514278,0.422116281999962,584947,0.16305833724523,12819.0,0.00357339182036424,1475304,0.411251988934444,0.0,0.0,3587348,-22.25,-42.66
RN, Rio Grande do Norte,361718,0.408947326768493,61461,0.0694859300629727,,0.0,461331,0.521566743168534,,0.0,884510,-5.81,-36.59
RS, Rio Grande do Sul,1843525,0.7720532652992,159220,0.0666800400867569,0.0,0.0,369567,0.154771651643905,15509.0,0.00649504297013888,2387821,-30.17,-53.5
RO, Rondônia,135630,0.300238410947866,35119,0.0777414491932324,0.0,0.0,280992,0.622020139858901,0.0,0.0,451741,-10.83,-63.34
RR, Roraima,28313,0.210771979453584,9919,0.0738405419489317,,0.0,91550,0.681530559070945,4548.0,0.0338569195265391,134330,1.99,-61.33
SC, Santa Catarina,1264001,0.834040573666377,37980,0.0250607879169787,0.0,0.0,213534,0.140898638416644,0.0,0.0,1515515,-27.45,-50.95
SP, São Paulo,5849473,0.576421166318401,783158,0.0771742766863932,98812.0,0.00973717261131967,3391796,0.334235751876124,24676.0,0.00243163250776145,10147915,-22.19,-48.79
SE, Sergipe,139661,0.237511840644063,58290,0.0991297870639794,0.0,0.0,390066,0.663358372291958,0.0,0.0,588017,-10.57,-37.45
TO, Tocantins,74212,0.205486886407939,32160,0.0890483785220627,0.0,0.0,254780,0.705464735069998,0.0,0.0,361152,-9.46,-48.26
