UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,218280,0.497768615583888,220237,0.502231384416112,438517,-10.83,-63.34
AC,Acre,114722,0.500152589221097,114652,0.499847410778903,229374,-8.77,-70.55
AM,Amazonas,531085,0.525619087113111,479314,0.474380912886889,1010399,-3.47,-65.1
RR,Roraima,73652,0.524411343780928,66796,0.475595776342677,140447,1.99,-61.33
PA,Pará,1093611,0.497105173323685,1106348,0.502894826676315,2199959,-3.79,-52.48
AP,Amapá,123483,0.509292254392477,118977,0.490707745607523,242460,1.41,-51.77
TO,Tocantins,181431,0.498246548708048,182708,0.501753451291952,364139,-9.46,-48.26
MA,Maranhão,843948,0.489504016036304,880140,0.510495983963696,1724088,-5.42,-45.44
PI,Piauí,369721,0.496865370168538,374386,0.503134629831462,744107,-6.6,-42.28
CE,Ceará,1124914,0.508729102071975,1086310,0.491270897928025,2211224,-5.2,-39.53
RN,Rio Grande do Norte,426843,0.514164602827379,403325,0.48583539717262,830168,-5.81,-36.59
PB,Paraíba,449363,0.487369010149476,472655,0.512630989850524,922018,-7.28,-36.72
PE,Pernambuco,1095189,0.500883369197101,1091326,0.499116630802899,2186515,-8.38,-37.86
AL,Alagoas,385700,0.490539593552908,400577,0.509460406447092,786277,-9.62,-36.82
SE,Sergipe,269558,0.484970934991895,286265,0.515029065008105,555823,-10.57,-37.45
BA,Bahia,1702386,0.501291371822329,1693615,0.498708628177671,3396001,-13.29,-41.71
MG,Minas Gerais,2467166,0.507052216904275,2398538,0.492947783095725,4865704,-18.1,-44.38
ES,Espírito Santo,450439,0.517428383038457,420095,0.482571616961543,870534,-19.19,-40.34
RJ,Rio de Janeiro,1793022,0.499174270652142,1798954,0.500825729347858,3591976,-22.25,-42.66
SP,São Paulo,4924827,0.499111246734507,4942366,0.500888753265493,9867193,-22.19,-48.79
PR,Paraná,1315618,0.517896634662699,1224692,0.482103365337301,2540310,-24.89,-51.55
SC,Santa Catarina,801554,0.515870559001254,752235,0.484129440998746,1553789,-27.45,-50.95
RS,Rio Grande do Sul,1122891,0.497181992914801,1135620,0.502818007085199,2258511,-30.17,-53.5
MS,Mato Grosso do Sul,308415,0.504271547812722,303190,0.495728452187278,611605,-20.51,-54.54
MT,Mato Grosso,390007,0.504796777642305,382595,0.495203222357695,772602,-12.64,-55.42
GO,Goiás,796489,0.508900612542065,768628,0.491099387457934,1565117,-15.98,-49.86
DF,Distrito Federal,340571,0.479150399349448,370210,0.520849600650552,710781,-15.83,-47.86
