UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
AC, Acre,109232,0.496037854946891,110977,0.503962145053109,220209,-8.77,-70.55
AL, Alagoas,429212,0.505726378101199,419492,0.494273621898801,848704,-9.62,-36.82
AP, Amapá,104625,0.486338365996058,110503,0.513661634003942,215128,1.41,-51.77
AM, Amazonas,537558,0.513015835448003,510281,0.486984164551997,1047839,-3.47,-65.1
BA, Bahia,1819411,0.4947923918719,1857709,0.5052076081281,3677120,-13.29,-41.71
CE, Ceará,1178556,0.50245631267882,1167033,0.49754368732118,2345589,-5.2,-39.53
DF, Distrito Federal,346161,0.491279585473403,358450,0.508720414526597,704611,-15.83,-47.86
ES, Espírito Santo,468493,0.494281129362215,479334,0.505718870637785,947827,-19.19,-40.34
GO, Goiás,824833,0.511183235248913,788743,0.488816764751087,1613576,-15.98,-49.86
MA, Maranhão,898841,0.49978676070325,899608,0.50021323929675,1798449,-5.42,-45.44
MT, Mato Grosso,418334,0.499723460246963,418797,0.500276539753037,837131,-12.64,-55.42
MS, Mato Grosso do Sul,319949,0.50161247081953,317892,0.49838752918047,637841,-20.51,-54.54
MG, Minas Gerais,2492773,0.501067856152892,2482148,0.498932143847108,4974921,-18.1,-44.38
PA, Pará,1071707,0.500003732391278,1071691,0.499996267608722,2143398,-3.79,-52.48
PB, Paraiba,482025,0.487506523348531,506731,0.512493476651469,988756,-7.28,-36.72
PR, Paraná,1327705,0.499614105343409,1329756,0.500385894656591,2657461,-24.89,-51.55
PE, Pernambuco,1133164,0.495381985656548,1154291,0.504618014343452,2287455,-8.38,-37.86
PI, Piauí,384088,0.484542351157211,408594,0.515457648842789,792682,-6.6,-42.28
RJ, Rio de Janeiro,1795826,0.487581089252004,1887307,0.512418910747996,3683133,-22.25,-42.66
RN, Rio Grande do Norte,453153,0.52717158003846,406440,0.47282841996154,859593,-5.81,-36.59
RS, Rio Grande do Sul,1227487,0.503004330185784,1212824,0.496995669814216,2440311,-30.17,-53.5
RO, Rondônia,227384,0.497593918160392,229583,0.502406081839608,456967,-10.83,-63.34
RR, Roraima,65166,0.491989671886089,67288,0.508010328113911,132454,1.99,-61.33
SC, Santa Catarina,779801,0.50812093236618,754875,0.49187906763382,1534676,-27.45,-50.95
SP, São Paulo,5075014,0.497349940626871,5129097,0.502650059373129,10204111,-22.19,-48.79
SE, Sergipe,279487,0.484934240205434,296853,0.515065759794566,576340,-10.57,-37.45
TO, Tocantins,189907,0.495530216052604,193333,0.504469783947396,383240,-9.46,-48.26
