UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,210408,0.502344503547793,208444,0.497655496452208,418852,-10.83,-63.34
AC,Acre,123154,0.526418376811842,110793,0.473581623188158,233947,-8.77,-70.55
AM,Amazonas,516180,0.499791342101161,516611,0.500208657898839,1032791,-3.47,-65.1
RR,Roraima,65090,0.489335949540284,67927,0.510664050459716,133017,1.99,-61.33
PA,Pará,1102610,0.498598185781082,1108810,0.501401814218918,2211420,-3.79,-52.48
AP,Amapá,114306,0.475440997250656,126115,0.524559002749344,240421,1.41,-51.77
TO,Tocantins,190072,0.506027432271256,185544,0.493972567728744,375616,-9.46,-48.26
MA,Maranhão,897924,0.507700110425639,870687,0.492299889574361,1768611,-5.42,-45.44
PI,Piauí,390209,0.515326720434439,366998,0.484673279565561,757207,-6.6,-42.28
CE,Ceará,1140963,0.507194302169582,1108595,0.492805697830418,2249558,-5.2,-39.53
RN,Rio Grande do Norte,409101,0.493998017250644,419042,0.506001982749356,828143,-5.81,-36.59
PB,Paraíba,456744,0.489111438558015,477080,0.510888561441985,933824,-7.28,-36.72
PE,Pernambuco,1098230,0.499947648507527,1098460,0.500052351492473,2196690,-8.38,-37.86
AL,Alagoas,401563,0.505767234951535,392405,0.494232765048465,793968,-9.62,-36.82
SE,Sergipe,268410,0.490898416710408,278363,0.509101583289592,546773,-10.57,-37.45
BA,Bahia,1686169,0.487663579404266,1771479,0.512336420595734,3457648,-13.29,-41.71
MG,Minas Gerais,2429843,0.502800552412792,2402775,0.497199447587208,4832618,-18.1,-44.38
ES,Espírito Santo,419867,0.488667470507723,439341,0.511332529492277,859208,-19.19,-40.34
RJ,Rio de Janeiro,1898073,0.518716529313189,1761099,0.481283470686811,3659172,-22.25,-42.66
SP,São Paulo,5107827,0.521330094064076,4689856,0.478669905935924,9797683,-22.19,-48.79
PR,Paraná,1305274,0.511947644044769,1244350,0.488052355955231,2549624,-24.89,-51.55
SC,Santa Catarina,804789,0.511757939255893,767808,0.488242060744107,1572597,-27.45,-50.95
RS,Rio Grande do Sul,1199829,0.501228812231726,1193946,0.498771187768274,2393775,-30.17,-53.5
MS,Mato Grosso do Sul,295069,0.505807714592311,288293,0.494192285407689,583362,-20.51,-54.54
MT,Mato Grosso,398869,0.510957161578262,381762,0.489042838421738,780631,-12.64,-55.42
GO,Goiás,812342,0.512673869689243,772178,0.487326130310757,1584520,-15.98,-49.86
DF,Distrito Federal,345161,0.486484162813019,364340,0.513515837186981,709501,-15.83,-47.86
