UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,219320,0.501013128408029,218433,0.498986871591971,437753,-10.83,-63.34
AC,Acre,109688,0.51224478359143,104444,0.48775521640857,214132,-8.77,-70.55
AM,Amazonas,542568,0.523318765836245,494215,0.476681234163755,1036783,-3.47,-65.1
RR,Roraima,62623,0.497260513276585,63313,0.502739486723415,125936,1.99,-61.33
PA,Pará,1046866,0.488952783160683,1094171,0.511047216839317,2141037,-3.79,-52.48
AP,Amapá,108342,0.506450889100802,105582,0.493549110899198,213924,1.41,-51.77
TO,Tocantins,190165,0.507896276077208,184252,0.492103723922792,374417,-9.46,-48.26
MA,Maranhão,895845,0.499170876363624,898821,0.500829123636376,1794666,-5.42,-45.44
PI,Piauí,393676,0.520720296499308,362346,0.479279703500692,756022,-6.6,-42.28
CE,Ceará,1082851,0.499280024898274,1085974,0.500719975101726,2168825,-5.2,-39.53
RN,Rio Grande do Norte,404726,0.499867229367135,404941,0.500132770632865,809667,-5.81,-36.59
PB,Paraíba,471665,0.50132594982117,469170,0.49867405017883,940835,-7.28,-36.72
PE,Pernambuco,1137153,0.503168606503409,1122831,0.496831393496591,2259984,-8.38,-37.86
AL,Alagoas,407545,0.495828203244001,414403,0.504171796755999,821948,-9.62,-36.82
SE,Sergipe,276725,0.498401548921608,278500,0.501598451078392,555225,-10.57,-37.45
BA,Bahia,1718328,0.494099115535876,1759371,0.505900884464124,3477699,-13.29,-41.71
MG,Minas Gerais,2410176,0.499889244247545,2411244,0.500110755752455,4821420,-18.1,-44.38
ES,Espírito Santo,424595,0.489673600907856,442503,0.510326399092144,867098,-19.19,-40.34
RJ,Rio de Janeiro,1771489,0.493946985761468,1814906,0.506053014238532,3586395,-22.25,-42.66
SP,São Paulo,5103205,0.503197835281162,5038343,0.496802164718838,10141548,-22.19,-48.79
PR,Paraná,1266136,0.504608541953534,1243009,0.495391458046466,2509145,-24.89,-51.55
SC,Santa Catarina,782297,0.508025311096074,757581,0.491974688903926,1539878,-27.45,-50.95
RS,Rio Grande do Sul,1211568,0.502729274629136,1198413,0.497270725370864,2409981,-30.17,-53.5
MS,Mato Grosso do Sul,296666,0.485748436323149,314074,0.514251563676851,610740,-20.51,-54.54
MT,Mato Grosso,402532,0.511667636957135,384174,0.488332363042865,786706,-12.64,-55.42
GO,Goiás,807016,0.515938474757555,757155,0.484061525242445,1564171,-15.98,-49.86
DF,Distrito Federal,335209,0.498383864214858,337383,0.501616135785142,672592,-15.83,-47.86
