UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
AC, Acre,105129,0.509862215130631,101062,0.490137784869369,206191,-8.77,-70.55
AL, Alagoas,441961,0.501339101888582,439600,0.498660898111418,881561,-9.62,-36.82
AP, Amapá,101070,0.485069254470585,107292,0.514930745529415,208362,1.41,-51.77
AM, Amazonas,502673,0.497100503357364,508537,0.502899496642636,1011210,-3.47,-65.1
BA, Bahia,1888341,0.496321497274536,1916332,0.503678502725464,3804673,-13.29,-41.71
CE, Ceará,1123743,0.488723943077604,1175598,0.511276056922396,2299341,-5.2,-39.53
DF, Distrito Federal,348669,0.487146134479377,367069,0.512853865520624,715738,-15.83,-47.86
ES, Espírito Santo,487914,0.500809339687616,486337,0.499190660312384,974251,-19.19,-40.34
GO, Goiás,804807,0.502865458417112,795635,0.497134541582888,1600442,-15.98,-49.86
MA, Maranhão,920321,0.505198989954438,901379,0.494801010045562,1821700,-5.42,-45.44
MT, Mato Grosso,430006,0.513057733700503,408118,0.486942266299497,838124,-12.64,-55.42
MS, Mato Grosso do Sul,308678,0.483634078969427,329569,0.516365921030573,638247,-20.51,-54.54
MG, Minas Gerais,2518751,0.501604236754318,2502640,0.498395763245682,5021391,-18.1,-44.38
PA, Pará,1114756,0.504559911612533,1094607,0.495440088387467,2209363,-3.79,-52.48
PB, Paraiba,499632,0.492293867609414,515274,0.507706132390586,1014906,-7.28,-36.72
PR, Paraná,1366657,0.501574465617561,1358077,0.498425534382439,2724734,-24.89,-51.55
PE, Pernambuco,1187624,0.501998272883553,1178169,0.498001727116447,2365793,-8.38,-37.86
PI, Piauí,383686,0.477589683586846,419694,0.522410316413154,803380,-6.6,-42.28
RJ, Rio de Janeiro,1835883,0.496634518623358,1860765,0.503365481376642,3696648,-22.25,-42.66
RN, Rio Grande do Norte,428803,0.493335757043043,440388,0.506664242956957,869191,-5.81,-36.59
RS, Rio Grande do Sul,1254981,0.488276137369914,1315247,0.511723862630086,2570228,-30.17,-53.5
RO, Rondônia,238303,0.520266788926731,219737,0.479733211073269,458040,-10.83,-63.34
RR, Roraima,66284,0.48550103642503,70243,0.51449896357497,136527,1.99,-61.33
SC, Santa Catarina,865275,0.518530526048327,803431,0.481469473951673,1668706,-27.45,-50.95
SP, São Paulo,5329490,0.507552349320858,5170885,0.492447650679142,10500375,-22.19,-48.79
SE, Sergipe,285483,0.483913781939364,304463,0.516086218060636,589946,-10.57,-37.45
TO, Tocantins,188419,0.492623162980645,194062,0.507376837019355,382481,-9.46,-48.26
