UF,Nome,Masculino,Masculino(%),Feminino,Feminino(%),Total,latitude,longitude
RO,Rondônia,205848,0.488940827727739,215160,0.511059172272261,421008,-10.83,-63.34
AC,Acre,118934,0.517081866005826,111076,0.482918133994174,230010,-8.77,-70.55
AM,Amazonas,542316,0.509241765795137,522632,0.490758234204863,1064948,-3.47,-65.1
RR,Roraima,78115,0.519990148045585,72110,0.480016508680371,150224,1.99,-61.33
PA,Pará,1083618,0.510244509288641,1040105,0.489755490711359,2123723,-3.79,-52.48
AP,Amapá,115693,0.48968302004986,120568,0.51031697995014,236261,1.41,-51.77
TO,Tocantins,178844,0.49628571032148,181521,0.50371428967852,360365,-9.46,-48.26
MA,Maranhão,894347,0.513074008312705,848768,0.486925991687295,1743115,-5.42,-45.44
PI,Piauí,375527,0.50401640653416,369542,0.49598359346584,745069,-6.6,-42.28
CE,Ceará,1093808,0.508630094052633,1056690,0.491369905947367,2150498,-5.2,-39.53
RN,Rio Grande do Norte,402786,0.51319209442655,382078,0.48680790557345,784864,-5.81,-36.59
PB,Paraíba,469994,0.517659576108494,437927,0.482340423891506,907921,-7.28,-36.72
PE,Pernambuco,1082211,0.497028057779958,1095153,0.502971942220042,2177364,-8.38,-37.86
AL,Alagoas,381882,0.497003392901067,386487,0.502996607098933,768369,-9.62,-36.82
SE,Sergipe,270297,0.492784986208066,278212,0.507215013791934,548509,-10.57,-37.45
BA,Bahia,1668089,0.498407303129909,1678750,0.501592696870091,3346839,-13.29,-41.71
MG,Minas Gerais,2317598,0.514000971847688,2191339,0.485999028152312,4508937,-18.1,-44.38
ES,Espírito Santo,426474,0.504979053636426,418064,0.495020946363574,844538,-19.19,-40.34
RJ,Rio de Janeiro,1756625,0.503548236000979,1731869,0.496451763999021,3488494,-22.25,-42.66
SP,São Paulo,4919350,0.504422224375528,4833095,0.495577775624472,9752445,-22.19,-48.79
PR,Paraná,1224552,0.506039988891974,1195320,0.493960011108026,2419872,-24.89,-51.55
SC,Santa Catarina,762958,0.514671300537365,719460,0.485328699462635,1482418,-27.45,-50.95
RS,Rio Grande do Sul,1178695,0.500961806547255,1174169,0.499038193452745,2352864,-30.17,-53.5
MS,Mato Grosso do Sul,295302,0.499836661323602,295495,0.500163338676398,590797,-20.51,-54.54
MT,Mato Grosso,373167,0.497661504238899,376674,0.502338495761101,749841,-12.64,-55.42
GO,Goiás,782500,0.511146588349646,748372,0.488853411650354,1530872,-15.98,-49.86
DF,Distrito Federal,360336,0.501093032957864,358764,0.498906967042136,719100,-15.83,-47.86
