UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),NaoEconomicamenteAtivo,NaoEconomicamenteAtivo(%),Total,latitude,longitude
AC,Acre,99853,0.442,16298,0.072,109853,0.486,226004,-8.77,-70.55
AL,Alagoas,297620,0.364,119562,0.146,400817,0.49,817999,-9.62,-36.82
AP,Amapá,82771,0.394,21279,0.101,105904,0.504,209954,1.41,-51.77
AM,Amazonas,491769,0.458,122376,0.114,460547,0.429,1074692,-3.47,-65.1
BA,Bahia,1731603,0.478,462110,0.127,1432177,0.395,3625890,-13.29,-41.71
CE,Ceará,1083168,0.473,205085,0.089,1003959,0.438,2292212,-5.2,-39.53
DF,Distrito Federal,361501,0.497,90232,0.124,275841,0.379,727574,-15.83,-47.86
ES,Espírito Santo,461150,0.533,116333,0.134,287848,0.333,865331,-19.19,-40.34
GO,Goiás,892940,0.568,171358,0.109,506820,0.323,1571118,-15.98,-49.86
MA,Maranhão,890655,0.497,136801,0.076,765151,0.427,1792607,-5.42,-45.44
MT,Mato Grosso,450585,0.574,63491,0.081,270613,0.345,784689,-12.64,-55.42
MS,Mato Grosso do Sul,387501,0.611,48596,0.077,198381,0.313,634478,-20.51,-54.54
MG,Minas Gerais,2704701,0.555,608645,0.125,1558480,0.32,4871826,-18.1,-44.38
PA,Pará,1044203,0.488,185595,0.087,909852,0.425,2139650,-3.79,-52.48
PB,Paraiba,465435,0.483,106668,0.111,392380,0.407,964483,-7.28,-36.72
PR,Paraná,1558440,0.596,237860,0.091,817740,0.313,2614040,-24.89,-51.55
PE,Pernambuco,1033054,0.456,274367,0.121,955600,0.422,2263021,-8.38,-37.86
PI,Piauí,431153,0.544,82736,0.104,278059,0.351,791948,-6.6,-42.28
RJ,Rio de Janeiro,1653081,0.46,488803,0.136,1449912,0.404,3591796,-22.25,-42.66
RN,Rio Grande do Norte,423182,0.478,120800,0.137,340528,0.385,884510,-5.81,-36.59
RS,Rio Grande do Sul,1438841,0.602,281574,0.118,670367,0.28,2390782,-30.17,-53.5
RO,Rondônia,234514,0.516,39447,0.087,180481,0.397,454442,-10.83,-63.34
RR,Roraima,66332,0.494,15501,0.115,52497,0.391,134330,1.99,-61.33
SC,Santa Catarina,969492,0.637,127548,0.084,424922,0.279,1521962,-27.45,-50.95
SP,São Paulo,5669255,0.559,1508038,0.149,2970622,0.293,10147915,-22.19,-48.79
SE,Sergipe,302451,0.513,74048,0.126,212983,0.361,589482,-10.57,-37.45
TO,Tocantins,178050,0.491,42293,0.117,142328,0.392,362671,-9.46,-48.26
