UF,Nome,Ocupado,Ocupado(%),Desocupado,Desocupado(%),NaoEconomicamenteAtivo,NaoEconomicamenteAtivo(%),Total,latitude,longitude
AC,Acre,114535,0.555,10701,0.052,80955,0.393,206191,-8.77,-70.55
AL,Alagoas,407781,0.463,74247,0.084,399533,0.453,881561,-9.62,-36.82
AP,Amapá,83165,0.399,24577,0.118,100620,0.483,208362,1.41,-51.77
AM,Amazonas,506253,0.501,84155,0.083,420802,0.416,1011210,-3.47,-65.1
BA,Bahia,2101013,0.552,421818,0.111,1281842,0.337,3804673,-13.29,-41.71
CE,Ceará,1209482,0.526,139541,0.061,950318,0.413,2299341,-5.2,-39.53
DF,Distrito Federal,397733,0.556,68702,0.096,249303,0.348,715738,-15.83,-47.86
ES,Espírito Santo,607394,0.623,96844,0.099,270013,0.277,974251,-19.19,-40.34
GO,Goiás,1014117,0.634,97295,0.061,489030,0.306,1600442,-15.98,-49.86
MA,Maranhão,992452,0.545,133348,0.073,695900,0.382,1821700,-5.42,-45.44
MT,Mato Grosso,501956,0.599,78678,0.094,257490,0.307,838124,-12.64,-55.42
MS,Mato Grosso do Sul,388319,0.608,39429,0.062,210499,0.33,638247,-20.51,-54.54
MG,Minas Gerais,3111175,0.62,397825,0.079,1512391,0.301,5021391,-18.1,-44.38
PA,Pará,1204032,0.545,165139,0.075,840192,0.38,2209363,-3.79,-52.48
PB,Paraiba,500257,0.493,103809,0.102,410840,0.405,1014906,-7.28,-36.72
PR,Paraná,1785145,0.655,184017,0.068,755572,0.277,2724734,-24.89,-51.55
PE,Pernambuco,1132336,0.479,175843,0.074,1057614,0.447,2365793,-8.38,-37.86
PI,Piauí,439936,0.548,70895,0.088,292549,0.364,803380,-6.6,-42.28
RJ,Rio de Janeiro,1863179,0.504,351065,0.095,1482404,0.401,3696648,-22.25,-42.66
RN,Rio Grande do Norte,427583,0.492,91497,0.105,350111,0.403,869191,-5.81,-36.59
RS,Rio Grande do Sul,1676593,0.652,174011,0.068,719624,0.28,2570228,-30.17,-53.5
RO,Rondônia,267539,0.584,17586,0.038,172915,0.378,458040,-10.83,-63.34
RR,Roraima,76421,0.56,10478,0.077,49628,0.364,136527,1.99,-61.33
SC,Santa Catarina,1155258,0.692,81136,0.049,432312,0.259,1668706,-27.45,-50.95
SP,São Paulo,6707361,0.639,953253,0.091,2839761,0.27,10500375,-22.19,-48.79
SE,Sergipe,320890,0.544,58772,0.1,210284,0.356,589946,-10.57,-37.45
TO,Tocantins,229101,0.599,30626,0.08,122754,0.321,382481,-9.46,-48.26
