UF,Nome,Estuda_Ocupado,Estuda_Ocupado(%),Estuda_Desocupado,Estuda_Desocupado(%),NaoEstuda_Ocupado,NaoEstuda_Ocupado(%),NaoEstuda_Desocupado,NaoEstuda_Desocupado(%),Total,latitude,longitude
AC,Acre,24967.6,0.24113639568327255,5726.7,0.05530831145802548,57182.8,0.5522699132907224,15664.3,0.15128537956797955,103541.40000000001,-8.77,-70.55
AL,Alagoas,66746.5,0.16722880204282886,26463.9,0.06630349597928309,231279.1,0.5794540062856273,74643.3,0.18701369569226084,399132.8,-9.62,-36.82
AP,Amapá,14474.7,0.13845213522008368,13036.6,0.12469654680305242,58587.9,0.5603998599667517,18447.4,0.17645145801011225,104546.6,1.41,-51.77
AM,Amazonas,115455.0,0.1996552831480427,53710.0,0.09288021530363669,319067.0,0.5517596659148286,90039.7,0.15570483563349202,578271.7,-3.47,-65.1
BA,Bahia,391881.0,0.18094637835741298,225991.0,0.10434864918526317,1196220.0,0.5523403194304,351638.0,0.16236465302692396,2165730.0,-13.29,-41.71
CE,Ceará,160089.0,0.13594248753633378,67007.0,0.05690021339596798,749490.0,0.6364430721886376,201037.0,0.17071422687906063,1177623.0,-5.2,-39.53
DF,Distrito Federal,78188.0,0.1949956730253658,35876.3,0.08947310666803003,225223.0,0.5616911861895938,61685.7,0.15384003411701036,400973.0,-15.83,-47.86
ES,Espírito Santo,89265.8,0.16349760300906888,34710.4,0.06357493238716266,332085.4,0.608241531407413,89914.6,0.16468593319635544,545976.2000000001,-19.19,-40.34
GO,Goiás,217325.7,0.21167406594157961,68505.6,0.0667240868970742,604082.4,0.5883730169590972,136786.0,0.13322883020224902,1026699.7000000001,-15.98,-49.86
MA,Maranhão,149969.3,0.16385395657199797,45140.5,0.049319757621315,568020.6,0.6206098363091662,152131.6,0.16621644949752096,915261.9999999999,-5.42,-45.44
MT,Mato Grosso,109358.8,0.21389951345932862,29625.2,0.05794518471431016,313415.5,0.613022664482531,58863.0,0.11513263734383022,511262.5,-12.64,-55.42
MS,Mato Grosso do Sul,87186.7,0.2185749895521763,25085.4,0.06288850298167224,250363.9,0.6276563607378431,36250.9,0.0908801467283082,398886.9,-20.51,-54.54
MG,Minas Gerais,614122.0,0.19115232679234603,222882.5,0.0693746657444206,1960533.6,0.6102379647603808,415198.1,0.12923504270285247,3212736.2,-18.1,-44.38
PA,Pará,220339.1,0.1808195721204197,76548.1,0.06281860409083591,751284.1,0.6165354651211457,170386.5,0.13982635866759868,1218557.8,-3.79,-52.48
PB,Paraiba,92420.8,0.18629244556606855,31675.6,0.06384845174216801,299352.0,0.6034033049388638,72657.6,0.1464557977528996,496106.0,-7.28,-36.72
PR,Paraná,356412.1,0.20997339779211396,100924.6,0.059457805116072064,1061051.9,0.6250985100583799,179026.9,0.10547028703343407,1697415.4999999998,-24.89,-51.55
PE,Pernambuco,163398.3,0.13300048137884352,74606.1,0.060726746935544244,751467.2,0.6116679264130146,239082.6,0.19460484527259767,1228554.2,-8.38,-37.86
PI,Piauí,83480.6,0.1994915248971902,20658.4,0.04936686748701032,255111.4,0.609633402307327,59216.5,0.1415082053084724,418466.9,-6.6,-42.28
RJ,Rio de Janeiro,291567.4,0.1406628139915134,117542.8,0.05670696042301594,1316404.5,0.6350818415264915,347296.1,0.16754838405897923,2072810.7999999998,-22.25,-42.66
RN,Rio Grande do Norte,74043.2,0.16690286172839783,30918.9,0.06969516297910086,254817.5,0.5743913008686283,83850.9,0.189010674423873,443630.5,-5.81,-36.59
RS,Rio Grande do Sul,390608.6,0.22945799877319625,110917.9,0.06515729393086969,1029362.6,0.6046858215819471,171420.7,0.10069888571398697,1702309.8,-30.17,-53.5
RO,Rondônia,61992.8,0.2269853178364908,15154.3,0.05548714692818412,170625.9,0.6247431014994853,25340.7,0.0927844337358397,273113.7,-10.83,-63.34
RR,Roraima,14216.0,0.2037940441563319,5101.3,0.07312989289917671,41805.3,0.5993015724654406,8634.1,0.12377449047905074,69756.70000000001,1.99,-61.33
SC,Santa Catarina,241180.0,0.2237800909205204,50590.5,0.046940652996577605,709946.8,0.6587277529344577,76037.2,0.07055150314844429,1077754.5,-27.45,-50.95
SP,São Paulo,1121492.2,0.16052702699201649,611464.3,0.08752316439717947,4202489.9,0.6015317891742598,1050867.5,0.15041801943654434,6986313.9,-22.19,-48.79
SE,Sergipe,54995.6,0.17909605918067742,15008.5,0.04887596833588864,179943.1,0.5859941538369353,57126.0,0.18603381864649862,307073.2,-10.57,-37.45
TO,Tocantins,41758.5,0.19103092241148606,14120.2,0.0645951083165024,133163.0,0.6091753947359392,29553.8,0.13519857453607234,218595.5,-9.46,-48.26
