UF,Nome,Estuda_Ocupado,Estuda_Ocupado(%),Estuda_Desocupado,Estuda_Desocupado(%),NaoEstuda_Ocupado,NaoEstuda_Ocupado(%),NaoEstuda_Desocupado,NaoEstuda_Desocupado(%),Total,latitude,longitude
AC,Acre,22473.7,0.19360944196765092,8490.2,0.07314251254549763,65120.1,0.5610053627964076,19993.5,0.17224268269044388,116077.5,-8.77,-70.55
AL,Alagoas,44830.1,0.12743806844912792,23380.7,0.0664640776395441,202978.2,0.5770040607823935,80590.5,0.22909379312893446,351779.5,-9.62,-36.82
AP,Amapá,15623.3,0.1235997101320861,14979.3,0.11850487016069315,63176.9,0.49980775681474404,32622.9,0.25808766289247675,126402.4,1.41,-51.77
AM,Amazonas,106320.0,0.18415778816658035,51465.7,0.08914418245339328,298587.3,0.5171856352768169,120958.0,0.20951239410320943,577331.0,-3.47,-65.1
BA,Bahia,344664.2,0.16716757479404049,243166.3,0.11793949195373375,1061404.6,0.5147979768633895,412553.5,0.20009495638883637,2061788.6,-13.29,-41.71
CE,Ceará,174951.8,0.14172784515620604,65757.8,0.05327016524672948,778038.9,0.6302866089100249,215672.3,0.1747153806870396,1234420.8,-5.2,-39.53
DF,Distrito Federal,85758.5,0.19170027888228913,47542.0,0.10627301851853507,238328.2,0.5327469860773449,75728.5,0.16927971652183088,447357.2,-15.83,-47.86
ES,Espírito Santo,92919.9,0.16384484236441127,47724.3,0.08415183841622595,327078.5,0.576734642130352,99398.6,0.17526867708901075,567121.3,-19.19,-40.34
GO,Goiás,231058.8,0.21741453760497814,74823.1,0.0704047181439142,625172.6,0.5882555079153098,131702.4,0.12392523633579797,1062756.9,-15.98,-49.86
MA,Maranhão,131194.8,0.14987812780175822,51656.0,0.059012282268257756,527808.1,0.602972754000945,164684.3,0.18813683592903904,875343.2,-5.42,-45.44
MT,Mato Grosso,106007.0,0.2142104713309331,28062.4,0.056706254593349284,302055.5,0.6103696078853346,58748.2,0.11871366619038294,494873.10000000003,-12.64,-55.42
MS,Mato Grosso do Sul,77841.3,0.19877600560363284,19711.9,0.05033642481379744,257303.7,0.6570522552043127,36746.2,0.09383531437825694,391603.10000000003,-20.51,-54.54
MG,Minas Gerais,602889.0,0.18517128994688903,223039.9,0.06850446100795525,1981772.8,0.6086815744816345,448143.2,0.1376426745635211,3255844.9000000004,-18.1,-44.38
PA,Pará,228113.0,0.19445635752084234,84808.5,0.07229553772387527,681606.7,0.581039906291187,178552.5,0.15220819846409545,1173080.7,-3.79,-52.48
PB,Paraiba,82792.9,0.1732346648019327,29874.6,0.06250918034145221,282194.6,0.5904598937821417,83061.3,0.17379626107447346,477923.39999999997,-7.28,-36.72
PR,Paraná,352523.2,0.20446980437848633,105394.4,0.06113064998442071,1083726.0,0.6285805961703499,182440.8,0.10581894946674303,1724084.4000000001,-24.89,-51.55
PE,Pernambuco,144474.6,0.12073250466468738,80891.0,0.06759785481206541,662659.9,0.5537623185518511,308624.9,0.2579073219713962,1196650.4,-8.38,-37.86
PI,Piauí,77470.5,0.20001719511968424,22322.9,0.05763437495481764,227500.8,0.5873728955342261,60025.0,0.15497553439127212,387319.19999999995,-6.6,-42.28
RJ,Rio de Janeiro,295208.9,0.1402226128366132,127856.8,0.06073128067930298,1219115.1,0.5790730044743535,463106.6,0.21997310200973036,2105287.4,-22.25,-42.66
RN,Rio Grande do Norte,69172.1,0.1568685568939109,31855.9,0.07224284157278348,259156.4,0.5877151406104647,80771.4,0.18317346092284076,440955.80000000005,-5.81,-36.59
RS,Rio Grande do Sul,370332.8,0.22580191603058927,116131.0,0.0708082090232039,978142.5,0.5963999155650017,175471.9,0.10698995938120512,1640078.2,-30.17,-53.5
RO,Rondônia,53928.4,0.20532333578652442,10971.7,0.04177290709995123,169687.3,0.6460559274261558,28063.7,0.10684782968736854,262651.1,-10.83,-63.34
RR,Roraima,14504.0,0.20997618513344288,3559.3,0.05152842221080138,43202.5,0.625447885978183,7808.7,0.11304750667757277,69074.5,1.99,-61.33
SC,Santa Catarina,245266.8,0.21423781590051938,58687.2,0.0512626150352064,743353.2,0.6493107343132538,97527.1,0.0851888347510203,1144834.3,-27.45,-50.95
SP,São Paulo,1077403.8,0.15590393335959507,553465.2,0.08008826556733413,4069346.3,0.5888480200017067,1210475.0,0.17515978107136418,6910690.3,-22.19,-48.79
SE,Sergipe,57579.5,0.19190998083883187,19268.2,0.06422007646469283,175980.8,0.5865363880548163,47205.4,0.15733355464165882,300033.9,-10.57,-37.45
TO,Tocantins,39025.1,0.1853415071776016,16823.2,0.07989825121653057,121133.3,0.5752971393128158,33576.2,0.15946310229305208,210557.8,-9.46,-48.26
