UF,Nome,EstudaOcupado,EstudaOcupado(%),EstudaDesocupado,EstudaDesocupado(%),EstudaNaoAtivo,EstudaNaoAtivo(%),NaoEstudaOcupado,NaoEstudaOcupado(%),NaoEstudaDesocupado,NaoEstudaDesocupado(%),NaoEstudaNaoAtivo,NaoEstudaNaoAtivo(%),Total,latitude,longitude
AC,Acre,31174,0.15118991614570956,3690,0.017896028439650616,44627,0.21643524693124336,83361,0.40429019695331025,7011,0.034002454035336166,36328,0.17618615749475,206191,-8.77,-70.55
AL,Alagoas,86628,0.09826659754685155,24157,0.027402528015644974,204480,0.2319521848176133,321153,0.36430037172697066,50090,0.056819664209283305,195053,0.22125865368363618,881561,-9.62,-36.82
AP,Amapá,19526,0.09371190524183873,8960,0.04300208291339112,57199,0.27451742640212706,63639,0.3054251734961269,15617,0.07495128670294968,43421,0.20839212524356648,208362,1.41,-51.77
AM,Amazonas,148727,0.14707825278626596,31313,0.030965872568507035,243026,0.24033187962935493,357526,0.3535625636613562,52842,0.05225620790933634,177776,0.17580522344517954,1011210,-3.47,-65.1
BA,Bahia,497724,0.13081912689999903,146488,0.038502126201121624,743344,0.1953765803263513,1603289,0.42139994685482823,275330,0.07236627168747485,538498,0.14153594803022493,3804673,-13.29,-41.71
CE,Ceará,273004,0.11873141043455494,38073,0.016558222551591957,509665,0.2216569878065063,936478,0.40728104269875587,101468,0.044129165704434446,440653,0.1916431708041565,2299341,-5.2,-39.53
DF,Distrito Federal,104574,0.14610653619061723,25154,0.035144144924539426,159758,0.22320737476562652,293159,0.40958982197396254,43548,0.060843493010012045,89545,0.12510862913524223,715738,-15.83,-47.86
ES,Espírito Santo,131059,0.13452282830605256,29476,0.03025503694633108,153156,0.15720384172046012,476335,0.488924312112587,67368,0.0691485048514192,116857,0.11994547606315005,974251,-19.19,-40.34
GO,Goiás,244923,0.1530345991919732,38581,0.024106465588881073,276385,0.17269291858124194,769194,0.48061348052600467,58714,0.03668611546060401,212645,0.1328664206512951,1600442,-15.98,-49.86
MA,Maranhão,231724,0.1272020640061481,30605,0.016800241532634354,353409,0.19399956084975573,760728,0.4175923587857496,102743,0.056399516934731296,342491,0.18800625789098097,1821700,-5.42,-45.44
MT,Mato Grosso,135490,0.16165865671428095,35762,0.042669103855754044,145576,0.17369267554681647,366466,0.4372455627090979,42916,0.05120483365229966,111914,0.13352916752175095,838124,-12.64,-55.42
MS,Mato Grosso do Sul,87521,0.13712716236817407,15378,0.024094120301388022,117072,0.18342741916530747,300798,0.4712877616346023,24051,0.03768290332739519,93427,0.14638063320313296,638247,-20.51,-54.54
MG,Minas Gerais,678102,0.13504266048989214,145035,0.028883430905898386,865047,0.17227238428554956,2433073,0.48454163398150035,252790,0.05034262418521083,647344,0.12891726615194873,5021391,-18.1,-44.38
PA,Pará,289388,0.13098255017396418,62698,0.028378315378686073,479118,0.21685798123712582,914644,0.41398538854864503,102441,0.046366758201345816,361074,0.16342900646023312,2209363,-3.79,-52.48
PB,Paraiba,118807,0.11706207274368266,30018,0.02957712339862017,226362,0.22303740444927905,381450,0.37584761544418893,73791,0.07270722608793327,184478,0.18176855787629592,1014906,-7.28,-36.72
PR,Paraná,443189,0.1626540425597508,69098,0.02535953968350672,452942,0.1662334745336609,1341956,0.49250899353845184,114919,0.0421762271106097,302630,0.11106772257402008,2724734,-24.89,-51.55
PE,Pernambuco,208612,0.0881784670087366,51146,0.0216189666636092,541146,0.22873767907843162,923724,0.3904500520544274,124697,0.0527083307795737,516468,0.21830650441522145,2365793,-8.38,-37.86
PI,Piauí,125457,0.1561614677985511,30383,0.03781896487340984,173838,0.21638328063929896,314479,0.3914448953172845,40512,0.05042694615250566,118711,0.14776444521894994,803380,-6.6,-42.28
RJ,Rio de Janeiro,344197,0.09311056935905176,100488,0.027183545741980304,961558,0.2601161917499313,1518982,0.41090793605450127,250577,0.06778492298969228,520846,0.14089683410484308,3696648,-22.25,-42.66
RN,Rio Grande do Norte,86615,0.09965013443535425,31717,0.03649025358062842,183596,0.2112263012387381,340968,0.39228201856669015,59780,0.06877659800895315,166515,0.1915746941696359,869191,-5.81,-36.59
RS,Rio Grande do Sul,408436,0.1589104157296551,60653,0.023598295559771353,438850,0.17074360718193093,1268157,0.493402530826059,113358,0.04410425845489194,280774,0.10924089224769165,2570228,-30.17,-53.5
RO,Rondônia,65160,0.14225831805082526,6937,0.015144965505196053,89179,0.1946969696969697,202379,0.44183695747096324,10649,0.02324906121736093,83736,0.18281372805868484,458040,-10.83,-63.34
RR,Roraima,28165,0.20629619049711778,3778,0.02767218205922638,29193,0.21382583664769605,48256,0.35345389556644474,6700,0.04907454203197902,20435,0.14967735319753603,136527,1.99,-61.33
SC,Santa Catarina,270017,0.1618122065840238,31258,0.0187318796720333,264037,0.15822859149544619,885241,0.5304954857236686,49878,0.02989022631907598,168275,0.10084161020575225,1668706,-27.45,-50.95
SP,São Paulo,1332711,0.12692032427413308,286845,0.027317595800149995,1607485,0.15308834208302086,5374650,0.5118531481018535,666408,0.06346516195850148,1232276,0.1173554277823411,10500375,-22.19,-48.79
SE,Sergipe,76664,0.129950876859916,16060,0.027222830564153328,111353,0.18875117383624943,244226,0.4139802626003058,42712,0.07239984676563618,98931,0.1676950093737393,589946,-10.57,-37.45
TO,Tocantins,63951,0.16720046224518342,11760,0.030746625322565044,68358,0.1787226032142773,165150,0.4317861540834708,18866,0.04932532596390409,54396,0.14221882917059933,382481,-9.46,-48.26
