UF,Nome,EstudaOcupado,EstudaOcupado(%),EstudaDesocupado,EstudaDesocupado(%),EstudaNaoAtivo,EstudaNaoAtivo(%),NaoEstudaOcupado,NaoEstudaOcupado(%),NaoEstudaDesocupado,NaoEstudaDesocupado(%),NaoEstudaNaoAtivo,NaoEstudaNaoAtivo(%),Total,latitude,longitude
AC,Acre,23854,0.10956475408330119,8231,0.0378061327601095,51069,0.23456705065314445,81141,0.3726919473075015,13608,0.06250344485476492,39813,0.18286667034117843,217716,-8.77,-70.55
AL,Alagoas,86746,0.09576463444925896,26332,0.029069632655314218,205204,0.22653823862225045,297361,0.32827643308586096,81963,0.09048436508155548,208219,0.22986669610575994,905825,-9.62,-36.82
AP,Amapá,23232,0.10766770941953424,10839,0.05023288147375739,53170,0.24641408874985518,73042,0.33851002201367164,12649,0.05862124898621249,42843,0.19855404935696908,215775,1.41,-51.77
AM,Amazonas,151102,0.14072717078799654,38872,0.0362030058031727,238564,0.2221839338451351,399725,0.37227944264954743,73352,0.06831557114823841,172108,0.16029087576590983,1073723,-3.47,-65.1
BA,Bahia,460470,0.1238143765788706,155613,0.041842305866978936,782415,0.21038118759301808,1511111,0.4063180368025576,260814,0.07012948251360904,548612,0.1475146106449657,3719035,-13.29,-41.71
CE,Ceará,240938,0.10473379468632633,48828,0.021225135623869802,500708,0.21765370705244122,967554,0.42058787731256086,135270,0.05880077201279733,407182,0.17699871331200445,2300480,-5.2,-39.53
DF,Distrito Federal,108250,0.15241541472480746,39035,0.054961068949495234,153395,0.21597933063937033,293668,0.4134829562254481,48181,0.06783858749982401,67701,0.09532264196105487,710230,-15.83,-47.86
ES,Espírito Santo,138703,0.15314841825507328,35265,0.03893772283054555,151636,0.16742834365894244,427852,0.47241124595192324,52893,0.058401615587013914,99328,0.10967265371650158,905677,-19.19,-40.34
GO,Goiás,245512,0.15283775648875064,45892,0.028568991824357848,286962,0.17864148504971186,749499,0.46658308209196336,65501,0.04077611639255782,212991,0.13259256815265846,1606357,-15.98,-49.86
MA,Maranhão,244559,0.13597655429020683,45999,0.025575773211352775,363387,0.20204577273318663,740555,0.4117538800959446,91994,0.05114932239407786,312044,0.17349869727523132,1798538,-5.42,-45.44
MT,Mato Grosso,101097,0.12846686574750618,19279,0.024498379820827244,131079,0.16656585551813965,394112,0.5008094542219963,29140,0.037029036152233304,112243,0.1426304085392973,786950,-12.64,-55.42
MS,Mato Grosso do Sul,91869,0.14789909202137935,13909,0.02239197630240196,96493,0.15534322879773327,314373,0.5061063172129564,20228,0.03256487861420568,84288,0.13569450705132333,621160,-20.51,-54.54
MG,Minas Gerais,661257,0.13327801388535612,145408,0.029307348645143814,934420,0.1883347045623025,2337467,0.4711223613248128,297231,0.059907656698013456,585703,0.11804991488437133,4961486,-18.1,-44.38
PA,Pará,259185,0.12072028348551553,52238,0.024330829981350617,498646,0.23225374338375435,843181,0.39272739298030546,117277,0.0546239662261736,376461,0.17534378394290048,2146988,-3.79,-52.48
PB,Paraiba,117712,0.12000199813032092,26780,0.0273009846908556,193698,0.1974662484185716,400455,0.40824554982735545,61033,0.06222035095731851,181239,0.18476486797557795,980917,-7.28,-36.72
PR,Paraná,393165,0.1511628890522489,57648,0.022164328534035438,431319,0.16583222347647156,1301342,0.500336032874319,106299,0.04086951774284334,311163,0.1196350083200817,2600936,-24.89,-51.55
PE,Pernambuco,214407,0.09425121524709805,52532,0.023092552199137875,492680,0.21657729797973138,923325,0.40588461812360044,155763,0.06847188776734776,436139,0.19172242868308448,2274846,-8.38,-37.86
PI,Piauí,121080,0.1472430239543532,20181,0.02454172007286754,178813,0.2174509980372461,349208,0.42466503063306715,30831,0.0374929771352549,122201,0.14860625016721107,822314,-6.6,-42.28
RJ,Rio de Janeiro,345135,0.09458124433933437,91299,0.025019696718492444,927196,0.25408999790358405,1526659,0.41836761818373647,242121,0.06635115378238654,516675,0.14159028907246612,3649085,-22.25,-42.66
RN,Rio Grande do Norte,91754,0.10043499867551989,33056,0.03618348318567022,184874,0.20236523688491034,375821,0.4113780504090564,82994,0.09084620049345093,145067,0.15879203035139225,913566,-5.81,-36.59
RS,Rio Grande do Sul,426028,0.17313397413077014,61417,0.024959320254043186,429925,0.17471768012471328,1159339,0.4711450149633191,112276,0.045627963606867036,271699,0.11041604692028721,2460684,-30.17,-53.5
RO,Rondônia,64730,0.14301116605025826,6297,0.013912271166668875,82108,0.18140523438984407,203511,0.44962684094012223,18139,0.040075382990663294,77837,0.17196910446244326,452622,-10.83,-63.34
RR,Roraima,20340,0.1434222494870222,6083,0.042892701260056836,26999,0.1903764657768,57030,0.4021322953906035,7415,0.052284954766286605,23952,0.16889133331923084,141819,1.99,-61.33
SC,Santa Catarina,266382,0.17401091561141468,27130,0.017722354140060816,253866,0.16583498548177955,802623,0.5243040562830089,46594,0.030436983737633382,134240,0.08769070474610262,1530835,-27.45,-50.95
SP,São Paulo,1414871,0.13845919132851328,371269,0.036332362106047685,1747774,0.1710370589721614,4804936,0.4702107492098299,720247,0.07048332828702242,1159589,0.11347731009642531,10218686,-22.19,-48.79
SE,Sergipe,72644,0.12656212161072095,19886,0.03464586683484936,119288,0.20782641873657398,235660,0.41057251223476815,37944,0.06610694816360878,88557,0.15428613241947875,573979,-10.57,-37.45
TO,Tocantins,53314,0.143338782182264,11223,0.030173897145806896,69895,0.18791807368851224,160717,0.43209999354741574,18375,0.049402598240595355,58420,0.15706665519540575,371944,-9.46,-48.26
