UF,Nome,Estuda_Ocupado,Estuda_Ocupado(%),Estuda_Desocupado,Estuda_Desocupado(%),NaoEstuda_Ocupado,NaoEstuda_Ocupado(%),NaoEstuda_Desocupado,NaoEstuda_Desocupado(%),Total,latitude,longitude
AC,Acre,21838.4,0.18685118146683793,7856.2,0.06721830591251063,65322.6,0.5589056426517357,21858.7,0.18702486996891576,116875.9,-8.77,-70.55
AL,Alagoas,49481.9,0.14448552513858162,24334.7,0.07105652589310116,194541.7,0.5680553836019313,74111.3,0.2164025653663858,342469.60000000003,-9.62,-36.82
AP,Amapá,15671.6,0.11933274904075251,17041.4,0.12976320921304016,65415.0,0.4981081560594212,33198.9,0.2527958856867862,131326.9,1.41,-51.77
AM,Amazonas,114333.3,0.2036970490702771,50539.6,0.09004172346282471,301261.2,0.536729171985507,95156.8,0.1695320554813912,561290.9,-3.47,-65.1
BA,Bahia,339374.9,0.17053348366581447,213302.0,0.10718274431281027,1068488.6,0.5369079540508417,368912.3,0.1853758179705336,1990077.8,-13.29,-41.71
CE,Ceará,188304.6,0.15164421640832484,76318.0,0.0614599075532437,761911.1,0.6135772133676226,215218.9,0.173318662670809,1241752.5999999999,-5.2,-39.53
DF,Distrito Federal,96496.6,0.2106983969981517,50923.2,0.11118978917408777,235159.6,0.5134662854310572,75405.1,0.1646455283967034,457984.5,-15.83,-47.86
ES,Espírito Santo,99324.9,0.17605840766819553,38299.5,0.06788780038528158,325037.5,0.5761454044499527,101496.9,0.1799083874965701,564158.8,-19.19,-40.34
GO,Goiás,219082.3,0.20984231341346488,73022.5,0.0699427125387799,628203.2,0.6017081835535849,123725.0,0.1185067904941702,1044033.0,-15.98,-49.86
MA,Maranhão,128892.8,0.15828310828409686,51086.3,0.062735066308854,476968.9,0.585727985169432,157370.1,0.19325384023761724,814318.1,-5.42,-45.44
MT,Mato Grosso,111915.2,0.22384235318165988,26822.3,0.05364746477461896,309521.4,0.6190758586508519,51714.4,0.10343432339286918,499973.30000000005,-12.64,-55.42
MS,Mato Grosso do Sul,84850.6,0.21099031714218933,24298.6,0.060421132203086376,251110.9,0.6244147764289302,41893.9,0.1041737742257941,402154.0,-20.51,-54.54
MG,Minas Gerais,630894.7,0.19087899927614224,227409.4,0.06880336559807515,2025601.9,0.6128516590864567,421301.5,0.12746597603932583,3305207.5,-18.1,-44.38
PA,Pará,232128.2,0.20357262064268516,73488.9,0.06444855886164724,662683.5,0.5811625504857525,171971.6,0.15081627000991518,1140272.2,-3.79,-52.48
PB,Paraiba,85985.9,0.1780081636337175,32611.3,0.0675119714593701,282564.4,0.5849653251552082,81883.1,0.16951453975170414,483044.70000000007,-7.28,-36.72
PR,Paraná,366321.6,0.20983305765847218,90022.7,0.05156599665340877,1084921.4,0.621454958378404,204510.7,0.11714598730971505,1745776.4,-24.89,-51.55
PE,Pernambuco,149780.0,0.12005565940037898,86681.3,0.0694791068846446,685960.0,0.5498289499418078,325166.7,0.2606362837731687,1247588.0,-8.38,-37.86
PI,Piauí,84211.5,0.21385450838718326,25560.8,0.06491147073716907,218097.2,0.5538562961902019,65909.9,0.16737772468544568,393779.4,-6.6,-42.28
RJ,Rio de Janeiro,291387.1,0.13363399715008528,147812.6,0.0677888230712571,1263257.6,0.5793467264618908,478029.0,0.21923045331676702,2180486.3,-22.25,-42.66
RN,Rio Grande do Norte,81510.1,0.18289926506044915,31609.3,0.07092762417265167,252617.3,0.5668440906287073,79919.0,0.17932902013819188,445655.7,-5.81,-36.59
RS,Rio Grande do Sul,352227.6,0.22873457867236022,104792.4,0.06805158216467262,925269.9,0.6008649541793911,157606.7,0.10234888498357618,1539896.5999999999,-30.17,-53.5
RO,Rondônia,53067.7,0.19091222729432872,26270.3,0.0945079866790949,171272.2,0.6161555367125339,27358.9,0.09842424931404245,277969.10000000003,-10.83,-63.34
RR,Roraima,13258.7,0.17953870548838366,3887.4,0.05264006001459741,44911.0,0.6081488232020332,11791.6,0.15967241129498555,73848.70000000001,1.99,-61.33
SC,Santa Catarina,273757.2,0.24111840059779938,53557.8,0.04717235227251309,724482.9,0.6381061689279969,83566.3,0.07360307820169071,1135364.2,-27.45,-50.95
SP,São Paulo,1179887.9,0.1672449118271927,569179.8,0.08067921152917934,4056305.1,0.5749668157404548,1249478.0,0.1771090609031732,7054850.8,-22.19,-48.79
SE,Sergipe,49492.3,0.15248758265265536,25871.7,0.07971165195625791,186401.8,0.574310749027702,62800.3,0.19349001636338486,324566.1,-10.57,-37.45
TO,Tocantins,41449.4,0.19624213363028112,16705.1,0.07909027552889086,124854.8,0.5911248979715514,28206.3,0.13354269286927672,211215.59999999998,-9.46,-48.26
