UF,Nome,EstudaOcupado,EstudaOcupado(%),EstudaDesocupado,EstudaDesocupado(%),EstudaNaoAtivo,EstudaNaoAtivo(%),NaoEstudaOcupado,NaoEstudaOcupado(%),NaoEstudaDesocupado,NaoEstudaDesocupado(%),NaoEstudaNaoAtivo,NaoEstudaNaoAtivo(%),Total,latitude,longitude
AC,Acre,25229,0.11163076759703368,4730,0.02092883311799791,67283,0.2977071202279606,74624,0.33018884621511124,11568,0.0511849347799154,42570,0.1883594980619812,226004,-8.77,-70.55
AL,Alagoas,59143,0.07230204437902736,42790,0.052310577396793886,205121,0.2507594752560822,238477,0.2915370312188646,76772,0.09385341546872307,195696,0.2392374562805089,817999,-9.62,-36.82
AP,Amapá,17869,0.08510911914038313,5779,0.0275250769216114,59132,0.2816426455318784,64902,0.30912485592082073,15500,0.07382569515227146,46772,0.22277260733303486,209954,1.41,-51.77
AM,Amazonas,125622,0.11689116509660442,41987,0.0390688681036055,259409,0.24137985580985064,366147,0.3406994748262758,80389,0.07480189672948157,201138,0.18715873943418207,1074692,-3.47,-65.1
BA,Bahia,408359,0.11262310770597012,141422,0.039003389512643795,827447,0.22820521306493027,1323244,0.36494322773167415,320688,0.0884439406600862,604730,0.16678112132469544,3625890,-13.29,-41.71
CE,Ceará,206510,0.09009201592173847,48660,0.02122840295749259,527244,0.230015373796141,876658,0.38245066337668593,156425,0.06824194271734028,476715,0.2079716012306017,2292212,-5.2,-39.53
DF,Distrito Federal,100924,0.13871303812395716,41544,0.05709934659567274,199902,0.27475143421837506,260577,0.3581450134281874,48688,0.06691827910288163,75939,0.10437288853092606,727574,-15.83,-47.86
ES,Espírito Santo,96548,0.11157349037535925,47375,0.05474783637706265,167914,0.19404597778191235,364602,0.4213439712664865,68958,0.07968973722194166,119934,0.1385989869772376,865331,-19.19,-40.34
GO,Goiás,219732,0.1398570953932168,61493,0.039139644507923656,315118,0.20056927614603104,673208,0.4284897760702888,109865,0.06992791120717859,191702,0.12201629667536111,1571118,-15.98,-49.86
MA,Maranhão,195413,0.10901050815934558,30065,0.016771662723619844,404371,0.22557705063072944,695242,0.3878384944385468,106736,0.05954233136432023,360780,0.20125995268343813,1792607,-5.42,-45.44
MT,Mato Grosso,101151,0.12890584677496436,21456,0.02734331690644319,138811,0.17689938306768668,349434,0.4453152777724678,42035,0.05356899357579882,131802,0.16796718190263912,784689,-12.64,-55.42
MS,Mato Grosso do Sul,88813,0.1399780607050205,17230,0.027156181932234055,114873,0.18105119484048304,298688,0.4707617915830021,31366,0.04943591424761773,83508,0.13161685669164258,634478,-20.51,-54.54
MG,Minas Gerais,607894,0.12477744484306295,199557,0.040961438277968054,981325,0.20142858139843253,2096807,0.4303944763216092,409088,0.08397015821172596,577155,0.11846790094720132,4871826,-18.1,-44.38
PA,Pará,249249,0.11649054751945412,58076,0.02714275699296614,530960,0.2481527352604398,794954,0.3715345967798472,127519,0.05959806510410581,378892,0.17708129834318698,2139650,-3.79,-52.48
PB,Paraiba,100194,0.10388363506666266,29094,0.030165383941448423,222371,0.23055979213734198,365241,0.3786909670776986,77574,0.08043065559475905,170009,0.17626956618208928,964483,-7.28,-36.72
PR,Paraná,348132,0.1331777631558813,82742,0.03165292038377378,483204,0.184849504980796,1210308,0.4630028614711328,155118,0.059340331440987895,334536,0.1279766185674282,2614040,-24.89,-51.55
PE,Pernambuco,209487,0.09256962264159281,60476,0.026723569953615103,523678,0.23140660205981298,823567,0.3639237108272526,213891,0.09451569384464395,431922,0.1908608006730826,2263021,-8.38,-37.86
PI,Piauí,109201,0.13788910383004946,27580,0.03482551884719704,169986,0.21464288059317027,321952,0.40653174198305947,55156,0.06964598685772298,108073,0.13646476788880077,791948,-6.6,-42.28
RJ,Rio de Janeiro,295484,0.08226636479354618,140373,0.0390815625386297,963764,0.26832370212562184,1357597,0.3779716331328394,348430,0.09700717969506063,486148,0.13534955771430227,3591796,-22.25,-42.66
RN,Rio Grande do Norte,82664,0.09345739448960441,33201,0.03753603690178743,187930,0.21246792009135002,340518,0.3849792540502651,87599,0.0990367548133995,152598,0.17252263965359352,884510,-5.81,-36.59
RS,Rio Grande do Sul,374623,0.15669475510523334,105635,0.044184287818797366,417344,0.17456380380979947,1064218,0.4451338516016935,175939,0.07359056576467449,253023,0.10583273589980183,2390782,-30.17,-53.5
RO,Rondônia,48630,0.10701035555692476,13239,0.029132430541191176,92936,0.20450574550767756,185884,0.409037897025363,26208,0.0576707258572051,87545,0.19264284551163846,454442,-10.83,-63.34
RR,Roraima,20459,0.15230402739522073,5373,0.03999851112930842,33069,0.24617732449936722,45873,0.34149482617434673,10128,0.07539641182163329,19428,0.14462889898012357,134330,1.99,-61.33
SC,Santa Catarina,230030,0.15114043583216927,47294,0.0310743632232605,286632,0.18833058906858385,739462,0.485861013612692,80254,0.05273062008118468,138290,0.09086297818210967,1521962,-27.45,-50.95
SP,São Paulo,1197724,0.118026609406957,475983,0.04690451191205287,1827547,0.18009088566469073,4471531,0.44063544087627854,1032055,0.10170118689405656,1143075,0.11264136524596433,10147915,-22.19,-48.79
SE,Sergipe,62689,0.10634591047733434,25294,0.04290885896431104,126109,0.21393189274651303,239762,0.4067333692971117,48754,0.08270651181885112,86874,0.14737345669587876,589482,-10.57,-37.45
TO,Tocantins,43320,0.11944710219455099,14692,0.040510545370321865,88887,0.24508990241844536,134730,0.3714937229610308,27601,0.07610478918909976,53441,0.14735393786655124,362671,-9.46,-48.26
