UF,Nome,EstudaOcupado,EstudaOcupado(%),EstudaDesocupado,EstudaDesocupado(%),EstudaNaoAtivo,EstudaNaoAtivo(%),NaoEstudaOcupado,NaoEstudaOcupado(%),NaoEstudaDesocupado,NaoEstudaDesocupado(%),NaoEstudaNaoAtivo,NaoEstudaNaoAtivo(%),Total,latitude,longitude
AC,Acre,32805,0.1481546715803165,6338,0.028623816749765156,45107,0.203713237950719,92814,0.41916865380446566,9506,0.04293120890237734,34854,0.1574084110123564,221424,-8.77,-70.55
AL,Alagoas,103077,0.11641620116148531,29538,0.03336051446887233,194071,0.21918574052029663,315828,0.3566993216763156,57866,0.06535444276036854,185038,0.20898377941266158,885418,-9.62,-36.82
AP,Amapá,15454,0.07473824205053803,5393,0.02608148954177246,64766,0.31321968323056465,63764,0.30837383629549026,12265,0.05931568129609479,45133,0.21827106758553982,206775,1.41,-51.77
AM,Amazonas,143731,0.14065955789383033,27241,0.026658876766917586,237764,0.23268313114824687,379790,0.3716741238320044,47009,0.0460044468975452,186301,0.18231986346145565,1021836,-3.47,-65.1
BA,Bahia,489815,0.12888650782728683,135042,0.03553401139208164,759815,0.1999324274364606,1515208,0.3987012805895443,251350,0.06613848849542898,649129,0.1708072842591976,3800359,-13.29,-41.71
CE,Ceará,283803,0.12113036742062908,45240,0.01930894959570286,499568,0.21322133801118673,999522,0.4266074252386409,108030,0.04610843998284218,406792,0.1736234797509982,2342955,-5.2,-39.53
DF,Distrito Federal,103775,0.14120815122437094,32737,0.044545711844203625,152892,0.2080423672078682,319227,0.43437681995569516,45292,0.06162948287404682,80985,0.11019746689381528,734908,-15.83,-47.86
ES,Espírito Santo,123459,0.13507637905719294,21852,0.023908253227045255,155145,0.16974400269586015,458920,0.5021039525423581,38253,0.04185257233636107,116365,0.12731484014118255,913994,-19.19,-40.34
GO,Goiás,257413,0.1594527343152334,40552,0.025119660941566063,280577,0.17380151676863734,753585,0.46680310935712327,58351,0.036145130587919745,223875,0.13867784802952018,1614353,-15.98,-49.86
MA,Maranhão,232193,0.13045649914318622,26875,0.01509958704385201,342666,0.19252521279883136,752562,0.4228232716240133,73909,0.04152540944461612,351645,0.19757001994550102,1779850,-5.42,-45.44
MT,Mato Grosso,120915,0.14977536482313464,24261,0.030051690244999128,130787,0.16200364420562635,388227,0.4808902167571525,27137,0.033614142787953556,115982,0.14366494118113388,807309,-12.64,-55.42
MS,Mato Grosso do Sul,102363,0.15042653401617964,10488,0.015412536646656429,120824,0.17755571393932268,329764,0.48460142398436407,20972,0.030819195132883163,96074,0.141184596280594,680485,-20.51,-54.54
MG,Minas Gerais,692864,0.13895269667270316,144458,0.02897080618410735,912527,0.1830057376868358,2378211,0.4769461708310521,243675,0.04886860677091167,614595,0.1232559818543899,4986330,-18.1,-44.38
PA,Pará,284261,0.13120178492140197,49485,0.02283999678758457,455273,0.21013304753913284,890797,0.4111508662905925,91119,0.042056333581649355,395659,0.18261797087963874,2166594,-3.79,-52.48
PB,Paraiba,125628,0.1250772847153981,32640,0.032496916078506334,211228,0.21030204011736325,402113,0.40035025781484124,64661,0.06437754566643071,168133,0.16739595560746034,1004403,-7.28,-36.72
PR,Paraná,418390,0.1597488858547075,72878,0.027826141407106705,421550,0.16095543113375546,1280717,0.4890009652362232,94608,0.03612304929119283,330905,0.12634552707701424,2619048,-24.89,-51.55
PE,Pernambuco,231242,0.10204223922617314,56056,0.02473633579567017,467908,0.20647797576495716,902734,0.3983575595506015,158877,0.07010908416955705,449323,0.19827680549304103,2266140,-8.38,-37.86
PI,Piauí,151282,0.1750211716360237,22495,0.026024915429147904,164215,0.18998361801278166,347536,0.4020713495703199,35987,0.04163408008663017,142849,0.16526486526509665,864364,-6.6,-42.28
RJ,Rio de Janeiro,331289,0.09133889398794771,74696,0.020594254639676363,931742,0.25688834752170575,1510479,0.4164505348865229,201184,0.05546795712526306,577641,0.1592600118388842,3627031,-22.25,-42.66
RN,Rio Grande do Norte,111010,0.12007519707864973,29602,0.0320193314469164,186249,0.20145829547519534,378069,0.40894252485657173,38238,0.04136055657952805,181336,0.19614409456313872,924504,-5.81,-36.59
RS,Rio Grande do Sul,435144,0.1698008290562237,73951,0.028856978631296305,439174,0.171373405814944,1227339,0.4789292274121591,101661,0.039669907163340776,285404,0.11136965192203609,2562673,-30.17,-53.5
RO,Rondônia,68690,0.14628900010648493,10092,0.021492918751996593,76095,0.1620594185922692,230217,0.4902928335640507,17238,0.03671174528804174,67218,0.14315408369715685,469550,-10.83,-63.34
RR,Roraima,19899,0.14374462736486243,4672,0.03374917830286131,32877,0.23749395014194594,50528,0.36499967493300006,6406,0.04627509336646609,24051,0.17373747589086416,138433,1.99,-61.33
SC,Santa Catarina,299016,0.18714220356602607,22897,0.014330320233871426,241441,0.15110830447596416,831166,0.520193691204349,43714,0.02735885132128469,159567,0.0998666291985047,1597801,-27.45,-50.95
SP,São Paulo,1396841,0.13519440206300912,308127,0.029822324462461233,1646133,0.15932233278604177,5175560,0.5009208202946702,578383,0.05597927312300355,1227048,0.11876084727081408,10332092,-22.19,-48.79
SE,Sergipe,81205,0.13586633717204605,15138,0.025327807550156185,120090,0.20092590888481018,245343,0.4104901762305436,35785,0.05987287575520803,100122,0.16751689440723594,597683,-10.57,-37.45
TO,Tocantins,55527,0.14949720670391062,13577,0.03655381301743286,74674,0.2010473177626708,157828,0.42492562428484887,14550,0.03917345359089991,55269,0.14880258464023693,371425,-9.46,-48.26
