UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
AC, Acre,87805,0.399,132404,0.601,220209,-8.77,-70.55
AL, Alagoas,300251,0.354,548453,0.646,848704,-9.62,-36.82
AP, Amapá,84665,0.394,130463,0.606,215128,1.41,-51.77
AM, Amazonas,424544,0.405,623295,0.595,1047839,-3.47,-65.1
BA, Bahia,1336955,0.364,2340165,0.636,3677120,-13.29,-41.71
CE, Ceará,814622,0.347,1530967,0.653,2345589,-5.2,-39.53
DF, Distrito Federal,302487,0.429,402124,0.571,704611,-15.83,-47.86
ES, Espírito Santo,313663,0.331,634164,0.669,947827,-19.19,-40.34
GO, Goiás,601996,0.373,1011580,0.627,1613576,-15.98,-49.86
MA, Maranhão,680190,0.378,1118259,0.622,1798449,-5.42,-45.44
MT, Mato Grosso,309853,0.37,527278,0.63,837131,-12.64,-55.42
MS, Mato Grosso do Sul,206742,0.324,431099,0.676,637841,-20.51,-54.54
MG, Minas Gerais,1774785,0.357,3200136,0.643,4974921,-18.1,-44.38
PA, Pará,795059,0.371,1348339,0.629,2143398,-3.79,-52.48
PB, Paraiba,355969,0.36,632787,0.64,988756,-7.28,-36.72
PR, Paraná,920831,0.347,1736630,0.653,2657461,-24.89,-51.55
PE, Pernambuco,789318,0.345,1498137,0.655,2287455,-8.38,-37.86
PI, Piauí,323688,0.408,468994,0.592,792682,-6.6,-42.28
RJ, Rio de Janeiro,1378954,0.374,2304179,0.626,3683133,-22.25,-42.66
RN, Rio Grande do Norte,300995,0.35,558598,0.65,859593,-5.81,-36.59
RS, Rio Grande do Sul,915305,0.375,1525006,0.625,2440311,-30.17,-53.5
RO, Rondônia,161644,0.354,295323,0.646,456967,-10.83,-63.34
RR, Roraima,49021,0.37,83433,0.63,132454,1.99,-61.33
SC, Santa Catarina,556893,0.363,977783,0.637,1534676,-27.45,-50.95
SP, São Paulo,3325280,0.326,6878831,0.674,10204111,-22.19,-48.79
SE, Sergipe,223810,0.388,352530,0.612,576340,-10.57,-37.45
TO, Tocantins,157973,0.412,225267,0.588,383240,-9.46,-48.26
