UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
AC, Acre,83154,0.382,134562,0.618,217716,-8.77,-70.55
AL, Alagoas,318282,0.351,587543,0.649,905825,-9.62,-36.82
AP, Amapá,87241,0.404,128534,0.596,215775,1.41,-51.77
AM, Amazonas,428538,0.399,645185,0.601,1073723,-3.47,-65.1
BA, Bahia,1398498,0.376,2320537,0.624,3719035,-13.29,-41.71
CE, Ceará,790474,0.344,1510006,0.656,2300480,-5.2,-39.53
DF, Distrito Federal,300680,0.423,409550,0.577,710230,-15.83,-47.86
ES, Espírito Santo,325604,0.36,580073,0.64,905677,-19.19,-40.34
GO, Goiás,578366,0.36,1027991,0.64,1606357,-15.98,-49.86
MA, Maranhão,653945,0.364,1144593,0.636,1798538,-5.42,-45.44
MT, Mato Grosso,251455,0.32,535495,0.68,786950,-12.64,-55.42
MS, Mato Grosso do Sul,202271,0.326,418889,0.674,621160,-20.51,-54.54
MG, Minas Gerais,1741085,0.351,3220401,0.649,4961486,-18.1,-44.38
PA, Pará,810069,0.377,1336919,0.623,2146988,-3.79,-52.48
PB, Paraiba,338190,0.345,642727,0.655,980917,-7.28,-36.72
PR, Paraná,882132,0.339,1718804,0.661,2600936,-24.89,-51.55
PE, Pernambuco,759619,0.334,1515227,0.666,2274846,-8.38,-37.86
PI, Piauí,320074,0.389,502240,0.611,822314,-6.6,-42.28
RJ, Rio de Janeiro,1363630,0.374,2285455,0.626,3649085,-22.25,-42.66
RN, Rio Grande do Norte,309684,0.339,603882,0.661,913566,-5.81,-36.59
RS, Rio Grande do Sul,917370,0.373,1543314,0.627,2460684,-30.17,-53.5
RO, Rondônia,153135,0.338,299487,0.662,452622,-10.83,-63.34
RR, Roraima,53422,0.377,88397,0.623,141819,1.99,-61.33
SC, Santa Catarina,547378,0.358,983457,0.642,1530835,-27.45,-50.95
SP, São Paulo,3533914,0.346,6684772,0.654,10218686,-22.19,-48.79
SE, Sergipe,211818,0.369,362161,0.631,573979,-10.57,-37.45
TO, Tocantins,134432,0.361,237512,0.639,371944,-9.46,-48.26
