UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
AC, Acre,97242,0.43,128762,0.57,226004,-8.77,-70.55
AL, Alagoas,307054,0.375,510945,0.625,817999,-9.62,-36.82
AP, Amapá,82780,0.394,127174,0.606,209954,1.41,-51.77
AM, Amazonas,427018,0.397,647674,0.603,1074692,-3.47,-65.1
BA, Bahia,1377228,0.38,2248662,0.62,3625890,-13.29,-41.71
CE, Ceará,782414,0.341,1509798,0.659,2292212,-5.2,-39.53
DF, Distrito Federal,342370,0.471,385204,0.529,727574,-15.83,-47.86
ES, Espírito Santo,311837,0.36,553494,0.64,865331,-19.19,-40.34
GO, Goiás,596343,0.38,974775,0.62,1571118,-15.98,-49.86
MA, Maranhão,629849,0.351,1162758,0.649,1792607,-5.42,-45.44
MT, Mato Grosso,261418,0.333,523271,0.667,784689,-12.64,-55.42
MS, Mato Grosso do Sul,220916,0.348,413562,0.652,634478,-20.51,-54.54
MG, Minas Gerais,1788776,0.367,3083050,0.633,4871826,-18.1,-44.38
PA, Pará,838285,0.392,1301365,0.608,2139650,-3.79,-52.48
PB, Paraiba,351659,0.365,612824,0.635,964483,-7.28,-36.72
PR, Paraná,914078,0.35,1699962,0.65,2614040,-24.89,-51.55
PE, Pernambuco,793641,0.351,1469380,0.649,2263021,-8.38,-37.86
PI, Piauí,306767,0.387,485181,0.613,791948,-6.6,-42.28
RJ, Rio de Janeiro,1399621,0.39,2192175,0.61,3591796,-22.25,-42.66
RN, Rio Grande do Norte,303795,0.343,580715,0.657,884510,-5.81,-36.59
RS, Rio Grande do Sul,897602,0.375,1493180,0.625,2390782,-30.17,-53.5
RO, Rondônia,154805,0.341,299637,0.659,454442,-10.83,-63.34
RR, Roraima,58901,0.438,75429,0.562,134330,1.99,-61.33
SC, Santa Catarina,563956,0.371,958006,0.629,1521962,-27.45,-50.95
SP, São Paulo,3501254,0.345,6646661,0.655,10147915,-22.19,-48.79
SE, Sergipe,214092,0.363,375390,0.637,589482,-10.57,-37.45
TO, Tocantins,146899,0.405,215772,0.595,362671,-9.46,-48.26
