UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
RO,Rondônia,150672,0.36,268179,0.64,418851,-10.83,-63.34
AC,Acre,97660,0.417,136286,0.583,233946,-8.77,-70.55
AM,Amazonas,434103,0.42,598688,0.58,1032791,-3.47,-65.1
RR,Roraima,54686,0.411,78331,0.589,133017,1.99,-61.33
PA,Pará,888808,0.402,1322612,0.598,2211420,-3.79,-52.48
AP,Amapá,100399,0.418,140023,0.582,240422,1.41,-51.77
TO,Tocantins,154493,0.411,221123,0.589,375616,-9.46,-48.26
MA,Maranhão,631346,0.357,1137266,0.643,1768612,-5.42,-45.44
PI,Piauí,315473,0.417,441734,0.583,757207,-6.6,-42.28
CE,Ceará,796132,0.354,1453426,0.646,2249558,-5.2,-39.53
RN,Rio Grande do Norte,321626,0.388,506517,0.612,828143,-5.81,-36.59
PB,Paraiba,370456,0.397,563367,0.603,933823,-7.28,-36.72
PE,Pernambuco,789677,0.359,1407013,0.641,2196690,-8.38,-37.86
AL,Alagoas,294249,0.371,499719,0.629,793968,-9.62,-36.82
SE,Sergipe,217890,0.399,328883,0.601,546773,-10.57,-37.45
BA,Bahia,1372091,0.397,2085557,0.603,3457648,-13.29,-41.71
MG,Minas Gerais,1799857,0.372,3032761,0.628,4832618,-18.1,-44.38
ES,Espírito Santo,315070,0.367,544138,0.633,859208,-19.19,-40.34
RJ,Rio de Janeiro,1463297,0.4,2195874,0.6,3659171,-22.25,-42.66
SP,São Paulo,3542254,0.362,6255429,0.638,9797683,-22.19,-48.79
PR,Paraná,961970,0.377,1587655,0.623,2549625,-24.89,-51.55
SC,Santa Catarina,580203,0.369,992395,0.631,1572598,-27.45,-50.95
RS,Rio Grande do Sul,969397,0.405,1424378,0.595,2393775,-30.17,-53.5
MS,Mato Grosso do Sul,216678,0.371,366684,0.629,583362,-20.51,-54.54
MT,Mato Grosso,293271,0.376,487360,0.624,780631,-12.64,-55.42
GO,Goiás,613462,0.387,971058,0.613,1584520,-15.98,-49.86
DF,Distrito Federal,305732,0.431,403769,0.569,709501,-15.83,-47.86
