UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
AC, Acre,79733,0.371,135004,0.629,214737,-8.77,-70.55
AL, Alagoas,328645,0.376,546423,0.624,875068,-9.62,-36.82
AP, Amapá,80693,0.393,124823,0.607,205516,1.41,-51.77
AM, Amazonas,413691,0.403,614035,0.597,1027726,-3.47,-65.1
BA, Bahia,1426107,0.362,2513122,0.638,3939229,-13.29,-41.71
CE, Ceará,820357,0.34,1592129,0.66,2412486,-5.2,-39.53
DF, Distrito Federal,296835,0.405,436504,0.595,733339,-15.83,-47.86
ES, Espírito Santo,303298,0.32,644218,0.68,947516,-19.19,-40.34
GO, Goiás,575821,0.35,1068358,0.65,1644179,-15.98,-49.86
MA, Maranhão,701770,0.363,1231745,0.637,1933515,-5.42,-45.44
MT, Mato Grosso,305778,0.358,548654,0.642,854432,-12.64,-55.42
MS, Mato Grosso do Sul,228757,0.345,434417,0.655,663174,-20.51,-54.54
MG, Minas Gerais,1787952,0.347,3368244,0.653,5156196,-18.1,-44.38
PA, Pará,834716,0.372,1409064,0.628,2243780,-3.79,-52.48
PB, Paraiba,381235,0.371,645100,0.629,1026335,-7.28,-36.72
PR, Paraná,961936,0.355,1747173,0.645,2709109,-24.89,-51.55
PE, Pernambuco,863389,0.358,1547645,0.642,2411034,-8.38,-37.86
PI, Piauí,354602,0.403,524888,0.597,879490,-6.6,-42.28
RJ, Rio de Janeiro,1488883,0.378,2448383,0.622,3937266,-22.25,-42.66
RN, Rio Grande do Norte,326748,0.365,568078,0.635,894826,-5.81,-36.59
RS, Rio Grande do Sul,958160,0.363,1682178,0.637,2640338,-30.17,-53.5
RO, Rondônia,156118,0.344,297073,0.656,453191,-10.83,-63.34
RR, Roraima,51771,0.389,81487,0.611,133258,1.99,-61.33
SC, Santa Catarina,570311,0.34,1107410,0.66,1677721,-27.45,-50.95
SP, São Paulo,3707494,0.346,7021073,0.654,10728567,-22.19,-48.79
SE, Sergipe,234381,0.396,357824,0.604,592205,-10.57,-37.45
TO, Tocantins,149574,0.377,246762,0.623,396336,-9.46,-48.26
