UF,Nome,Estuda,Estuda(%),NaoEstuda,NaoEstuda(%),Total,latitude,longitude
AC, Acre,84250,0.38,137174,0.62,221424,-8.77,-70.55
AL, Alagoas,326686,0.369,558732,0.631,885418,-9.62,-36.82
AP, Amapá,85613,0.414,121162,0.586,206775,1.41,-51.77
AM, Amazonas,408736,0.4,613100,0.6,1021836,-3.47,-65.1
BA, Bahia,1384672,0.364,2415687,0.636,3800359,-13.29,-41.71
CE, Ceará,828611,0.354,1514344,0.646,2342955,-5.2,-39.53
DF, Distrito Federal,289404,0.394,445504,0.606,734908,-15.83,-47.86
ES, Espírito Santo,300456,0.329,613538,0.671,913994,-19.19,-40.34
GO, Goiás,578542,0.358,1035811,0.642,1614353,-15.98,-49.86
MA, Maranhão,601734,0.338,1178116,0.662,1779850,-5.42,-45.44
MT, Mato Grosso,275963,0.342,531346,0.658,807309,-12.64,-55.42
MS, Mato Grosso do Sul,233675,0.343,446810,0.657,680485,-20.51,-54.54
MG, Minas Gerais,1749849,0.351,3236481,0.649,4986330,-18.1,-44.38
PA, Pará,789019,0.364,1377575,0.636,2166594,-3.79,-52.48
PB, Paraiba,369496,0.368,634907,0.632,1004403,-7.28,-36.72
PR, Paraná,912818,0.349,1706230,0.651,2619048,-24.89,-51.55
PE, Pernambuco,755206,0.333,1510934,0.667,2266140,-8.38,-37.86
PI, Piauí,337992,0.391,526372,0.609,864364,-6.6,-42.28
RJ, Rio de Janeiro,1337727,0.369,2289304,0.631,3627031,-22.25,-42.66
RN, Rio Grande do Norte,326861,0.354,597643,0.646,924504,-5.81,-36.59
RS, Rio Grande do Sul,948269,0.37,1614404,0.63,2562673,-30.17,-53.5
RO, Rondônia,154877,0.33,314673,0.67,469550,-10.83,-63.34
RR, Roraima,57448,0.415,80985,0.585,138433,1.99,-61.33
SC, Santa Catarina,563354,0.353,1034447,0.647,1597801,-27.45,-50.95
SP, São Paulo,3351101,0.324,6980991,0.676,10332092,-22.19,-48.79
SE, Sergipe,216433,0.362,381250,0.638,597683,-10.57,-37.45
TO, Tocantins,143778,0.387,227647,0.613,371425,-9.46,-48.26
