UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoestuda,IgnoradoNaoestuda(%),Total,latitude,longitude
RO,Rondônia,40142.3,0.0958389627141663,70517.9,0.168360118597622,8901.71,0.0212526599816732,21277.9,0.0508005735778906,0.0,0.0,1632.58,0.00389775308709002,100872.0,0.240829943648056,174199,0.415896734014868,756.18,0.00180536508434241,552.0,0.00131788929429105,0.0,"0,0%",0.0,"0,0%",418851.57,-10.83,-63.34
AC,Acre,17238.5,0.0736855338137245,20119.3,0.0859994408132069,4172.8,0.0178365284391281,6357.85,0.0271764695975629,120.0,0.000512936975818484,347.0,0.00148324275507512,75976.6,0.324760061974755,108967,0.465776695366773,152.0,0.00064972016937008,495.82,0.00211937009458601,0.0,"0,0%",0.0,"0,0%",233946.87,-8.77,-70.55
AM,Amazonas,74852.1,0.0724756179641499,89694.1,0.0868463987682144,9872.74,0.00955929001991102,13790.4,0.0133525680905788,88.3,8.54965600996423e-05,278.0,0.000269173767924129,343090.0,0.332197223154997,485096,0.469694669514112,6199.76,0.00600292359505502,9828.69,0.00951663856495757,0.0,"0,0%",0.0,"0,0%",1032790.09,-3.47,-65.1
RR,Roraima,12447.3,0.0935762332470666,16895.7,0.127018386643888,4508.0,0.0338902139000246,7167.75,0.0538856656348495,141.0,0.00106000890858551,370.0,0.00278158366082722,34466.3,0.259110532240998,50035,0.376152806674297,3123.78,0.0234839335351861,3862.92,0.0290406355542775,0.0,"0,0%",0.0,"0,0%",133017.75,1.99,-61.33
PA,Pará,162225.0,0.0733578265495669,201240.0,0.0910003329624586,80239.0,0.0362839182894788,103305.0,0.0467143182105287,180.0,8.13956466569397e-05,7641.27,0.00345536729405708,643598.0,0.291033752206184,1003281,0.45368169874234,2566.26,0.00116045773438799,7144.95,0.00323093236434167,0.0,"0,0%",0.0,"0,0%",2211420.48,-3.79,-52.48
AP,Amapá,17241.0,0.0717116043026796,17922.1,0.0745445475014822,7441.34,0.0309512458419872,10776.7,0.044824224006072,168.0,0.000698773245336708,0.0,0.0,74604.2,0.310306065177076,110883,0.461202820015894,944.0,0.0039264401404634,441.0,0.00183427976900886,0.0,"0,0%",0.0,"0,0%",240421.34,1.41,-51.77
TO,Tocantins,26565.8,0.0707259729952859,36292.9,0.0966223740794785,16449.1,0.0437923421239623,29953.1,0.0797439618503903,163.0,0.000433953940714437,470.0,0.00125127823396187,110469.0,0.294100968569222,154037,0.410091798563373,846.0,0.00225230082113137,370.0,0.000985048822480625,0.0,"0,0%",0.0,"0,0%",375615.9,-9.46,-48.26
MA,Maranhão,111532.0,0.0630618748763791,196266.0,0.110971756397154,63087.5,0.0356706239578199,111096.0,0.0628153539008196,1975.48,0.00111696618531712,4415.2,0.00249642066809695,454055.0,0.25672954485703,824957,0.466443129437229,696.0,0.000393528896764694,532.0,0.000300800823389105,0.0,"0,0%",0.0,"0,0%",1768612.18,-5.42,-45.44
PI,Piauí,68626.5,0.0906311434686385,84885.9,0.112104014941233,20218.4,0.0267012992226956,29150.8,0.0384978155235308,340.0,0.000449018801473732,0.0,0.0,226288.0,0.298845783964376,326995,0.431843832317362,0.0,0.0,702.0,0.000927091760689883,0.0,"0,0%",0.0,"0,0%",757206.6,-6.6,-42.28
CE,Ceará,216540.0,0.0962589026815826,320153.0,0.142318169715603,28782.1,0.0127945569542421,66362.3,0.0295001485980696,205.0,9.11290064178647e-05,2694.05,0.00119759073043926,548805.0,0.243961240815396,1056014,0.469431739431,1799.72,0.0008000326606359,8202.99,0.00364648940661307,0.0,"0,0%",0.0,"0,0%",2249558.16,-5.2,-39.53
