UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoestuda,IgnoradoNaoestuda(%),Total,latitude,longitude
RN,Rio Grande do Norte,114021.0,0.137346777850024,165878.0,0.199812392596156,15538.7,0.0187175202548493,27310.0,0.0328969269089392,701.707,0.000845258289655475,2477.76,0.00298464626942121,197931.0,0.2384226158921,304721.0,0.367059116243826,780.157,0.000939757151464567,809.405,0.000974988543563895,0.0,"0,0%",0,"0,0%",830168.729,-5.81,-36.59
PB,Paraíba,133071.0,0.144325764109267,144644.0,0.156877575308074,22073.5,0.0239404134188959,33707.7,0.0365586007384474,1278.67,0.00138681624691778,2310.61,0.00250603477698757,221481.0,0.240213228732665,362345.0,0.392991102465392,0.0,0.0,1106.85,0.00120046420335266,0.0,"0,0%",0,"0,0%",922018.33,-7.28,-36.72
PE,Pernambuco,257099.0,0.117583919884278,419646.0,0.191924595754001,56329.7,0.0257623208643574,101072.0,0.0462251582096538,1847.05,0.000844746106450264,8128.09,0.00371737223160029,448777.0,0.20524762373213,889477.0,0.406801241183,380.761,0.000174140587552101,3758.36,0.00171888144697675,0.0,"0,0%",0,"0,0%",2186514.961,-8.38,-37.86
AL,Alagoas,67328.3,0.0856292626903238,110290.0,0.140268674273906,18324.7,0.0233056612155865,25334.1,0.0322203338554951,1056.92,0.0013442086065244,3074.03,0.00390960298103377,202494.0,0.25753527000109,356771.0,0.453747349618058,576.634,0.000733372805524158,736.289,0.000936424715862361,290.796,"0,0%",0,"0,0%",786276.769,-9.62,-36.82
SE,Sergipe,44851.2,0.0806932769277771,59916.9,0.107798475946105,19658.1,0.0353675377063252,32272.3,0.0580621620156495,494.264,0.000889246705270557,850.209,0.00152963912411459,142753.0,0.256831642437013,254284.0,0.457490752316613,291.071,0.000523675460381105,452.213,0.000813591360751571,0.0,"0,0%",0,"0,0%",555823.257,-10.57,-37.45
BA,Bahia,250706.0,0.0738239015701415,327084.0,0.0963144760044361,262291.0,0.0772352674715961,469054.0,0.138119535739396,3003.98,0.000884564086374772,4993.09,0.00147028545264516,809210.0,0.238283245672517,1259254.0,0.370805020014706,6556.46,0.00193064169859744,3847.88,0.00113306228958906,0.0,"0,0%",0,"0,0%",3396000.41,-13.29,-41.71
MG,Minas Gerais,711833.0,0.146295975605046,1016109.0,0.208830803680172,177578.0,0.0364958448905752,416456.0,0.0855900707280711,2072.47,0.000425934201648687,2565.03,0.000527165172598364,917795.0,0.188625302466215,1618875.0,0.332711320643492,2095.16,0.000430597452279774,325.93,6.69851599026072e-05,0.0,"0,0%",0,"0,0%",4865704.59,-18.1,-44.38
ES,Espírito Santo,110912.0,0.127406836702872,182085.0,0.209164687870044,34277.5,0.0393752510556358,62871.8,0.0722220963990876,599.71,0.000688898893168269,1697.24,0.00194965359497243,171384.0,0.196872234758051,303822.0,0.349006418969452,469.792,0.00053965948344918,2415.09,0.00277426227326834,0.0,"0,0%",0,"0,0%",870534.132,-19.19,-40.34
RJ,Rio de Janeiro,628249.0,0.174903497972381,790843.0,0.220169402652406,164920.0,0.0459134592901939,327873.0,0.0912793089852883,1048.67,0.000291948019366042,5557.54,0.00154721008090968,605813.0,0.168657352128124,1058887.0,0.294792415519134,5165.41,0.00143804172782052,2913.8,0.000811197172445835,704.625,"0,0%",0,"0,0%",3591975.045,-22.25,-42.66
SP,São Paulo,2064201.0,0.209198401206909,3306199.0,0.33506986232052,216486.0,0.0219399782694025,488196.0,0.0494766850106205,44179.1,0.004477372642858,44640.6,0.00452414379651842,1224849.0,0.124133479501212,2442595.0,0.247547098754428,12774.1,0.00129460323721245,23073.2,0.00233837526031973,0.0,"0,0%",0,"0,0%",9867193.0,-22.19,-48.79
PR,Paraná,623235.0,0.245338344513277,947244.0,0.372885468258578,30747.7,0.0121039251896811,82040.2,0.0322953730960844,9799.77,0.00385770912803498,14321.0,0.00563750500497348,260830.0,0.102676519129058,570518.0,0.224586137869385,1167.64,0.000459645020878935,404.856,0.000159372790049127,0.0,"0,0%",0,"0,0%",2540308.166,-24.89,-51.55
SC,Santa Catarina,501687.0,0.322879786989842,723997.0,0.465955859213583,12346.1,0.00794580313652793,35521.1,0.0228609575325748,1359.2,0.00087476495599167,1486.98,0.000957002644394125,89012.0,0.0572870646429742,185517.0,0.119396534976977,1067.79,0.000687216945525563,1794.64,0.00115500896161043,0.0,"0,0%",0,"0,0%",1553788.81,-27.45,-50.95
RS,Rio Grande do Sul,735701.0,0.325746038607344,997552.0,0.441685701534772,60145.2,0.0266304662372981,89258.2,0.0395208176463292,408.71,0.00018096436383695,2029.33,0.000898525635451143,121895.0,0.053971400577194,247139.0,0.109425636549876,692.785,0.000306744138388542,3689.74,0.00163370470950979,0.0,"0,0%",0,"0,0%",2258510.965,-30.17,-53.5
MS,Mato Grosso do Sul,105947.0,0.173227839284558,149807.0,0.244940799831065,13478.8,0.0220384097723268,22361.5,0.0365620010775355,430.517,0.000703913557583227,1152.18,0.001883863175615,121928.0,0.199357452200512,191322.0,0.312819585902388,1590.02,0.00259975014884077,3587.91,0.00586638504957629,0.0,"0,0%",0,"0,0%",611604.927,-20.51,-54.54
MT,Mato Grosso,94412.9,0.122201157986404,129545.0,0.167673580743191,22290.2,0.0288508058935649,47413.3,0.0613683105164315,1750.25,0.00226539569026801,1969.07,0.00254862030671963,184256.0,0.23848750081761,287840.0,0.372559060412366,891.195,0.00115349767872498,2234.42,0.00289206995471998,0.0,"0,0%",0,"0,0%",772602.335,-12.64,-55.42
GO,Goiás,213129.0,0.13617444788564,280807.0,0.179415932075987,42006.9,0.026839455986221,88091.3,0.0562841478214054,1863.07,0.00119037075490571,3558.93,0.0022739060747887,342197.0,0.218639826317031,589755.0,0.376811984820441,856.406,0.000547183228072903,2852.81,0.00182274503550729,0.0,"0,0%",0,"0,0%",1565117.416,-15.98,-49.86
DF,Distrito Federal,113306.0,0.159410622408551,129668.0,0.182430379560412,27529.6,0.0387314941014461,41214.6,0.057984970242701,6962.68,0.00979581974857087,4526.54,0.00636840554566575,163969.0,0.230688580884576,223008.0,0.313750764143878,0.0,0.0,596.319,0.000838963364199997,0.0,"0,0%",0,"0,0%",710780.739,-15.83,-47.86
