UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoestuda,IgnoradoNaoestuda(%),Total,latitude,longitude
RO,Rondônia,48674.8,0.110998322213844,66265.4,0.151112037868245,8607.84,0.0196293728558764,20463.2,0.0466644108887213,3126.08,0.00712873263179825,4972.39,0.0113390696498577,103808.0,0.236724420693556,180375.0,0.411328292449525,1016.2,0.00231734891635319,1209.43,0.00275799183222303,0.0,"0,0%",0,"0,0%",438518.34,-10.83,-63.34
AC,Acre,16463.7,0.0717766698326463,20892.4,0.091084440120482,4698.28,0.0204830561988694,6136.83,0.0267546918814774,517.428,0.00225582698410239,497.349,0.00216828871788218,68616.0,0.299144662332092,110286.0,0.480813049871124,736.366,0.00321032934625791,529.621,0.00230898471506623,0.0,"0,0%",0,"0,0%",229373.974,-8.77,-70.55
AM,Amazonas,77746.1,0.0769459566939101,71883.8,0.0711439900109934,7367.76,0.00729193286725795,11085.2,0.0109711139098081,2952.94,0.00292254908425908,3390.45,0.00335555634138391,345837.0,0.34227773258275,470721.0,0.465876457866234,6762.92,0.00669331772840539,12651.6,0.0125213929149973,0.0,"0,0%",0,"0,0%",1010398.77,-3.47,-65.1
RR,Roraima,13582.1,0.0967060772714602,15048.4,0.107146297937126,2394.08,0.0170461184554713,5316.89,0.0378568538873852,133.107,0.000947736787932076,187.616,0.00133584698929932,36925.7,0.262915130760542,57362.9,0.408430289860555,4154.39,0.0295797233384956,5342.04,0.0380359247117332,0.0,"0,0%",0,"0,0%",140447.223,1.99,-61.33
PA,Pará,148023.0,0.0672843978307535,220977.0,0.10044590624056,65909.3,0.0299593141737871,95146.7,0.0432492816324717,5979.17,0.00271785366448259,4916.59,0.00223485402627095,656867.0,0.298581305269408,990968.0,0.4504481408264,4999.31,0.00227245470581777,6174.17,0.00280649163004873,0.0,"0,0%",0,"0,0%",2199960.24,-3.79,-52.48
AP,Amapá,18249.1,0.0752663282927098,17214.5,0.0709992387786166,6690.84,0.0275956052623962,11212.7,0.0462455002848177,965.169,0.00398072928593445,1256.75,0.00518332181213665,77232.8,0.318537861032336,108783.0,0.448663056844767,366.812,0.00151287419180702,488.675,0.00201548421447852,0.0,"0,0%",0,"0,0%",242460.346,1.41,-51.77
TO,Tocantins,32650.6,0.0896649472806711,38662.6,0.106175077662698,12282.7,0.0337307016705451,23761.6,0.0652540109922756,1180.66,0.00324232377525672,1084.65,0.00297866149681721,101536.0,0.278837757563114,151089.0,0.414920008198603,937.098,0.00257345478388827,955.16,0.00262305657613048,0.0,"0,0%",0,"0,0%",364140.068,-9.46,-48.26
MA,Maranhão,112244.0,0.0651034295617132,172662.0,0.100146897428678,76581.1,0.0444183408432389,125254.0,0.0726494508955741,3535.6,0.00205070814973088,7317.79,0.00424444269459756,440728.0,0.255629737926969,781632.0,0.453359857588655,1161.46,0.000673666559448588,2971.41,0.00172346835139491,0.0,"0,0%",0,"0,0%",1724087.36,-5.42,-45.44
PI,Piauí,56869.9,0.0764269518228672,61690.6,0.0829054475939604,22462.3,0.0301868848007609,32686.1,0.0439265585129817,1200.98,0.00161398631965639,1118.69,0.00150339752197073,241325.0,0.324314516970373,325965.0,0.43806145871438,0.0,0.0,789.348,0.00106079774304995,0.0,"0,0%",0,"0,0%",744107.918,-6.6,-42.28
CE,Ceará,218193.0,0.0986751981489697,314057.0,0.14202855593475,31504.9,0.0142477176177214,65469.3,0.0296077149595741,782.501,0.000353876802769873,8983.97,0.00406289395129266,529408.0,0.239418493268115,1034943.0,0.468040705237515,2037.83,0.000921584464414142,5844.84,0.00264325961487777,0.0,"0,0%",0,"0,0%",2211224.341,-5.2,-39.53
