UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),Total,latitude,longitude
AC, Acre,18995,0.0942310458926773,31904,0.15827045475967239,4798,0.023802082558202986,9785,0.04854176278282956,0.0,0.0,0,0.0,53850,0.26714092241751375,82247,0.40801373158910403,0.0,0.0,0.0,0.0,201579,-8.77,-70.55
AL, Alagoas,100179,0.11478939407828398,149090,0.17083371528096067,20623,0.0236307177559813,47141,0.05401617930149418,0.0,0.0,0,0.0,191518,0.21944953707947568,364169,0.4172804565038042,,0.0,0.0,0.0,872720,-9.62,-36.82
AP, Amapá,19988,0.09699899060486063,28257,0.13712730025623107,6202,0.030097445453839584,11259,0.054638364779874216,0.0,0.0,0,0.0,59035,0.286488663716127,81323,0.39464923518906747,,0.0,0.0,0.0,206064,1.41,-51.77
AM, Amazonas,91986,0.09123124391905764,119707,0.11872478981386986,19247,0.019089076073642755,24465,0.02426426176243934,0.0,0.0,4239,0.004204218500346632,289325,0.28695105393083026,420487,0.41703685410598124,19571.0,0.01941041761507052,19246.0,0.019088084278761804,1008273,-3.47,-65.1
BA, Bahia,272655,0.07175214660380277,420191,0.11057785932258163,246246,0.06480232929012862,531955,0.13998977882901803,0.0,0.0,9919,0.002610293382344427,855753,0.2252007654825477,1441890,0.3794491304636159,8185.0,0.0021539723091530535,13162.0,0.003463724316807879,3799956,-13.29,-41.71
CE, Ceará,303366,0.13229728097309146,462499,0.2016948509482731,22403,0.009769901655558525,51065,0.022269340179489183,0.0,0.0,9964,0.0043452796543313466,490280,0.21381008720650066,953486,0.4158132593827557,0.0,0.0,0.0,0.0,2293063,-5.2,-39.53
DF, Distrito Federal,126959,0.1778391310803504,162220,0.22723134117198815,22384,0.03135461928734917,27911,0.039096621646229575,3375.0,0.004727566122891506,5517,0.0077279947555533145,135848,0.1902904896777971,229684,0.32173223625784075,0.0,0.0,0.0,0.0,713898,-15.83,-47.86
ES, Espírito Santo,123692,0.12792900877047825,244229,0.2525949445639583,29474,0.030483617408571903,71057,0.07349102267085884,0.0,0.0,0,0.0,159999,0.16547968724143639,338429,0.35002171934469634,,0.0,0.0,0.0,966880,-19.19,-40.34
GO, Goiás,243685,0.15306298706641785,406395,0.255264101725001,29349,0.018434641473263833,78428,0.049262055315858665,0.0,0.0,0,0.0,283081,0.17780833223936077,551119,0.3461678821800978,0.0,0.0,0.0,0.0,1592057,-15.98,-49.86
MA, Maranhão,132623,0.07350751852611392,263777,0.14620083028028888,80879,0.04482793022985129,173424,0.09612184834359637,0.0,0.0,0,0.0,394950,0.21890467295935617,758557,0.42043719966079335,0.0,0.0,0.0,0.0,1804210,-5.42,-45.44
MT, Mato Grosso,124544,0.1494238117805146,177552,0.21302107391166114,27768,0.03331513686344849,55543,0.06663867209761307,0.0,0.0,5470,0.006562726830994787,161149,0.19334129178939286,281469,0.33769728672637506,0.0,0.0,0.0,0.0,833495,-12.64,-55.42
MS, Mato Grosso do Sul,115098,0.18270509837038823,206960,0.32852566646453935,16560,0.026287132956381774,38640,0.061336643564890804,0.0,0.0,0,0.0,82793,0.1314245530711181,164397,0.2609617026950661,0.0,0.0,5518.0,0.008759202877615618,629966,-20.51,-54.54
MG, Minas Gerais,808923,0.1613139504182597,1342565,0.26773186550919037,138696,0.027658503550042398,374496,0.0746813098104969,0.0,0.0,8844,0.0017636543620333316,733762,0.1463254807772842,1591349,0.31734391738663276,0.0,0.0,15953.0,0.00318131818606035,5014588,-18.1,-44.38
PA, Pará,179327,0.08124589697505406,278834,0.12632854192141854,51552,0.023356150946918126,95524,0.04327810682521352,3459.0,0.0015671346625812732,0,0.0,590772,0.2676551832559884,992295,0.44956920786530347,6094.0,0.0027609478559613414,9356.0,0.004238829691561258,2207213,-3.79,-52.48
PB, Paraiba,150066,0.1484106278568843,204488,0.20223230091558753,13759,0.013607225012213767,40642,0.04019367969666342,,0.0,0,0.0,208236,0.20593895687501607,387083,0.38281310265300833,0.0,0.0,6880.0,0.006804106990626551,1011154,-7.28,-36.72
PR, Paraná,703414,0.2587181385611453,1143976,0.42075838877051747,20897,0.007685989959699769,67543,0.02484255251222671,9056.0,0.0033308285914265736,10378,0.003817064832356999,230167,0.08465623060985868,533412,0.1961908061627685,0.0,0.0,0.0,0.0,2718843,-24.89,-51.55
PE, Pernambuco,285955,0.12102020001100357,501249,0.2121356655253992,52313,0.022139601416920947,129176,0.05466911002298053,0.0,0.0,7915,0.003349739934909665,449204,0.19010948549856743,919558,0.38916995010305266,10509.0,0.004447557419578732,6991.0,0.0029586900675872985,2362870,-8.38,-37.86
PI, Piauí,84952,0.10626411922315815,117016,0.14637209453593883,29255,0.03659427450646826,35439,0.04432966994478649,0.0,0.0,0,0.0,213783,0.26741527215232624,318997,0.399024569637322,0.0,0.0,,0.0,799442,-6.6,-42.28
RJ, Rio de Janeiro,720759,0.1955773877102685,1011226,0.27439537968267336,168352,0.04568218277648857,335173,0.09094892990724199,0.0,0.0,0,0.0,512797,0.13914706259049497,936981,0.2542490573328326,0.0,0.0,0.0,0.0,3685288,-22.25,-42.66
RN, Rio Grande do Norte,137852,0.15882097443347762,239101,0.2754711850971979,12809,0.014757405489353908,38429,0.044274520692511615,,0.0,0,0.0,151267,0.17427655993114977,288513,0.33239935435630913,,0.0,,0.0,867971,-5.81,-36.59
RS, Rio Grande do Sul,747545,0.29117434548142146,1308078,0.5095061240308568,44571,0.017360736480683352,112111,0.04366806954265983,,0.0,0,0.0,113870,0.04435321314431835,233923,0.09111475084182297,0.0,0.0,7247.0,0.002822760478237245,2567345,-30.17,-53.5
RO, Rondônia,61934,0.13587708886836372,98351,0.21577239589389416,9665,0.021204056962455767,27992,0.06141168779028058,0.0,0.0,2971,0.006518081038329651,87694,0.19239198874967367,167202,0.36682470069700246,0.0,0.0,0.0,0.0,455809,-10.83,-63.34
RR, Roraima,17174,0.12642908148617113,15107,0.11121253837263231,4639,0.03415072254654407,7045,0.0518628670705762,0.0,0.0,1891,0.013920891643784185,35891,0.26421719830092977,47737,0.3514233762027106,2744.0,0.02020038427844728,3611.0,0.026582940098204492,135839,1.99,-61.33
SC, Santa Catarina,493487,0.29727040150934214,903198,0.544075187598528,14630,0.008812929163446403,39909,0.024040682842377478,0.0,0.0,0,0.0,54535,0.03285120245581337,154302,0.09294959643049261,0.0,0.0,0.0,0.0,1660061,-27.45,-50.95
SP, São Paulo,2118248,0.20187895085556917,4315183,0.41125714117978046,158679,0.015122851546566249,545885,0.052025396029073266,36304.0,0.00345994115507749,46793,0.004459591958724686,906099,0.08635547655009253,2353160,0.22426716418251838,0.0,0.0,12313.0,0.0011734865425977617,10492664,-22.19,-48.79
SE, Sergipe,54392,0.0923698734822111,80675,0.137004330474654,16795,0.028521694828903797,29938,0.050841470663157,,0.0,0,0.0,132890,0.22567716736010868,273430,0.46434575868217715,730.0,0.0012397045087883163,0.0,0.0,588850,-10.57,-37.45
TO, Tocantins,35528,0.0932124013842283,56356,0.14785741084242204,14211,0.037284435827270555,22789,0.05978995201376882,0.0,0.0,0,0.0,93595,0.24555884675627246,156816,0.411427491991363,1856.0,0.00486946118467484,0.0,0.0,381151,-9.46,-48.26
