UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),Total,latitude,longitude
AC, Acre,19331,0.0887679662028746,26833,0.12321715571474491,5053,0.023203379712540755,10626,0.04879459980713597,0.0,0.0,0,0.0,57499,0.26403545024567204,92854,0.4263856362217018,5574.0,0.025595812095329934,0.0,0.0,217770,-8.77,-70.55
AL, Alagoas,95037,0.11262189536403594,128932,0.15278855827810095,19980,0.023676941289954838,47226,0.055964325793764126,0.0,0.0,0,0.0,184628,0.2187901059300191,368056,0.43615817334412504,,0.0,0.0,0.0,843859,-9.62,-36.82
AP, Amapá,20981,0.09764417885997245,29927,0.13927826799210694,9209,0.04285807364384377,11257,0.05238932946126066,,0.0,0,0.0,54475,0.25352302766298074,89023,0.4143071223798354,,0.0,,0.0,214872,1.41,-51.77
AM, Amazonas,100999,0.0967400205933766,124467,0.11921840952084481,12913,0.012368477766337012,27010,0.0258710279926247,0.0,0.0,0,0.0,289782,0.2775623189099878,456263,0.4370230597926295,19677.0,0.018847249826393048,12914.0,0.012369435597806566,1044025,-3.47,-65.1
BA, Bahia,259945,0.07077223398983931,417131,0.1135674574868363,229390,0.06245337573305599,450823,0.12274039063648591,4785.0,0.001302756889501168,4263,0.0011606379561010405,838695,0.22834183687360127,1457442,0.3968009627060316,0.0,0.0,10506.0,0.002860347728547392,3672980,-13.29,-41.71
CE, Ceará,264935,0.11316625895460834,434266,0.18549553139895425,29611,0.012648257474115944,54370,0.023223996449551986,0.0,0.0,0,0.0,517520,0.2210572492656271,1036256,0.4426339095976999,0.0,0.0,4155.0,0.001774796859442496,2341113,-5.2,-39.53
DF, Distrito Federal,138235,0.19752823567068292,161272,0.23044651226594115,22144,0.03164224147785729,35001,0.05001400352088525,0.0,0.0,0,0.0,139416,0.19921580283042595,203756,0.2911532042342075,0.0,0.0,0.0,0.0,699824,-15.83,-47.86
ES, Espírito Santo,133695,0.14148053220680845,213109,0.22551909000382023,17707,0.01873814117046978,77701,0.08222580375482422,,0.0,0,0.0,162261,0.17171003131313026,340498,0.3603264015509471,,0.0,0.0,0.0,944971,-19.19,-40.34
GO, Goiás,248703,0.15421557800380356,367840,0.2280899635827437,24610,0.015260151162927692,72945,0.04523168332302968,4834.0,0.002997463255651868,5715,0.003543753104271912,323409,0.20053922094479001,564641,0.3501221866227816,0.0,0.0,0.0,0.0,1612697,-15.98,-49.86
MA, Maranhão,130617,0.07322508344666981,203259,0.11394885226491697,72643,0.04072432942738262,134289,0.07528364019208711,0.0,0.0,0,0.0,472528,0.2649035135616956,770438,0.4319145811072479,0.0,0.0,0.0,0.0,1783774,-5.42,-45.44
