UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),Total,latitude,longitude
AC, Acre,18395,0.08164524375954266,26459,0.11743688527500622,6657,0.0295467457302134,10335,0.045871356034513366,0.0,0.0,0.0,0.0,65357,0.2900836203529453,88287,0.3918572240173277,6483.0,0.02877445584632319,3331.0,0.01478446898412811,225304,-8.77,-70.55
AL, Alagoas,81802,0.10046608738370844,126477,0.15533421351592006,28313,0.034772943596671685,57892,0.07110073996745371,0.0,0.0,0.0,0.0,195681,0.24032791918695692,324060,0.3979980963492892,,0.0,0.0,0.0,814225,-9.62,-36.82
AP, Amapá,20237,0.09638778018042048,30477,0.14516036846166303,4988,0.023757584994808387,9464,0.045076540575554644,,0.0,,0.0,57555,0.2741314764186441,87233,0.4154862493689094,,0.0,,0.0,209954,1.41,-51.77
AM, Amazonas,90168,0.0841048792545402,116849,0.10899178240632783,18225,0.016999505638519156,24741,0.023077353580389707,0.0,0.0,0.0,0.0,300731,0.2805090990495201,493064,0.4599091494184257,15618.0,0.014567806807264315,12694.0,0.011840423845013012,1072090,-3.47,-65.1
BA, Bahia,240289,0.06637285963279185,396352,0.10948073220653594,290240,0.0801703730916584,512848,0.1416593698294888,0.0,0.0,0.0,0.0,835950,0.23090691629676074,1325803,0.36621458501943216,8509.0,0.002350364197343307,10299.0,0.002844799725988802,3620290,-13.29,-41.71
CE, Ceará,232178,0.10152955962081545,381382,0.16677526082275598,25610,0.011199045654149331,70990,0.03104335224475053,0.0,0.0,0.0,0.0,521365,0.22798869338053754,1049134,0.458777804112468,0.0,0.0,6143.0,0.0026862841645232077,2286802,-5.2,-39.53
DF, Distrito Federal,141167,0.19515590546826939,139216,0.19245875123556208,40244,0.05563519986728508,44134,0.06101291896786502,0.0,0.0,0.0,0.0,158038,0.21847916997877945,200556,0.277258054482239,,0.0,0.0,0.0,723355,-15.83,-47.86
ES, Espírito Santo,120534,0.13958255165992692,210489,0.24375356095662928,32983,0.03819545772478611,78549,0.09096246578007532,0.0,0.0,,0.0,157720,0.18264522912874104,263257,0.3048607347498413,,0.0,0.0,0.0,863532,-19.19,-40.34
GO, Goiás,235557,0.15036231421502416,340009,0.2170368110221142,40236,0.025683711690825204,82734,0.05281131829776151,0.0,0.0,5879.0,0.003752722463226001,316480,0.20201762292256586,545701,0.34833549938848307,0.0,0.0,0.0,0.0,1566596,-15.98,-49.86
MA, Maranhão,122511,0.06874591770084912,193917,0.10881473600571016,69898,0.03922261801351676,132295,0.07423611906060545,0.0,0.0,,0.0,433683,0.24335721548479197,829780,0.46562339373452655,0.0,0.0,0.0,0.0,1782084,-5.42,-45.44
