UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),IgnoradoEstuda,IgnoradoEstuda(%),IgnoradoNaoestuda,IgnoradoNaoestuda(%),Total,latitude,longitude
SE,Sergipe,41655.7,0.0759436287619561,58822.0,0.107239972705675,21366.1,0.0389531124549781,32050.5,0.0584321299038325,512.727,0.000934766405179399,1068.71,0.00194839398915851,149824.0,0.273148170253562,242792.0,0.442640635360175,302.506,0.000551506837293919,113.916,0.000207683328189107,0,"0,0%",0.0,"0,0%",548508.159,-10.57,-37.45
BA,Bahia,196433.0,0.0586921082075534,302346.0,0.0903377953201394,312939.0,0.0935028719734645,456369.0,0.136358242915258,4382.65,0.00130948958696265,11637.8,0.00347725187161966,849889.0,0.25393786763125,1192939.0,0.356437588760598,8385.92,0.00250562443204495,10741.4,0.00320941700783786,0,"0,0%",775.604,"0,0%",3346838.374,-13.29,-41.71
MG,Minas Gerais,668384.0,0.148235384609826,929652.0,0.206179863331998,167008.0,0.0370393293569533,411080.0,0.0911700488123705,3092.27,0.000685809104896928,8800.14,0.00195171059977546,838537.0,0.185972217624255,1478327.0,0.327865974386118,0.0,0.0,4056.52,0.000899662173806454,0,"0,0%",0.0,"0,0%",4508936.93,-18.1,-44.38
ES,Espírito Santo,107135.0,0.126856233441671,160662.0,0.190236394989553,35460.0,0.0419874180971825,70037.3,0.0829296502396447,1720.93,0.00203771594545923,1241.26,0.00146974908593651,172066.0,0.20373962443062,293842.0,0.347931948914616,745.712,0.000882981430459282,1628.51,0.00192828342485738,0,"0,0%",0.0,"0,0%",844538.712,-19.19,-40.34
RJ,Rio de Janeiro,678073.0,0.194374235346573,801554.0,0.229770903485299,171787.0,0.049243911448298,301698.0,0.0864837828015427,3199.76,0.000917232957649915,8502.54,0.0024373108957349,562084.0,0.1611251999424,956536.0,0.274197547434376,1881.31,0.000539290301633986,3176.57,0.000910585386492109,0,"0,0%",0.0,"0,0%",3488492.18,-22.25,-42.66
SP,São Paulo,2006734.0,0.205767258127747,3309805.0,0.33938205052962,199843.0,0.0204915779400874,557078.0,0.0571218769519472,32129.6,0.00329451720892816,45130.7,0.00462762897144609,1083193.0,0.111068857971793,2512248.0,0.257601845933201,3054.78,0.000313232199575767,2744.65,0.000281431971063589,0,"0,0%",484.913,"0,0%",9752445.643,-22.19,-48.79
PR,Paraná,606280.0,0.250542275796059,855591.0,0.353568839959468,25240.7,0.0104305971179745,68338.2,0.0282404304146702,7187.63,0.00297025331163824,9410.25,0.00388874026985859,275702.0,0.113932517189294,565683.0,0.233765762022733,2835.49,0.00117175251962289,3602.78,0.00148883139868135,0,"0,0%",0.0,"0,0%",2419871.05,-24.89,-51.55
SC,Santa Catarina,461816.0,0.311528855468507,701490.0,0.47320659488325,17446.4,0.0117688798656733,38652.1,0.0260736840526406,2385.95,0.00160949874561532,4539.57,0.00306227381991782,91976.1,0.0620446436750934,161392.0,0.108870773298832,357.435,0.000241116194446242,1800.59,0.00121463037631446,0,"0,0%",561.91,"0,0%",1482418.055,-27.45,-50.95
RS,Rio Grande do Sul,722664.0,0.30714238692244,1078316.0,0.45829950031641,62973.2,0.0267644976920729,107470.0,0.0456762649344019,627.311,0.000266616017793474,508.086,0.000215943712156514,118652.0,0.050428772559753,240648.0,0.10227879225769,3534.84,0.0015023568283309,17469.7,0.00742486875895153,0,"0,0%",0.0,"0,0%",2352863.137,-30.17,-53.5
MS,Mato Grosso do Sul,97857.1,0.165635788321535,136539.0,0.231109903130524,10696.0,0.0181043622985673,25036.4,0.0423773425815119,2185.41,0.00369908885666717,995.342,0.00168474496811711,107908.0,0.182648235500543,205559.0,0.347935172936724,889.706,0.0015059423862387,3130.88,0.00529941901957167,0,"0,0%",0.0,"0,0%",590796.838,-20.51,-54.54
MT,Mato Grosso,87864.3,0.117177297832243,113247.0,0.151028090448659,30609.5,0.0408213403850717,51613.2,0.0688322254712682,1056.84,0.00140941947344972,2231.69,0.0029762190536912,178355.0,0.237857206565918,281671.0,0.375641149564793,1243.79,0.00165873911555394,1948.32,0.00259831208935275,0,"0,0%",0.0,"0,0%",749840.64,-12.64,-55.42
GO,Goiás,213850.0,0.139691565230721,259934.0,0.169794656612964,44168.4,0.0288517789559813,90513.6,0.0591254919741287,400.354,0.00026152011646659,1022.59,0.000667978478790196,362172.0,0.236578786826003,552906.0,0.361170467923579,3371.39,0.0022022667575553,2185.75,0.00142778040076245,0,"0,0%",348.59,"0,0%",1530872.674,-15.98,-49.86
DF,Distrito Federal,116379.0,0.161840077922871,131841.0,0.183341992227371,32032.1,0.0445447852278606,49794.9,0.0692462600311186,795.206,0.00110583697234668,1721.4,0.00239382972990342,163026.0,0.226708775152338,220458.0,0.306575412219732,715.718,0.000995298609635769,2335.44,0.0032477319068233,0,"0,0%",0.0,"0,0%",719098.764,-15.83,-47.86
