UF,Nome,BrancaEstuda,BrancaEstuda(%),BrancaNaoEstuda,BrancaNaoEstuda(%),PretaEstuda,PretaEstuda(%),PretaNaoEstuda,PretaNaoEstuda(%),AmarelaEstuda,AmarelaEstuda(%),AmarelaNaoEstuda,AmarelaNaoEstuda(%),PardaEstuda,PardaEstuda(%),PardaNaoEstuda,PardaNaoEstuda(%),IndigenaEstuda,IndigenaEstuda(%),IndigenaNaoEstuda,IndigenaNaoEstuda(%),Total,latitude,longitude
AC, Acre,22510,0.10492998452387611,26207,0.1221634875351942,3864,0.018011970688594284,11088,0.05168652458466186,0.0,0.0,0.0,0.0,54932,0.25606458950979843,91555,0.42678208498815984,0.0,0.0,4368.0,0.020361358169715276,214524,-8.77,-70.55
AL, Alagoas,91534,0.10131808481435238,155565,0.17219336928512605,15559,0.01722210415393743,47269,0.05232159144241072,,0.0,0.0,0.0,211189,0.23376302809730007,382316,0.42318182220687334,,0.0,0.0,0.0,903432,-9.62,-36.82
AP, Amapá,27355,0.1270794717061772,32260,0.14986597540637092,6973,0.03239353522965358,10067,0.04676691799181451,,0.0,,0.0,52655,0.24461230424744146,85949,0.3992817954185423,0.0,0.0,0.0,0.0,215259,1.41,-51.77
AM, Amazonas,99700,0.09296297332326312,127894,0.11925182056374538,15995,0.014914170093335944,29481,0.027488880807854766,0.0,0.0,0.0,0.0,301250,0.2808936380504816,472451,0.4405260753214542,10966.0,0.010224994638544668,14733.0,0.013737447201320316,1072470,-3.47,-65.1
BA, Bahia,274753,0.07407841792335725,426550,0.11500565659049412,294540,0.07941335386745783,496900,0.13397329916731104,0.0,0.0,0.0,0.0,821289,0.22143448762290546,1383833,0.37310660597021045,0.0,0.0,11083.0,0.0029881788582638525,3708948,-13.29,-41.71
CE, Ceará,259213,0.11291446722464757,422052,0.1838479425071156,32985,0.014368429443758608,59667,0.02599124085556298,0.0,0.0,0.0,0.0,496894,0.21644948855622223,1024847,0.446428431412693,0.0,0.0,0.0,0.0,2295658,-5.2,-39.53
DF, Distrito Federal,120158,0.17013136693540395,144240,0.20422900153766427,30190,0.04274593425140103,51232,0.07253924158886312,0.0,0.0,0.0,0.0,148198,0.20983312236466148,212248,0.30052133332200615,0.0,0.0,0.0,0.0,706266,-15.83,-47.86
ES, Espírito Santo,118722,0.13134228625985023,210995,0.2334240131517082,38200,0.04226070429344417,69942,0.07737691569874534,,0.0,,0.0,166918,0.18466157694379878,299136,0.3309345036524533,0.0,0.0,,0.0,903913,-19.19,-40.34
GO, Goiás,239719,0.1498966064272221,336860,0.2106390016689292,40991,0.025631726288105082,81548,0.050992071804600844,0.0,0.0,5793.0,0.003622370529799047,294091,0.18389548963906982,600227,0.37532273364227386,,0.0,0.0,0.0,1599229,-15.98,-49.86
MA, Maranhão,133391,0.07451569907033438,206993,0.11563170002223332,80497,0.04496772816805262,128802,0.07195216372661731,,0.0,,0.0,436224,0.24368612808403525,804199,0.4492465809287271,0.0,0.0,0.0,0.0,1790106,-5.42,-45.44
MT, Mato Grosso,85252,0.10886560234148135,161082,0.20569944348954275,18414,0.023514418447849173,50545,0.06454525254950236,0.0,0.0,0.0,0.0,146504,0.18708354297185267,321297,0.41029174019977166,0.0,0.0,0.0,0.0,783094,-12.64,-55.42
MS, Mato Grosso do Sul,97345,0.15832600079045084,174896,0.2844582077584538,14747,0.023985140825484395,27386,0.04454174182184279,0.0,0.0,0.0,0.0,86807,0.14118655452890919,208601,0.33927743685745376,0.0,0.0,5057.0,0.008224917417405208,614839,-20.51,-54.54
MG, Minas Gerais,763902,0.15424112515163604,1236830,0.24973105296399017,159017,0.03210747058947052,348627,0.07039204078303163,0.0,0.0,6976.0,0.0014085394318352526,809735,0.1634953665190823,1608604,0.3247967551903547,0.0,0.0,18957.0,0.003827649370599324,4952648,-18.1,-44.38
PA, Pará,171203,0.07979126002732989,246932,0.11508569021026865,66764,0.031116181868686022,104310,0.04861495612489723,0.0,0.0,3402.0,0.0015855438667136458,557782,0.2599611490485805,971764,0.452902542649359,12968.0,0.006043895609506925,10511.0,0.0048987805946581805,2145636,-3.79,-52.48
PB, Paraiba,131420,0.1350049206632931,204272,0.20984420296554715,18682,0.0191916141213791,51694,0.05310412698804043,0.0,0.0,,0.0,184974,0.19001978538100728,382404,0.392835349880733,0.0,0.0,0.0,0.0,973446,-7.28,-36.72
PR, Paraná,618782,0.23799179542879384,1066331,0.41012509932638824,19636,0.007552267026254474,67165,0.02583255320932887,9059.0,0.0034842120080891873,16023.0,0.0061626591241431775,233733,0.08989682363248813,562656,0.21640498858852297,0.0,0.0,6629.0,0.002549601655991083,2600014,-24.89,-51.55
PE, Pernambuco,263321,0.11610662438423862,472665,0.20841306851552344,51507,0.022711078501748735,109717,0.048377723415775835,0.0,0.0,4255.0,0.0018761651625010362,437869,0.19307040271190745,919750,0.4055470994618867,0.0,0.0,8840.0,0.003897837846418134,2267924,-8.38,-37.86
PI, Piauí,82403,0.10041394874444484,105380,0.12841306649866627,21301,0.025956791891137695,45401,0.055324365459346624,,0.0,,0.0,215249,0.2622963005387305,350899,0.4275955268676741,0.0,0.0,0.0,0.0,820633,-6.6,-42.28
RJ, Rio de Janeiro,666873,0.1831082210929771,937481,0.25741104860815367,176810,0.04854802124459872,362554,0.09954911653364767,0.0,0.0,7129.0,0.0019574619277910993,515411,0.14152018651490228,975703,0.26790594407792945,0.0,0.0,0.0,0.0,3641961,-22.25,-42.66
RN, Rio Grande do Norte,140334,0.15395231377160898,238172,0.2612847241268093,12821,0.014065177468509405,36431,0.03996634274668638,,0.0,,0.0,155180,0.17023900160387562,328604,0.3604924402825103,0.0,0.0,0.0,0.0,911542,-5.81,-36.59
RS, Rio Grande do Sul,735036,0.29932904709701696,1160373,0.4725392285100415,64994,0.02646753640233066,127573,0.05195161124803104,0.0,0.0,0.0,0.0,115387,0.04698910088401588,243850,0.0993031472398734,0.0,0.0,8399.0,0.0034203286186905747,2455612,-30.17,-53.5
RO, Rondônia,46594,0.10363457214095227,85388,0.18992035124633283,9320,0.02072958347327285,20149,0.044815491137658224,0.0,0.0,0.0,0.0,96213,0.2139973620937769,191935,0.4269026399080069,0.0,0.0,0.0,0.0,449599,-10.83,-63.34
RR, Roraima,12926,0.09114434596210663,19197,0.13536268059991963,3041,0.021442825009342893,6465,0.0455862754637954,,0.0,,0.0,34415,0.24266847178445766,58554,0.41287838724007364,3040.0,0.02143577376797185,4181.0,0.029481240172332338,141819,1.99,-61.33
SC, Santa Catarina,456960,0.2997296293915546,787314,0.5164157331818593,13215,0.008667995125195628,25041,0.016424916074916664,0.0,0.0,0.0,0.0,75812,0.049726677747357624,166232,0.10903504847911613,,0.0,0.0,0.0,1524574,-27.45,-50.95
SP, São Paulo,2258110,0.22120955371040377,3656687,0.35821731418249564,206422,0.020221565156705815,512962,0.05025091562873205,39794.0,0.003898310082481282,43733.0,0.004284183415518769,1018915,0.09981521379332099,2455306,0.24052731907766967,0.0,0.0,16084.0,0.0015756249526719843,10208013,-22.19,-48.79
SE, Sergipe,55668,0.09784872714744981,76619,0.13467470764731007,16984,0.029853107384355242,35410,0.062240846236458966,0.0,0.0,0.0,0.0,137719,0.24207136692569592,246519,0.43331124465873,,0.0,0.0,0.0,568919,-10.57,-37.45
TO, Tocantins,28567,0.07744189892188037,41589,0.11274306487422842,9951,0.026976033051130034,25255,0.06846344233808552,0.0,0.0,0.0,0.0,93619,0.2537904972579382,169902,0.4605850635567375,0.0,0.0,0.0,0.0,368883,-9.46,-48.26
