nome,latitude,longitude,cep,estado,uf
Acre,"-9,1162049","-72,5527041",0,Brasil,AC
Alagoas,"-9,6539251","-37,8112307",0,Brasil,AL
Amapá,"1,6077628","-54,6214976",0,Brasil,AM
Amazonas,"-3,7630803","-69,4494841",0,Brasil,AM
Bahia,"-13,3837651","-46,4815185",0,Brasil,BA
Brasil,"-13,495277","-71,5770628",0,Brasil,BR
Centro-Oeste,"-15,7797168","-47,9327447",0,Brasil,BR
Nordeste,"-5,9034092","-37,8969041",0,Brasil,BR
Norte,"-3,1291616","-60,0235777",0,Brasil,BR
Sudeste,"-23,5499951","-46,6355217",0,Brasil,BR
Sul,"-25,4333281","-49,2688557",0,Brasil,BR
Tocantins,"-9,2789605","-52,7184681",0,Brasil,BR
Ceará,"-5,3117708","-41,5832484",0,Brasil,CE
Distrito Federal,"-15,721387","-48,0783239",0,Brasil,DF
Goiás,"-16,321496","-51,2835969",0,Brasil,GO
Maranhão,"-5,6275974","-49,7753053",0,Brasil,MA
Minas Gerais,"-18,514223","-49,9491589",0,Brasil,MG
Mato Grosso do Sul,"-20,5429144","-59,042192",0,Brasil,MS
Pará,"-3,6029247","-56,9812396",0,Brasil,PA
Paraíba,"-7,1603505","-37,9008342",0,Brasil,PB
Pernambuco,"-8,3661471","-40,3275292",0,Brasil,PE
Piauí,"-6,8068674","-47,682082",0,Brasil,PI
Paraná,"-24,595334","-53,5669778",0,Brasil,PR
Rio Grande do Norte,"-5,9034092","-37,8969041",0,Brasil,RN
Rondônia,"-9,1162049","-72,5527041",0,Brasil,RO
Roraima,"1,8496842","-64,1010946",0,Brasil,RR
Rio Grande do Sul,"-30,3298571","-58,1647389",0,Brasil,RS
Santa Catarina,"-27,630758","-53,3407703",0,Brasil,SC
Sergipe,"-10,5396171","-38,4442137",0,Brasil,SE
Acrelândia,"-9,9805","-66,8439",69945-000,Acre,AC
Assis Brasil,"-10,8833","-70,0131",69935-000,Acre,AC
Brasiléia,"-10,7677","-69,0114",69932-000,Acre,AC
Bujari,"-9,5786","-68,172",69923-000,Acre,AC
Capixaba,"-10,4878","-67,8483",69922-000,Acre,AC
Cruzeiro do Sul,"-7,63083","-72,67",69922-000,Acre,AC
Epitaciolândia,"-10,9354","-68,4441",69934-000,Acre,AC
Feijó,"-8,905","-70,9149",69960-000,Acre,AC
Jordão,"-9,0917","-71,8407",69975-000,Acre,AC
Mâncio Lima,"-7,5396","-73,4583",69990-000,Acre,AC
Manoel Urbano,"-9,4895","-70,0124",69950-000,Acre,AC
Marechal Thaumaturgo,"-9,1899","-72,5685",69983-000,Acre,AC
Plácido de Castro,"-10,2943","-67,2682",69928-000,Acre,AC
Porto Acre,"-9,6504","-67,7773",69921-000,Acre,AC
Porto Walter,"-8,5247","-72,8207",69982-000,Acre,AC
Rio Branco,"-9,9916","-67,81",69982-000,Acre,AC
Rodrigues Alves,"-7,8529","-73,2361",69985-000,Acre,AC
Santa Rosa do Purus,"-9,4773","-70,3903",69955-000,Acre,AC
Sena Madureira,"-10,0357","-69,5497",69940-000,Acre,AC
Senador Guiomard,"-9,9408","-67,3931",69925-000,Acre,AC
Tarauacá,"-8,6552","-71,4234",69970-000,Acre,AC
Xapuri,"-10,5966","-68,6489",69930-000,Acre,AC
Água Branca,"-9,2620679","-37,9443897",57660-000,Alagoas,AL
Anadia,"-9,6749","-36,3379",57660-000,Alagoas,AL
Arapiraca,"-9,7438","-36,5931",57300-000,Alagoas,AL
Atalaia,"-9,501944","-36,022778",57300-000,Alagoas,AL
Barra de Santo Antônio,"-9,3975","-35,5654",57925-000,Alagoas,AL
Barra de São Miguel,"-9,84","-35,907778",57925-000,Alagoas,AL
Batalha,"-9,677778","-37,124722",57925-000,Alagoas,AL
Belém,"-9,571111","-36,492222",57925-000,Alagoas,AL
Belo Monte,"-9,8052","-37,1916",57435-000,Alagoas,AL
Boca da Mata,"-9,6465","-36,1413",57680-000,Alagoas,AL
Branquinha,"-9,2117","-36,0896",57830-000,Alagoas,AL
Cacimbinhas,"-9,449","-36,9047",57570-000,Alagoas,AL
Cajueiro,"-9,3763","-36,1577",57770-000,Alagoas,AL
Campestre,"-8,845833","-35,567778",57770-000,Alagoas,AL
Campo Alegre,"-9,931944","-38,384167",57770-000,Alagoas,AL
Campo Grande,"-9,957778","-36,791944",57770-000,Alagoas,AL
Canapi,"-9,1733","-37,5199",57530-000,Alagoas,AL
Capela,"-9,4075","-36,073611",57530-000,Alagoas,AL
Carneiros,"-9,4647","-37,3556",57535-000,Alagoas,AL
Chã Preta,"-9,2292","-36,3305",57760-000,Alagoas,AL
Coité do Nóia,"-9,6262","-36,6004",57325-000,Alagoas,AL
Colônia Leopoldina,"-8,8921","-35,7423",57975-000,Alagoas,AL
Coqueiro Seco,"-9,6466","-35,8094",57140-000,Alagoas,AL
Coruripe,"-10,1222506","-36,1798543",57140-000,Alagoas,AL
Craíbas,"-9,6011","-36,8027",57320-000,Alagoas,AL
Delmiro Gouveia,"-9,4445","-38,0248",57480-000,Alagoas,AL
Dois Riachos,"-9,3582","-37,0657",57560-000,Alagoas,AL
Estrela de Alagoas,"-9,3986","-36,7622",57625-000,Alagoas,AL
Feira Grande,"-9,9247","-36,6695",57340-000,Alagoas,AL
Feliz Deserto,"-10,2908","-36,3537",57220-000,Alagoas,AL
Flexeiras,"-9,2006","-35,78",57995-000,Alagoas,AL
Girau do Ponciano,"-9,7838","-36,842",57360-000,Alagoas,AL
Ibateguara,"-8,8969","-35,9096",57890-000,Alagoas,AL
Igaci,"-9,58","-36,6742",57620-000,Alagoas,AL
Igreja Nova,"-10,1666","-36,6172",57280-000,Alagoas,AL
Inhapi,"-9,2773","-37,6362",57545-000,Alagoas,AL
Jacaré dos Homens,"-9,6728","-37,2228",57430-000,Alagoas,AL
Jacuípe,"-8,8772","-35,4588",57960-000,Alagoas,AL
Japaratinga,"-9,254444","-35,257778",57960-000,Alagoas,AL
Jaramataia,"-9,6505","-36,9604",57425-000,Alagoas,AL
Jequiá da Praia,"-10,003889","-36,023889",57425-000,Alagoas,AL
Joaquim Gomes,"-9,1035","-35,7374",57980-000,Alagoas,AL
Jundiá,"-8,9406","-35,4996",57965-000,Alagoas,AL
Junqueiro,"-9,8852","-36,4564",57270-000,Alagoas,AL
Lagoa da Canoa,"-9,8072","-36,7481",57330-000,Alagoas,AL
Limoeiro de Anadia,"-9,7268","-36,4541",57260-000,Alagoas,AL
Maceió,"-9,5713","-35,6899",57000-000,Alagoas,AL
Major Isidoro,"-9,5168","-36,9649",57580-000,Alagoas,AL
Mar Vermelho,"-9,4925","-36,3504",57730-000,Alagoas,AL
Maragogi,"-8,9586","-35,276",57955-000,Alagoas,AL
Maravilha,"-9,235833","-37,35",57955-000,Alagoas,AL
Marechal Deodoro,"-9,709","-35,9031",57160-000,Alagoas,AL
Maribondo,"-9,5509","-36,3403",57670-000,Alagoas,AL
Mata Grande,"-8,9854","-37,7615",57540-000,Alagoas,AL
Matriz de Camaragibe,"-9,1383","-35,5761",57910-000,Alagoas,AL
Messias,"-9,3211","-35,8222",57990-000,Alagoas,AL
Minador do Negrão,"-9,3186","-36,8863",57615-000,Alagoas,AL
Monteirópolis,"-9,6202","-37,2935",57440-000,Alagoas,AL
Murici,"-9,2983","-35,9",57820-000,Alagoas,AL
Novo Lino,"-8,8809","-35,6195",57970-000,Alagoas,AL
Olho d Água das Flores,"-9,535833","-37,293889",57970-000,Alagoas,AL
Olho d Água do Casado,"-9,536111","-37,293889",57970-000,Alagoas,AL
Olho d Água Grande,"-10,144167","-36,817778",57970-000,Alagoas,AL
Olivença,"-9,4695","-37,1668",57550-000,Alagoas,AL
Ouro Branco,"-9,166667","-37,356667",57550-000,Alagoas,AL
Palestina,"-9,671944","-37,329167",57550-000,Alagoas,AL
Palmeira dos Índios,"-9,409","-36,6065",57600-000,Alagoas,AL
Pão de Açúcar,"-9,6835","-37,4543",57400-000,Alagoas,AL
Pariconha,"-9,2204","-38,0167",57475-000,Alagoas,AL
Paripueira,"-9,4294","-35,5898",57935-000,Alagoas,AL
Passo de Camaragibe,"-9,2987","-35,4279",57930-000,Alagoas,AL
Paulo Jacinto,"-9,3684","-36,3929",57740-000,Alagoas,AL
Penedo,"-10,2445","-36,4699",57200-000,Alagoas,AL
Piaçabuçu,"-10,3739","-36,419",57210-000,Alagoas,AL
Pilar,"-9,597222","-35,956667",57210-000,Alagoas,AL
Pindoba,"-9,4749","-36,3034",57720-000,Alagoas,AL
Piranhas,"-9,623889","-37,756944",57720-000,Alagoas,AL
Poço das Trincheiras,"-9,2926","-37,3199",57510-000,Alagoas,AL
Porto Calvo,"-9,0706","-35,3734",57900-000,Alagoas,AL
Porto de Pedras,"-9,1156","-35,3916",57945-000,Alagoas,AL
Porto Real do Colégio,"-10,1054","-36,7269",57290-000,Alagoas,AL
Quebrangulo,"-9,2923","-36,4979",57750-000,Alagoas,AL
Rio Largo,"-9,5139","-35,9106",57100-000,Alagoas,AL
Roteiro,"-9,8591","-35,9831",57246-000,Alagoas,AL
Santa Luzia do Norte,"-9,6108","-35,8292",57130-000,Alagoas,AL
Santana do Ipanema,"-9,3443","-37,194",57500-000,Alagoas,AL
Santana do Mundaú,"-9,1243","-36,2267",57840-000,Alagoas,AL
São Brás,"-10,1241","-36,8504",57380-000,Alagoas,AL
São José da Laje,"-8,975","-36,0339",57860-000,Alagoas,AL
São José da Tapera,"-9,5134","-37,6088",57445-000,Alagoas,AL
São Luís do Quitunde,"-9,2628","-35,5719",57920-000,Alagoas,AL
São Miguel dos Campos,"-9,8288","-36,1138",57240-000,Alagoas,AL
São Miguel dos Milagres,"-9,2542","-35,3842",57940-000,Alagoas,AL
São Sebastião,"-9,933889","-36,553889",57940-000,Alagoas,AL
Satuba,"-9,5853","-35,8456",57120-000,Alagoas,AL
Senador Rui Palmeira,"-9,3383","-37,5597",57515-000,Alagoas,AL
Tanque d Arca,"-9,531944","-36,432778",57515-000,Alagoas,AL
Taquarana,"-9,5977","-36,4878",57640-000,Alagoas,AL
Teotônio Vilela,"-9,9901","-36,4327",57265-000,Alagoas,AL
Traipu,"-9,8924","-36,9785",57370-000,Alagoas,AL
União dos Palmares,"-9,1325","-36,0818",57800-000,Alagoas,AL
Viçosa,"-9,371389","-36,240833",57800-000,Alagoas,AL
Alvarães,"-3,7149","-65,3041",69475-000,Amazonas,AM
Amaturá,"-3,3893","-68,227",69620-000,Amazonas,AM
Anamã,"-3,4799","-61,7169",69445-000,Amazonas,AM
Anori,"-4,2132","-62,1556",69440-000,Amazonas,AM
Apuí,"-7,7892","-59,341",69265-000,Amazonas,AM
Atalaia do Norte,"-5,6645","-71,8278",69650-000,Amazonas,AM
Autazes,"-3,873","-59,6814",69240-000,Amazonas,AM
Barcelos,"-0,3929","-63,5371",69700-000,Amazonas,AM
Barreirinha,"-3,0656","-57,1662",69160-000,Amazonas,AM
Benjamin Constant,"-5,6484","-70,4068",69630-000,Amazonas,AM
Beruri,"-4,3437","-61,7513",69430-000,Amazonas,AM
Boa Vista do Ramos,"-3,1478","-57,625",69195-000,Amazonas,AM
Boca do Acre,"-8,5542","-68,0359",69850-000,Amazonas,AM
Borba,"-5,1124","-59,3054",69200-000,Amazonas,AM
Caapiranga,"-3,1298","-61,7441",69410-000,Amazonas,AM
Canutama,"-7,5897","-64,1294",69820-000,Amazonas,AM
Carauari,"-5,1159","-67,3578",69500-000,Amazonas,AM
Careiro,"-3,8332","-60,2047",69250-000,Amazonas,AM
Careiro da Várzea,"-3,3515","-59,6553",69255-000,Amazonas,AM
Coari,"-4,085","-63,1414",69460-000,Amazonas,AM
Codajás,"-3,1626","-63,1473",69450-000,Amazonas,AM
Eirunepé,"-7,1585","-70,4155",69880-000,Amazonas,AM
Envira,"-7,6421","-70,1408",69870-000,Amazonas,AM
Fonte Boa,"-2,4959","-66,2662",69670-000,Amazonas,AM
Guajará,"-7,1365","-72,7151",69895-000,Amazonas,AM
Humaitá,"-7,506111","-63,020833",69895-000,Amazonas,AM
Ipixuna,"-7,1191","-71,3759",69890-000,Amazonas,AM
Iranduba,"-3,1014","-60,4464",69405-000,Amazonas,AM
Itacoatiara,"-3,1598","-58,812",69100-000,Amazonas,AM
Itamarati,"-6,7647","-68,0393",69510-000,Amazonas,AM
Itapiranga,"-2,748889","-58,021944",69510-000,Amazonas,AM
Japurá,"-1,826111","-66,598889",69510-000,Amazonas,AM
Juruá,"-3,2753","-66,2421",69520-000,Amazonas,AM
Jutaí,"-4,6548","-68,2803",69660-000,Amazonas,AM
Lábrea,"-8,1844","-66,075",69830-000,Amazonas,AM
Manacapuru,"-3,2475","-61,0079",69400-000,Amazonas,AM
Manaquiri,"-3,7905","-60,7072",69435-000,Amazonas,AM
Manaus,"-2,6638","-60,135",69000-000,Amazonas,AM
Manicoré,"-7,0664","-61,557",69280-000,Amazonas,AM
Maraã,"-2,6379","-64,8042",69490-000,Amazonas,AM
Maués,"-5,0633","-58,3028",69190-000,Amazonas,AM
Nhamundá,"-1,3665","-57,8879",69140-000,Amazonas,AM
Nova Olinda do Norte,"-3,9464","-58,5974",69230-000,Amazonas,AM
Novo Airão,"-1,9839","-61,7851",69730-000,Amazonas,AM
Novo Aripuanã,"-7,001","-60,6302",69260-000,Amazonas,AM
Parintins,"-2,6634","-56,9341",69150-000,Amazonas,AM
Pauini,"-7,6893","-68,1422",69860-000,Amazonas,AM
Presidente Figueiredo,"-1,2834","-59,9832",69735-000,Amazonas,AM
Rio Preto da Eva,"-2,4929","-59,6078",69115-000,Amazonas,AM
Santa Isabel do Rio Negro,"-0,2548","-65,5512",69740-000,Amazonas,AM
Santo Antônio do Içá,"-3,09","-68,7592",69680-000,Amazonas,AM
São Gabriel da Cachoeira,"0,2404","-68,0324",69750-000,Amazonas,AM
São Paulo de Olivença,"-4,6509","-69,5814",69600-000,Amazonas,AM
São Sebastião do Uatumã,"-1,932","-58,7422",69135-000,Amazonas,AM
Silves,"-2,7685","-58,6275",69110-000,Amazonas,AM
Tabatinga,"-4,2525","-69,938056",69110-000,Amazonas,AM
Tapauá,"-6,2142","-65,6998",69480-000,Amazonas,AM
Tefé,"-4,5223","-65,6045",69470-000,Amazonas,AM
Tonantins,"-2,6409","-67,8461",69685-000,Amazonas,AM
Uarini,"-3,1474","-65,4204",69485-000,Amazonas,AM
Urucará,"-1,1928","-58,8043",69130-000,Amazonas,AM
Urucurituba,"-2,8327","-57,7501",69180-000,Amazonas,AM
Amapá,"2,052778","-50,792778",68950-000,Amapá,AP
Calçoene,"2,361","-51,4529",68960-000,Amapá,AP
Cutias,"0,9971","-50,5204",68973-000,Amapá,AP
Ferreira Gomes,"0,9101","-51,3544",68915-000,Amapá,AP
Itaubal,"0,5773","-50,6783",68976-000,Amapá,AP
Laranjal do Jari,"0,9383","-53,2295",68920-000,Amapá,AP
Macapá,"0,5987","-50,7685",68900-000,Amapá,AP
Mazagão,"0,0399","-52,1163",68940-000,Amapá,AP
Oiapoque,"2,7079","-52,1696",68980-000,Amapá,AP
Pedra Branca do Amapari,"0,769444","-51,953611",68555-000,Amapá,AP
Porto Grande,"0,5655","-51,7118",68997-000,Amapá,AP
Pracuúba,"1,6708","-51,2449",68918-000,Amapá,AP
Santana,"-0,035","-51,175",68918-000,Amapá,AP
Tartarugalzinho,"1,263","-51,1097",68990-000,Amapá,AP
Vitória do Jari,"-0,9565","-52,0344",68924-000,Amapá,AP
Abaíra,"-13,3213","-41,6976",46690-000,Bahia,BA
Abaré,"-8,8096","-39,2706",48680-000,Bahia,BA
Acajutiba,"-11,6068","-38,0359",48360-000,Bahia,BA
Adustina,"-10,4823","-37,9845",48435-000,Bahia,BA
Água Fria,"-11,7476","-38,735",48170-000,Bahia,BA
Aiquara,"-14,1114","-39,8764",45220-000,Bahia,BA
Alagoinhas,"-12,0058","-38,3615",48000-000,Bahia,BA
Alcobaça,"-17,4636","-39,374",45990-000,Bahia,BA
Almadina,"-14,6761","-39,6907",45640-000,Bahia,BA
Amargosa,"-13,0497","-39,6072",45300-000,Bahia,BA
Amélia Rodrigues,"-12,3118","-38,7385",44230-000,Bahia,BA
América Dourada,"-11,4694","-41,4733",44910-000,Bahia,BA
Anagé,"-14,6617","-41,147",45180-000,Bahia,BA
Andaraí,"-12,8417","-41,2768",46830-000,Bahia,BA
Andorinha,"-10,2222","-39,8639",48990-000,Bahia,BA
Angical,"-11,9628","-44,7498",47960-000,Bahia,BA
Anguera,"-12,1822","-39,2138",44670-000,Bahia,BA
Antas,"-10,4214","-38,3034",48420-000,Bahia,BA
Antônio Cardoso,"-12,3864","-39,1455",44180-000,Bahia,BA
Antônio Gonçalves,"-10,6228","-40,4093",44780-000,Bahia,BA
Aporá,"-11,7544","-38,2278",48350-000,Bahia,BA
Apuarema,"-13,83","-39,7344",45355-000,Bahia,BA
Araças,"-12,1468","-38,1723",48108-000,Bahia,BA
Aracatu,"-14,3901","-41,3633",46130-000,Bahia,BA
Araci,"-11,1356","-39,07",48760-000,Bahia,BA
Aramari,"-12,0462","-38,5576",48130-000,Bahia,BA
Arataca,"-15,2461","-39,4248",45695-000,Bahia,BA
Aratuípe,"-13,0936","-39,0826",44490-000,Bahia,BA
Aurelino Leal,"-14,3317","-39,5099",45675-000,Bahia,BA
Baianópolis,"-12,4833","-44,5311",47830-000,Bahia,BA
Baixa Grande,"-11,9774","-40,1799",44620-000,Bahia,BA
Banzaê,"-10,6158","-38,6269",48405-000,Bahia,BA
Barra,"-11,3183","-43,4688",47100-000,Bahia,BA
Barra da Estiva,"-13,7178","-41,0838",46650-000,Bahia,BA
Barra do Choça,"-15,0102","-40,6673",45120-000,Bahia,BA
Barra do Mendes,"-12,1609","-42,0354",44990-000,Bahia,BA
Barra do Rocha,"-14,0603","-39,6138",45560-000,Bahia,BA
Barreiras,"-12,152778","-44,99",45560-000,Bahia,BA
Barro Alto,"-11,760833","-41,911944",45560-000,Bahia,BA
Barro Preto,"-14,8097","-39,4714",45625-000,Bahia,BA
Barrocas,"-11,528889","-39,077778",45560-000,Bahia,BA
Belmonte,"-15,862778","-38,882778",45625-000,Bahia,BA
Belo Campo,"-14,8742","-41,2267",45160-000,Bahia,BA
Biritinga,"-11,6708","-38,7893",48780-000,Bahia,BA
Boa Nova,"-14,3641","-40,2238",45250-000,Bahia,BA
Boa Vista do Tupim,"-12,8731","-40,6282",46850-000,Bahia,BA
Bom Jesus da Lapa,"-13,2085","-43,2962",47600-000,Bahia,BA
Bom Jesus da Serra,"-14,3838","-40,5398",45263-000,Bahia,BA
Boninal,"-12,8036","-41,6834",46740-000,Bahia,BA
Bonito,"-11,965833","-41,266944",46740-000,Bahia,BA
Boquira,"-12,7394","-42,6417",46530-000,Bahia,BA
Botuporã,"-13,2507","-42,4108",46570-000,Bahia,BA
Brejões,"-13,0706","-39,821",45325-000,Bahia,BA
Brejolândia,"-12,4124","-43,9282",47750-000,Bahia,BA
Brotas de Macaúbas,"-12,1061","-42,5111",47560-000,Bahia,BA
Brumado,"-14,1526","-41,6037",46100-000,Bahia,BA
Buerarema,"-14,9907","-39,3059",45615-000,Bahia,BA
Buritirama,"-10,5708","-43,6886",47120-000,Bahia,BA
Caatiba,"-15,0485","-40,1459",45130-000,Bahia,BA
Cabaceiras do Paraguaçu,"-12,535833","-39,190833",45130-000,Bahia,BA
Cachoeira,"-12,676","-38,8541",44300-000,Bahia,BA
Caculé,"-14,3883","-42,4152",46300-000,Bahia,BA
Caém,"-11,194","-40,2574",44730-000,Bahia,BA
Caetanos,"-14,2923","-41,01",45265-000,Bahia,BA
Caetité,"-13,9078","-42,5223",46400-000,Bahia,BA
Cafarnaum,"-11,8067","-41,384",44880-000,Bahia,BA
Cairu,"-13,5266","-38,9481",45420-000,Bahia,BA
Caldeirão Grande,"-11,0435","-40,2951",44750-000,Bahia,BA
Camacan,"-15,4277","-39,5082",45880-000,Bahia,BA
Camaçari,"-12,619","-38,2057",42800-000,Bahia,BA
Camamu,"-14,0181","-39,224",45445-000,Bahia,BA
Campo Alegre de Lourdes,"-9,501","-42,9828",47220-000,Bahia,BA
Campo Formoso,"-10,3101","-40,8108",44790-000,Bahia,BA
Canápolis,"-13,07","-44,201944",44790-000,Bahia,BA
Canarana,"-11,685","-41,768889",44790-000,Bahia,BA
Canavieiras,"-15,6483","-39,1709",45860-000,Bahia,BA
Candeal,"-11,895","-39,2039",48710-000,Bahia,BA
Candeias,"-12,667778","-38,550833",48710-000,Bahia,BA
Candiba,"-14,4697","-42,8739",46380-000,Bahia,BA
Cândido Sales,"-15,4608","-41,1635",45157-000,Bahia,BA
Cansanção,"-10,8118","-39,4146",48840-000,Bahia,BA
Canudos,"-9,8798","-39,1472",48520-000,Bahia,BA
Capela do Alto Alegre,"-11,6184","-39,8323",44645-000,Bahia,BA
Capim Grosso,"-11,2942","-39,9557",44695-000,Bahia,BA
Caraíbas,"-14,6063","-41,2576",45177-000,Bahia,BA
Caravelas,"-17,6677","-39,7562",45900-000,Bahia,BA
Cardeal da Silva,"-11,998","-37,9247",48390-000,Bahia,BA
Carinhanha,"-14,2139","-43,8471",46445-000,Bahia,BA
Casa Nova,"-9,1044","-41,1574",47300-000,Bahia,BA
Castro Alves,"-12,7494","-39,3769",44500-000,Bahia,BA
Catolândia,"-12,2961","-44,6753",47815-000,Bahia,BA
Catu,"-12,3776","-38,4005",48110-000,Bahia,BA
Caturama,"-13,186","-42,3025",46575-000,Bahia,BA
Central,"-11,1542","-42,0815",44940-000,Bahia,BA
Chorrochó,"-9,3055","-39,1565",48660-000,Bahia,BA
Cícero Dantas,"-10,5388","-38,4214",48410-000,Bahia,BA
Cipó,"-11,1104","-38,5095",48450-000,Bahia,BA
Coaraci,"-14,6449","-39,5938",45638-000,Bahia,BA
Cocos,"-14,5944","-45,2796",47680-000,Bahia,BA
Conceição da Feira,"-12,5069","-38,9947",44320-000,Bahia,BA
Conceição do Almeida,"-12,855","-39,2409",44540-000,Bahia,BA
Conceição do Coité,"-11,6321","-39,1911",48730-000,Bahia,BA
Conceição do Jacuípe,"-12,4217","-38,6986",44245-000,Bahia,BA
Conde,"-11,813889","-37,610833",44245-000,Bahia,BA
Condeúba,"-14,9327","-42,0069",46200-000,Bahia,BA
Contendas do Sincorá,"-13,796","-41,05",46620-000,Bahia,BA
Coração de Maria,"-12,2427","-38,7824",44250-000,Bahia,BA
Cordeiros,"-14,9985","-41,8975",46280-000,Bahia,BA
Coribe,"-13,7234","-44,4354",47690-000,Bahia,BA
Coronel João Sá,"-10,3888","-37,9428",48590-000,Bahia,BA
Correntina,"-13,2899","-45,1319",47650-000,Bahia,BA
Cotegipe,"-11,5884","-44,17",47900-000,Bahia,BA
Cravolândia,"-13,4702","-39,7549",45330-000,Bahia,BA
Crisópolis,"-11,4553","-38,1393",48480-000,Bahia,BA
Cristópolis,"-12,2179","-44,2499",47950-000,Bahia,BA
Cruz das Almas,"-12,6703","-39,1144",44380-000,Bahia,BA
Curaçá,"-9,1346","-39,6685",48930-000,Bahia,BA
Dário Meira,"-14,4234","-39,9593",45590-000,Bahia,BA
Dias d Ávila,"-12,612778","-38,296944",45590-000,Bahia,BA
Dom Basílio,"-13,7972","-41,7088",46165-000,Bahia,BA
Dom Macedo Costa,"-12,9338","-39,1462",44560-000,Bahia,BA
Elísio Medrado,"-12,9543","-39,5058",45305-000,Bahia,BA
Encruzilhada,"-15,5684","-40,9079",45150-000,Bahia,BA
Entre Rios,"-11,941944","-38,083889",45150-000,Bahia,BA
Érico Cardoso,"-13,4369","-42,1033",46180-000,Bahia,BA
Esplanada,"-11,9547","-37,8936",48370-000,Bahia,BA
Euclides da Cunha,"-10,4051","-39,0337",48500-000,Bahia,BA
Eunápolis,"-16,3122","-39,6702",45820-000,Bahia,BA
Fátima,"-10,6","-38,216944",45820-000,Bahia,BA
Feira da Mata,"-14,132","-44,2528",46446-000,Bahia,BA
Feira de Santana,"-12,2337","-39,0656",44000-000,Bahia,BA
Filadélfia,"-10,740833","-40,132778",44000-000,Bahia,BA
Firmino Alves,"-14,9136","-39,9119",45720-000,Bahia,BA
Floresta Azul,"-14,8445","-39,755",45740-000,Bahia,BA
Formosa do Rio Preto,"-10,8886","-45,9121",47990-000,Bahia,BA
Gandu,"-13,8156","-39,4474",45450-000,Bahia,BA
Gavião,"-11,4889","-39,7741",44650-000,Bahia,BA
Gentio do Ouro,"-11,3628","-42,5483",47450-000,Bahia,BA
Glória,"-9,111","-38,4065",48610-000,Bahia,BA
Gongogi,"-14,3","-39,6014",45540-000,Bahia,BA
Governador Mangabeira,"-12,5772","-39,0311",44350-000,Bahia,BA
Guajeru,"-14,5788","-42,0399",46205-000,Bahia,BA
Guanambi,"-14,133","-42,824",46430-000,Bahia,BA
Guaratinga,"-16,5699","-39,9782",45840-000,Bahia,BA
Heliópolis,"-10,7286","-38,2549",48445-000,Bahia,BA
Iaçu,"-12,7698","-40,1834",46860-000,Bahia,BA
Ibiassucê,"-14,2029","-42,3021",46390-000,Bahia,BA
Ibicaraí,"-14,8744","-39,5598",45745-000,Bahia,BA
Ibicoara,"-13,3766","-41,3408",46760-000,Bahia,BA
Ibicuí,"-14,6097","-39,8557",45290-000,Bahia,BA
Ibipeba,"-11,4978","-42,1908",44970-000,Bahia,BA
Ibipitanga,"-12,8865","-42,3711",46540-000,Bahia,BA
Ibiquera,"-12,5726","-40,8416",46840-000,Bahia,BA
Ibirapitanga,"-14,0589","-39,4082",45500-000,Bahia,BA
Ibirapuã,"-17,7557","-39,9737",45940-000,Bahia,BA
Ibirataia,"-13,9729","-39,6371",45580-000,Bahia,BA
Ibitiara,"-12,5658","-42,3899",46700-000,Bahia,BA
Ibititá,"-11,6935","-41,8415",44960-000,Bahia,BA
Ibotirama,"-11,8862","-43,2529",47520-000,Bahia,BA
Ichu,"-11,7034","-39,1872",48725-000,Bahia,BA
Igaporã,"-13,8906","-42,7605",46490-000,Bahia,BA
Igrapiúna,"-13,8561","-39,1936",45443-000,Bahia,BA
Iguaí,"-14,6182","-40,0616",45280-000,Bahia,BA
Ilhéus,"-14,7594","-39,2179",45650-000,Bahia,BA
Inhambupe,"-11,7966","-38,3704",48490-000,Bahia,BA
Ipecaetá,"-12,3378","-39,3283",44680-000,Bahia,BA
Ipiaú,"-14,0571","-39,7255",45570-000,Bahia,BA
Ipirá,"-12,2741","-39,9164",44600-000,Bahia,BA
Ipupiara,"-11,7695","-42,433",47590-000,Bahia,BA
Irajuba,"-13,18","-39,9953",45370-000,Bahia,BA
Iramaia,"-13,5463","-40,8283",46770-000,Bahia,BA
Iraquara,"-12,2862","-41,5915",46980-000,Bahia,BA
Irará,"-12,049","-38,7362",44255-000,Bahia,BA
Irecê,"-11,3032","-41,8344",44900-000,Bahia,BA
Itabela,"-16,7164","-39,5733",45848-000,Bahia,BA
Itaberaba,"-12,451","-40,2031",46880-000,Bahia,BA
Itabuna,"-14,8815","-39,3671",45600-000,Bahia,BA
Itacaré,"-14,3695","-39,1251",45530-000,Bahia,BA
Itaeté,"-12,9807","-40,9551",46790-000,Bahia,BA
Itagi,"-14,197","-40,033",45230-000,Bahia,BA
Itagibá,"-14,2464","-39,8497",45585-000,Bahia,BA
Itagimirim,"-16,1347","-39,8165",45850-000,Bahia,BA
Itaguaçu da Bahia,"-10,6426","-42,2108",47440-000,Bahia,BA
Itaju do Colônia,"-15,1551","-39,716",45730-000,Bahia,BA
Itajuípe,"-14,6919","-39,4292",45630-000,Bahia,BA
Itamaraju,"-16,9452","-39,8127",45836-000,Bahia,BA
Itamari,"-13,7859","-39,6842",45455-000,Bahia,BA
Itambé,"-15,245","-40,623889",45455-000,Bahia,BA
Itanagra,"-12,3098","-38,1133",48290-000,Bahia,BA
Itanhém,"-17,0811","-40,361",45970-000,Bahia,BA
