UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
RO,Rondônia,435517,0.995,2236,0.005,437753,-10.83,-63.34
AC,Acre,208893,0.976,5239,0.024,214132,-8.77,-70.55
AM,Amazonas,1020604,0.984,16179,0.016,1036783,-3.47,-65.1
RR,Roraima,124880,0.992,1056,0.008,125936,1.99,-61.33
PA,Pará,2110944,0.986,30092,0.014,2141036,-3.79,-52.48
AP,Amapá,211495,0.989,2428,0.011,213923,1.41,-51.77
TO,Tocantins,370010,0.988,4406,0.012,374416,-9.46,-48.26
MA,Maranhão,1751761,0.976,42905,0.024,1794666,-5.42,-45.44
PI,Piauí,735861,0.973,20162,0.027,756023,-6.6,-42.28
CE,Ceará,2130856,0.982,37970,0.018,2168826,-5.2,-39.53
RN,Rio Grande do Norte,785576,0.97,24091,0.03,809667,-5.81,-36.59
PB,Paraiba,922230,0.98,18605,0.02,940835,-7.28,-36.72
PE,Pernambuco,2210703,0.978,49281,0.022,2259984,-8.38,-37.86
AL,Alagoas,793650,0.966,28298,0.034,821948,-9.62,-36.82
SE,Sergipe,544339,0.98,10886,0.02,555225,-10.57,-37.45
BA,Bahia,3418994,0.983,58705,0.017,3477699,-13.29,-41.71
MG,Minas Gerais,4776334,0.991,45085,0.009,4821419,-18.1,-44.38
ES,Espírito Santo,862468,0.995,4630,0.005,867098,-19.19,-40.34
RJ,Rio de Janeiro,3572182,0.996,14213,0.004,3586395,-22.25,-42.66
SP,São Paulo,10100000,0.996,44887,0.004,10144887,-22.19,-48.79
PR,Paraná,2493181,0.994,15963,0.006,2509144,-24.89,-51.55
SC,Santa Catarina,1533788,0.996,6090,0.004,1539878,-27.45,-50.95
RS,Rio Grande do Sul,2395599,0.994,14382,0.006,2409981,-30.17,-53.5
MS,Mato Grosso do Sul,605041,0.991,5700,0.009,610741,-20.51,-54.54
MT,Mato Grosso,782528,0.995,4178,0.005,786706,-12.64,-55.42
GO,Goiás,1553664,0.993,10507,0.007,1564171,-15.98,-49.86
DF,Distrito Federal,669355,0.995,3238,0.005,672593,-15.83,-47.86
