UF,Nome,Alfabetizado,Alfabetizado(%),NaoAlfabetizado,NaoAlfabetizado(%),Total,latitude,longitude
AC, Acre,200674,0.935,14062,0.065,214736,-8.77,-70.55
AL, Alagoas,792054,0.905,83015,0.095,875069,-9.62,-36.82
AP, Amapá,200484,0.976,5032,0.024,205516,1.41,-51.77
AM, Amazonas,981024,0.955,46703,0.045,1027727,-3.47,-65.1
BA, Bahia,3767464,0.956,171765,0.044,3939229,-13.29,-41.71
CE, Ceará,2294877,0.951,117609,0.049,2412486,-5.2,-39.53
DF, Distrito Federal,726607,0.991,6731,0.009,733338,-15.83,-47.86
ES, Espírito Santo,932973,0.985,14543,0.015,947516,-19.19,-40.34
GO, Goiás,1621783,0.986,22396,0.014,1644179,-15.98,-49.86
MA, Maranhão,1797383,0.93,136133,0.07,1933516,-5.42,-45.44
MT, Mato Grosso,838995,0.982,15437,0.018,854432,-12.64,-55.42
MS, Mato Grosso do Sul,653731,0.986,9444,0.014,663175,-20.51,-54.54
MG, Minas Gerais,5076456,0.985,79740,0.015,5156196,-18.1,-44.38
PA, Pará,2143829,0.955,99951,0.045,2243780,-3.79,-52.48
PB, Paraiba,960615,0.936,65720,0.064,1026335,-7.28,-36.72
PR, Paraná,2681235,0.99,27874,0.01,2709109,-24.89,-51.55
PE, Pernambuco,2269893,0.941,141141,0.059,2411034,-8.38,-37.86
PI, Piauí,819574,0.932,59917,0.068,879491,-6.6,-42.28
RJ, Rio de Janeiro,3891443,0.988,45823,0.012,3937266,-22.25,-42.66
RN, Rio Grande do Norte,845011,0.944,49815,0.056,894826,-5.81,-36.59
RS, Rio Grande do Sul,2613407,0.99,26932,0.01,2640339,-30.17,-53.5
RO, Rondônia,444902,0.982,8289,0.018,453191,-10.83,-63.34
RR, Roraima,127744,0.959,5514,0.041,133258,1.99,-61.33
SC, Santa Catarina,1663664,0.992,14057,0.008,1677721,-27.45,-50.95
SP, São Paulo,10618978,0.99,109588,0.01,10728566,-22.19,-48.79
SE, Sergipe,557213,0.941,34992,0.059,592205,-10.57,-37.45
TO, Tocantins,384891,0.971,11445,0.029,396336,-9.46,-48.26
